"","Protein","Len","S0","S0.1","S1","S1.1","S1.2","S1.3","S1.4","S1.5","S1.6","S1.7","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"465","m.15067",179,6,5,5,5,7,5,4,4,7,7,-2.718,-1.113,0.999992,0.879397,0.873465,"P35280","Ras-related protein Rab-8A OS=Rattus norvegicus GN=Rab8a PE=1 SV=2                    "
"466","m.15074",356,0,0,0,0,1,0,0,0,1,1,-4.915,-2.0087,0.998874,0.98519,0.834399,"Q767L0","ATP-binding cassette sub-family F member 1 OS=Sus scrofa GN=ABCF1 PE=3 SV=1                 "
"467","m.15079",260,10,16,13,15,17,11,14,12,15,15,-3.681,-3.0524,0.867383,0.978803,0.55518,NA,NA
"468","m.15083",267,2,2,0,1,2,1,1,1,1,1,-6.423,-2.1587,0.998203,0.988043,0.817086,"Unknown","Unknown                           "
"469","m.1509",223,6,5,4,3,5,4,3,3,4,5,-5.815,-2.2864,0.998839,0.989716,0.797814,"P25228","Ras-related protein Rab-3 OS=Drosophila melanogaster GN=Rab3 PE=1 SV=1                    "
"470","m.15096",468,1,2,0,1,2,1,1,2,2,2,-8.874,-2.9451,0.904855,0.984087,0.601951,"Q641Y2","NADH dehydrogenase [ubiquinone] iron-sulfur protein 2 mitochondrial OS=Rattus norvegicus GN=Ndufs2 PE=1 SV=1                           "
"471","m.15098",368,5,4,3,4,6,2,3,5,4,4,-5.335,-1.8422,0.997706,0.980449,0.848368,"Q9UBL6","Copine-7 OS=Homo sapiens GN=CPNE7 PE=2 SV=1                      "
"472","m.151",201,2,2,1,2,1,1,1,1,1,1,-5.083,-2.1007,0.998512,0.987089,0.824386,"A5PKG7","BTB/POZ domain-containing protein KCTD5 OS=Bos taurus GN=KCTD5 PE=2 SV=1                   "
"473","m.15111",545,31,38,18,19,26,14,22,24,36,36,-2.509,-1.448,0.999975,0.952653,0.866993,"P20000","Aldehyde dehydrogenase mitochondrial OS=Bos taurus GN=ALDH2 PE=1 SV=2                           "
"474","m.15114",369,5,5,2,2,4,2,3,4,5,4,-6.777,-3.72,0.523757,0.938453,0.222966,NA,NA
"475","m.15121",194,0,1,0,1,1,1,0,0,1,2,-7.27,-3.4802,0.682701,0.953212,0.341002,"Q157S1","CREB-regulated transcription coactivator 1 OS=Rattus norvegicus GN=Crtc1 PE=1 SV=1                   "
"476","m.15126",176,1,1,1,1,1,1,0,0,0,1,-6.118,-3.0579,0.865389,0.978509,0.552686,"Q5ZI57","Trafficking protein particle complex subunit 3 OS=Gallus gallus GN=TRAPPC3 PE=2 SV=1                 "
"477","m.15132",728,2,1,0,0,0,3,0,0,0,0,-6.862,-2.5818,0.992392,0.992151,0.731008,"A7MBL8","Serine/threonine-protein kinase N2 OS=Danio rerio GN=pkn2 PE=2 SV=1                    "
"478","m.15134",1205,1,2,0,1,1,1,1,0,2,1,-7.511,-2.267,0.998599,0.989485,0.801058,"B2RRE7","OTU domain-containing protein 4 OS=Mus musculus GN=Otud4 PE=1 SV=1                   "
"479","m.15139",435,47,43,39,41,33,29,36,46,48,47,-6.313,-8.527,0,0.876496,0,NA,NA
"480","m.15141",227,12,14,5,6,8,2,2,5,13,10,-4.835,-1.9206,0.998356,0.982895,0.842396,"Q24439","ATP synthase subunit O mitochondrial OS=Drosophila melanogaster GN=Oscp PE=2 SV=2                           "
"481","m.15142",273,1,0,0,0,1,0,0,0,1,1,-8.35,-3.627,0.591233,0.944185,0.266602,"P58044","Isopentenyl-diphosphate Delta-isomerase 1 OS=Mus musculus GN=Idi1 PE=2 SV=1                    "
"482","m.15145",279,0,0,0,1,0,0,1,1,0,0,-6.211,-1.9359,0.99849,0.983326,0.84111,NA,NA
"483","m.15155",891,1,5,1,1,2,1,1,2,2,3,-8.225,-4.0283,0.309324,0.920172,0.108767,"Q92616","Translational activator GCN1 OS=Homo sapiens GN=GCN1L1 PE=1 SV=6                    "
"484","m.15158",259,1,1,1,0,1,1,0,1,1,1,-9.054,-3.7906,0.470313,0.934105,0.192449,"3276401","Predicted protein OS=Nematostella vectensis GN=v1g232929 PE=4 SV=1                     "
"485","m.15162",152,19,22,14,16,19,8,13,14,21,19,-1.453,-0.9686,0.999895,0.815024,0.874835,"P10160","Eukaryotic translation initiation factor 5A-1 OS=Oryctolagus cuniculus GN=EIF5A PE=1 SV=2                  "
"486","m.15166",611,1,3,3,6,4,2,4,6,3,2,-7.38,-3.3224,0.760465,0.962931,0.4233,"P56517","Histone deacetylase 1 OS=Gallus gallus GN=HDAC1 PE=2 SV=1                    "
"487","m.15170",715,6,8,6,8,9,5,6,6,9,9,-3.532,-1.7551,0.999036,0.977009,0.853944,"Q2KJI2","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Bos taurus GN=STT3A PE=2 SV=1                   "
"488","m.15172",116,4,4,2,2,1,1,2,2,2,2,-6.025,-2.31,0.999133,0.989991,0.793699,NA,NA
"489","m.15175",266,5,6,4,5,7,6,4,3,4,7,-3.221,-1.25,0.999969,0.918899,0.871497,"P21670","Proteasome subunit alpha type-4 OS=Rattus norvegicus GN=Psma4 PE=1 SV=1                   "
"490","m.15185",362,26,28,18,25,21,11,22,24,22,23,-3.495,-4.1564,0.245864,0.913812,0.075563,"Q92597","Protein NDRG1 OS=Homo sapiens GN=NDRG1 PE=1 SV=1                     "
"491","m.15189",147,2,2,0,0,2,0,0,0,2,2,-5.223,-1.7379,0.999791,0.976173,0.854935,"Q9Y2Q5","Ragulator complex protein LAMTOR2 OS=Homo sapiens GN=LAMTOR2 PE=1 SV=1                   "
"492","m.15196",185,0,1,0,1,0,0,0,0,0,0,-6.252,-1.4307,0.999976,0.950475,0.867484,"P61212","ADP-ribosylation factor-like protein 1 OS=Rattus norvegicus GN=Arl1 PE=1 SV=1                   "
"493","m.152",115,3,6,4,5,4,2,5,5,4,6,-6.795,-3.1033,0.848693,0.976011,0.531756,"O01359","60S acidic ribosomal protein P1 OS=Oscheius tipulae GN=rpl-21 PE=3 SV=1                  "
"494","m.15200",788,10,5,3,6,6,5,4,7,7,8,-5.414,-2.7774,0.955796,0.989938,0.667475,"A4IGL7","Peroxidasin OS=Xenopus tropicalis GN=pxdn PE=2 SV=1                      "
"495","m.15204",648,31,26,13,15,19,14,18,20,24,25,-6.15,-1.7798,0.998274,0.9781,0.852462,"O88818","Plastin-3 OS=Cricetulus griseus GN=PLS3 PE=2 SV=3                      "
"496","m.15205",198,3,1,0,0,1,0,0,2,1,2,-4.956,-1.8449,0.997719,0.980541,0.848178,"Q9NQ36","Signal peptide CUB and EGF-like domain-containing protein 2 OS=Homo sapiens GN=SCUBE2 PE=2 SV=2                           "
"497","m.1522",770,0,0,0,1,0,1,1,0,2,2,-5.413,-2.2331,0.998316,0.989066,0.806441,"Q10741","Disintegrin and metalloproteinase domain-containing protein 10 OS=Bos taurus GN=ADAM10 PE=1 SV=1                 "
"498","m.15220",508,7,7,3,4,9,4,6,7,10,10,-5.918,-2.1022,0.998505,0.987116,0.824207,"P17336","Catalase OS=Drosophila melanogaster GN=Cat PE=1 SV=2                      "
"499","m.15241",654,9,10,5,5,5,1,6,8,6,7,-6.964,-2.2457,0.998395,0.989224,0.804482,"P0CZ23","Acyl-coenzyme A oxidase 3 peroxisomal OS=Arabidopsis thaliana GN=ACX3 PE=1 SV=1                           "
"500","m.15244",481,2,3,1,2,2,1,1,1,2,2,-7.15,-3.1754,0.821228,0.971844,0.497315,"O43670","Zinc finger protein 207 OS=Homo sapiens GN=ZNF207 PE=1 SV=1                   "
"501","m.15247",289,4,2,3,5,4,1,3,5,3,4,-7.443,-3.1207,0.842178,0.975025,0.523575,"Q5J6M8","Reticulon-3-A OS=Xenopus laevis GN=rtn3-a PE=2 SV=2                      "
"502","m.15259",327,4,3,3,3,4,4,4,3,3,3,-8.649,-2.7548,0.961549,0.990449,0.675558,"Q8N3Y7","Epidermal retinol dehydrogenase 2 OS=Homo sapiens GN=SDR16C5 PE=2 SV=2                   "
"503","m.1527",299,19,19,10,10,16,6,11,12,15,16,-2.682,-1.45,0.999972,0.952897,0.866935,"Q4R4I6","Adenylyl cyclase-associated protein 1 OS=Macaca fascicularis GN=CAP1 PE=2 SV=3                   "
"504","m.15279",668,1,1,1,1,1,0,1,1,2,1,-6.961,-3.3439,0.750825,0.961608,0.412163,"Q3SWT4","Protein IWS1 homolog OS=Rattus norvegicus GN=Iws1 PE=2 SV=1                    "
"505","m.15280",205,3,3,2,2,3,0,1,3,2,2,-8.024,-2.3067,0.999108,0.989953,0.794286,"3683555","Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_129574 PE=4 SV=1                    "
"506","m.15290",959,8,8,4,9,9,4,8,6,8,10,-5.727,-1.9167,0.998308,0.982783,0.842717,"Q5ZIA5","Coatomer subunit beta OS=Gallus gallus GN=COPB1 PE=2 SV=1                    "
"507","m.153",398,2,2,1,2,2,0,3,3,3,2,-7.151,-3.5966,0.611849,0.946056,0.281567,"B2GUE2","Leucine-rich repeat flightless-interacting protein 2 OS=Xenopus tropicalis GN=lrrfip2 PE=2 SV=1                  "
"508","m.1530",391,4,8,4,4,6,1,5,5,6,9,-6.244,-2.2181,0.998235,0.988873,0.808713,"O93429","Serotransferrin OS=Paralichthys olivaceus GN=tf PE=2 SV=1                      "
"509","m.15306",507,0,1,0,0,1,0,1,0,0,1,-7.158,-3.2033,0.810249,0.970183,0.483622,"P23229","Integrin alpha-6 OS=Homo sapiens GN=ITGA6 PE=1 SV=5                     "
"510","m.15314",289,1,2,0,0,1,0,0,0,1,1,-7.288,-3.6891,0.54676,0.940359,0.237066,"Q9UI42","Carboxypeptidase A4 OS=Homo sapiens GN=CPA4 PE=1 SV=2                     "
"511","m.15316",161,1,3,1,2,2,1,2,1,3,2,-6.256,-1.7117,1,0.974785,0.856379,NA,NA
"512","m.15323",305,9,11,4,8,6,1,4,8,8,9,-5.072,-2.5686,0.993698,0.992141,0.734748,"Q8BMF4","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex mitochondrial OS=Mus musculus GN=Dlat PE=1 SV=2                           "
"513","m.15325",4828,0,1,1,0,2,0,0,0,1,1,-10.223,-3.2363,0.796971,0.968195,0.467189,"Q9U943","Apolipophorins OS=Locusta migratoria PE=1 SV=2                       "
"514","m.15331",209,7,11,3,2,5,1,1,3,7,8,-6.448,-2.6965,0.974684,0.991447,0.695541,"P24367","Peptidyl-prolyl cis-trans isomerase B OS=Gallus gallus GN=PPIB PE=2 SV=1                   "
"515","m.15370",180,11,11,23,26,17,12,21,27,21,15,-4.412,-3.875,0.407833,0.928968,0.159321,"3300831","Beta gamma crystallin isoform 10 (Fragment) OS=Montipora capitata PE=2 SV=1                  "
"516","m.15377",555,18,20,12,17,21,13,17,22,21,21,-3.322,-3.0972,0.850966,0.976353,0.534603,"P08059","Glucose-6-phosphate isomerase OS=Sus scrofa GN=GPI PE=1 SV=3                     "
"517","m.15388",345,0,0,0,1,1,0,0,1,1,1,-6.042,-2.2394,0.998361,0.989145,0.805467,"Q5R778","Acyl-CoA dehydrogenase family member 11 OS=Pongo abelii GN=ACAD11 PE=2 SV=2                  "
"518","m.15396",329,3,5,3,4,3,1,2,3,3,4,-6.845,-2.7375,0.965707,0.990793,0.68162,"Q62651","Delta(35)-Delta(24)-dienoyl-CoA isomerase mitochondrial OS=Rattus norvegicus GN=Ech1 PE=1 SV=2                           "
"519","m.15400",429,6,5,5,4,7,5,5,5,6,7,-9.165,-3.8829,0.402206,0.928494,0.156414,"Q7ZTY4","Histone-binding protein RBBP7 OS=Danio rerio GN=rbbp7 PE=2 SV=1                    "
"520","m.15409",308,1,1,0,0,1,1,1,0,1,1,-7.836,-2.489,0.99881,0.99178,0.75577,"Q9WUK2","Eukaryotic translation initiation factor 4H OS=Mus musculus GN=Eif4h PE=1 SV=3                  "
"521","m.15422",456,1,2,1,1,2,0,1,0,1,1,-9.573,-4.7348,0.063036,0.897987,0.007509,"O88413","Tubby-related protein 3 OS=Mus musculus GN=Tulp3 PE=1 SV=1                    "
"522","m.15426",1113,5,7,2,3,5,3,2,3,6,7,-8.11,-3.3482,0.748878,0.961343,0.409929,"Q5RI56","Optineurin OS=Danio rerio GN=optn PE=2 SV=2                      "
"523","m.15449",425,0,0,1,3,2,0,2,3,2,2,-6.739,-3.2437,0.793948,0.967746,0.463471,"Q6GQ29","Carboxypeptidase Q OS=Xenopus laevis GN=cpq PE=2 SV=1                     "
"524","m.15450",862,0,0,0,0,1,0,0,0,0,0,-9.063,-3.6951,0.542322,0.939989,0.234295,"Q9QZ81","Protein argonaute-2 OS=Rattus norvegicus GN=Ago2 PE=2 SV=2                     "
"525","m.15457",489,3,3,1,2,2,0,0,1,2,2,-7.86,-2.4935,0.998624,0.991811,0.754652,"Q8BKZ9","Pyruvate dehydrogenase protein X component mitochondrial OS=Mus musculus GN=Pdhx PE=2 SV=1                           "
"526","m.15462",185,3,3,2,2,3,0,3,3,4,4,-4.206,-1.5605,0.999993,0.96428,0.863245,"Q9C8L4","Persulfide dioxygenase ETHE1 homolog mitochondrial OS=Arabidopsis thaliana GN=GLY3 PE=1 SV=3                           "
"527","m.1547",193,3,3,4,4,4,2,4,5,4,4,-3.771,-1.4591,0.999975,0.953989,0.866667,"Q9D8Y0","EF-hand domain-containing protein D2 OS=Mus musculus GN=Efhd2 PE=1 SV=1                   "
"528","m.15471",509,6,8,4,7,4,2,5,4,7,6,-5.282,-2.1654,0.998192,0.988143,0.816189,"P17213","Bactericidal permeability-increasing protein OS=Homo sapiens GN=BPI PE=1 SV=4                    "
"529","m.15484",173,0,1,0,0,0,0,0,0,0,1,-6.22,-2.5939,0.99106,0.992147,0.727516,"Q5XGA9","N-alpha-acetyltransferase 50 OS=Xenopus tropicalis GN=naa50 PE=2 SV=1                     "
"530","m.15491",328,1,1,0,1,1,0,0,0,1,0,-7.504,-2.8527,0.934456,0.987738,0.639238,"Q9WVA3","Mitotic checkpoint protein BUB3 OS=Mus musculus GN=Bub3 PE=2 SV=2                   "
"531","m.15526",304,3,4,2,3,4,1,2,3,4,4,-6.233,-2.2571,0.99849,0.989364,0.802667,"Q9CY64","Biliverdin reductase A OS=Mus musculus GN=Blvra PE=2 SV=1                    "
"532","m.15544",155,4,5,1,2,3,0,1,2,4,4,-6.529,-2.7366,0.965921,0.99081,0.681932,"P80601","Ribonuclease UK114 OS=Capra hircus GN=HRSP12 PE=1 SV=3                     "
"533","m.15573",170,1,0,2,2,0,1,0,3,2,1,-5.95,-2.7047,0.973,0.991334,0.692807,"P63100","Calcineurin subunit B type 1 OS=Rattus norvegicus GN=Ppp3r1 PE=1 SV=2                  "
"534","m.15586",275,6,6,6,6,6,5,7,6,8,6,-6.072,-2.5102,0.997891,0.991919,0.750429,"Q9JJ19","Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Rattus norvegicus GN=Slc9a3r1 PE=1 SV=3                  "
"535","m.1560",548,9,11,9,11,12,5,8,9,7,7,-4.433,-2.2114,0.998208,0.988785,0.809706,"Q6EE31","T-complex protein 1 subunit theta OS=Gallus gallus GN=CCT8 PE=1 SV=3                  "
"536","m.15618",675,3,3,0,1,2,0,1,1,2,1,-7.447,-2.65,0.983231,0.99192,0.71055,"E9Q634","Unconventional myosin-Ie OS=Mus musculus GN=Myo1e PE=1 SV=1                     "
"537","m.15620",573,1,0,0,2,0,0,1,1,1,1,-6.583,-2.6924,0.975521,0.9915,0.696898,"Q96PQ7","Kelch-like protein 5 OS=Homo sapiens GN=KLHL5 PE=2 SV=3                    "
"538","m.15633",448,46,44,30,37,36,25,31,37,42,43,-4.278,-5.0867,0.011114,0.893168,0.001167,"P50395","Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2                  "
"539","m.15646",189,0,1,1,0,0,0,0,0,1,0,-5.224,-2.2903,0.998869,0.989762,0.797146,NA,NA
"540","m.1567",309,0,0,0,0,0,0,0,0,1,0,-8.105,-4.0606,0.291765,0.918466,0.099649,"B3S3D5","DDRGK domain-containing protein 1 OS=Trichoplax adhaerens GN=TRIADDRAFT_58679 PE=3 SV=1                   "
"541","m.15686",206,3,3,3,2,3,2,3,2,4,3,-7.444,-2.2159,0.998211,0.988844,0.80904,"Q32L92","Calponin-3 OS=Bos taurus GN=CNN3 PE=2 SV=1                      "
"542","m.1569",147,1,2,0,0,0,0,0,0,0,0,-6.56,-1.5252,0.999982,0.961057,0.864532,"O43447","Peptidyl-prolyl cis-trans isomerase H OS=Homo sapiens GN=PPIH PE=1 SV=1                   "
"543","m.15693",310,6,4,4,6,3,4,6,5,7,5,-7.078,-1.6432,0.999995,0.970606,0.859782,"Q7ZXQ9","Drebrin-like protein A OS=Xenopus laevis GN=dbnl-a PE=2 SV=1                    "
"544","m.15700",399,6,5,4,5,5,3,3,3,6,5,-2.913,-1.666,0.999997,0.972092,0.858707,NA,NA
"545","m.15722",235,21,17,12,9,17,11,14,16,17,21,-4.147,-1.9781,0.99879,0.984445,0.837342,"Q8MI17","Retinal dehydrogenase 1 OS=Oryctolagus cuniculus GN=ALDH1A1 PE=2 SV=1                    "
"546","m.15724",695,2,3,3,2,4,1,3,2,5,2,-6.57,-2.3848,1,0.990823,0.779354,"Q14974","Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2                    "
"547","m.15750",815,1,1,0,0,1,0,0,0,0,1,-8.217,-3.0054,0.88413,0.981233,0.576113,NA,NA
"548","m.15756",276,2,3,0,0,0,0,0,0,1,0,-6.449,-2.5836,0.992204,0.992152,0.730492,"Q99NB1","Acetyl-coenzyme A synthetase 2-like mitochondrial OS=Mus musculus GN=Acss1 PE=1 SV=1                           "
"549","m.1576",513,7,7,6,7,7,5,6,7,7,6,-5.533,-2.0392,0.998837,0.985877,0.831278,"A6H584","Collagen alpha-5(VI) chain OS=Mus musculus GN=Col6a5 PE=1 SV=3                    "
"550","m.15763",343,0,2,0,1,0,0,1,0,2,2,-7.025,-2.6588,0.981758,0.991852,0.707774,"O75600","2-amino-3-ketobutyrate coenzyme A ligase mitochondrial OS=Homo sapiens GN=GCAT PE=1 SV=1                           "
"551","m.15764",225,4,4,2,2,5,3,3,3,4,4,-5.798,-2.9902,0.889446,0.981983,0.582736,"O55012","Phosphatidylinositol-binding clathrin assembly protein OS=Rattus norvegicus GN=Picalm PE=1 SV=1                   "
"552","m.15778",129,3,1,0,0,1,0,0,0,2,1,-6.455,-2.3573,0.999765,0.990525,0.784867,"Q9TWL9","Conodipine-M alpha chain OS=Conus magus PE=1 SV=2                     "
"553","m.15779",427,1,1,0,1,1,0,0,0,0,1,-6.12,-1.7722,0.998471,0.977777,0.852926,"P81274","G-protein-signaling modulator 2 OS=Homo sapiens GN=GPSM2 PE=1 SV=3                    "
"554","m.15803",206,3,3,1,1,2,0,0,1,3,1,-7.202,-2.6511,0.983047,0.991912,0.710205,"P00491","Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2                    "
"555","m.1582",284,2,2,2,2,2,1,1,2,2,2,-6.67,-3.6816,0.552274,0.940821,0.240551,"P41044","Calbindin-32 OS=Drosophila melanogaster GN=Cbp53E PE=2 SV=1                      "
"556","m.15822",319,1,2,0,0,1,0,1,1,0,1,-6.765,-2.1795,0.998165,0.988347,0.814263,"3277618","Predicted protein OS=Nematostella vectensis GN=v1g244535 PE=4 SV=1                     "
"557","m.1583",327,6,6,3,5,6,3,4,5,5,7,-7.84,-4.063,0.290506,0.918342,0.098992,"P56839","Phosphoenolpyruvate phosphomutase OS=Mytilus edulis PE=1 SV=3                      "
"558","m.15831",119,3,6,0,1,3,1,0,1,6,2,-5.145,-1.7414,0.999633,0.976349,0.854736,NA,NA
"559","m.15837",260,1,1,0,0,1,0,0,0,1,1,-7.384,-2.2249,0.998247,0.988961,0.807691,NA,NA
"560","m.15839",183,6,6,6,6,7,4,5,5,5,6,-2.101,-0.9779,0.999901,0.820046,0.874764,"Q9CQC9","GTP-binding protein SAR1b OS=Mus musculus GN=Sar1b PE=1 SV=1                    "
"561","m.15850",195,1,1,0,1,1,0,0,0,1,1,-8.436,-3.1083,0.84683,0.975729,0.529414,"Q5ZI78","Tumor necrosis factor alpha-induced protein 8 OS=Gallus gallus GN=TNFAIP8 PE=2 SV=1                 "
"562","m.15857",420,4,4,3,3,4,1,2,4,3,6,-6.378,-2.1395,0.998263,0.987745,0.819594,"Q6NZ09","Proteasomal ubiquitin receptor ADRM1 OS=Danio rerio GN=adrm1b PE=1 SV=1                   "
"563","m.15859",410,6,5,3,5,6,5,5,5,7,5,-7.887,-3.9631,0.348243,0.923791,0.128773,"P46471","26S protease regulatory subunit 7 OS=Mus musculus GN=Psmc2 PE=1 SV=5                  "
"564","m.15862",387,1,2,0,0,0,0,0,1,0,0,-5.889,-2.1634,0.998188,0.988113,0.816458,"O88809","Neuronal migration protein doublecortin OS=Mus musculus GN=Dcx PE=1 SV=1                   "
"565","m.15899",456,4,4,2,1,1,1,0,1,3,2,-5.359,-1.8389,0.997697,0.980336,0.848598,"Q8CE50","Sorting nexin-30 OS=Mus musculus GN=Snx30 PE=2 SV=1                     "
"566","m.1592",810,2,3,1,1,2,1,1,1,1,3,-7.716,-3.599,0.61024,0.945908,0.280375,"Q2MHE4","Serine/threonine-protein kinase HT1 OS=Arabidopsis thaliana GN=HT1 PE=1 SV=1                    "
"567","m.15923",2429,25,32,6,8,13,5,11,13,22,16,-6.894,-3.3824,0.732917,0.959236,0.392107,"P01267","Thyroglobulin OS=Bos taurus GN=TG PE=1 SV=1                      "
"568","m.15941",522,1,1,0,1,2,1,0,0,1,2,-8.128,-2.7456,0.96379,0.990637,0.678796,"Q64676","2-hydroxyacylsphingosine 1-beta-galactosyltransferase OS=Mus musculus GN=Ugt8 PE=2 SV=2                     "
"569","m.15962",187,0,0,0,0,1,0,1,0,0,0,-8.445,-3.0564,0.865935,0.978589,0.553367,"Q9BZM1","Group XIIA secretory phospholipase A2 OS=Homo sapiens GN=PLA2G12A PE=1 SV=1                  "
"570","m.1600",347,0,0,0,0,0,0,0,0,0,1,-6.355,-3.174,0.821773,0.971926,0.497997,"B4EUF0","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Proteus mirabilis (strain HI4320) GN=mtnN PE=3 SV=1                   "
"571","m.16002",356,0,1,0,0,0,0,0,0,0,0,-6.679,-2.7372,0.965779,0.990799,0.681724,"P10079","Fibropellin-1 OS=Strongylocentrotus purpuratus GN=EGF1 PE=1 SV=2                      "
"572","m.16005",488,2,2,1,1,3,4,0,1,2,2,-6.476,-1.8481,0.997727,0.980649,0.847952,"Q9TU32","Protein ERGIC-53 OS=Chlorocebus aethiops GN=LMAN1 PE=2 SV=1                     "
"573","m.16008",262,2,3,1,1,4,3,2,2,3,4,-6.104,-2.7461,0.963669,0.990627,0.678621,"3286479","Predicted protein OS=Nematostella vectensis GN=v1g222210 PE=4 SV=1                     "
"574","m.16009",808,2,3,4,3,2,2,4,4,3,3,-8.338,-3.0631,0.863501,0.978229,0.55032,"Q61789","Laminin subunit alpha-3 OS=Mus musculus GN=Lama3 PE=1 SV=4                    "
"575","m.16029",467,0,1,0,0,2,0,0,0,1,1,-6.629,-2.1127,0.998439,0.987301,0.822942,"Q9QZB7","Actin-related protein 10 OS=Mus musculus GN=Actr10 PE=1 SV=2                    "
"576","m.16036",305,2,2,1,2,4,3,2,3,5,3,-5.645,-2.4791,0.999142,0.991706,0.758201,"3663538","Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_63863 PE=4 SV=1                    "
"577","m.16060",768,1,1,0,0,2,0,1,1,2,2,-7.878,-3.0954,0.851633,0.976454,0.535441,"Q29122","Unconventional myosin-VI OS=Sus scrofa GN=MYO6 PE=1 SV=1                     "
"578","m.16090",446,23,28,13,17,14,8,14,13,19,21,-7.731,-4.4802,0.132219,0.902861,0.023771,"O61491","Flotillin-1 OS=Drosophila melanogaster GN=Flo-1 PE=2 SV=1                      "
"579","m.16099",216,0,0,0,0,0,1,1,0,0,0,-8.357,-3.5552,0.638543,0.948601,0.302381,NA,NA
"580","m.16119",234,1,1,0,1,1,0,1,1,2,2,-6.904,-2.8011,0.949411,0.989327,0.658802,"Q5RA81","GrpE protein homolog 1 mitochondrial OS=Pongo abelii GN=GRPEL1 PE=2 SV=1                           "
"581","m.16132",345,3,2,0,2,2,1,1,2,3,1,-6.942,-3.2793,0.779117,0.965576,0.445432,"Q8BW96","Calcium/calmodulin-dependent protein kinase type 1D OS=Mus musculus GN=Camk1d PE=1 SV=2                  "
"582","m.16169",177,0,0,0,1,0,0,0,0,0,0,-6.632,-2.6726,0.979306,0.991725,0.70336,"Q9TTS3","Acetyl-CoA carboxylase 1 OS=Bos taurus GN=ACACA PE=2 SV=1                    "
"583","m.16180",508,1,3,1,2,2,1,1,2,2,2,-7.002,-3.2569,0.788502,0.966943,0.456811,"Q0IIF7","Ubiquitin carboxyl-terminal hydrolase 14 OS=Bos taurus GN=USP14 PE=2 SV=3                   "
"584","m.16211",276,1,1,0,0,0,0,0,0,1,1,-6.836,-2.937,0.907567,0.984445,0.605333,"Q5E9C0","Ras suppressor protein 1 OS=Bos taurus GN=RSU1 PE=2 SV=1                   "
"585","m.16222",296,2,1,1,2,1,0,0,1,1,1,-6.839,-1.8586,0.99778,0.980998,0.8472,"A6QLU1","Glycerol-3-phosphate dehydrogenase mitochondrial OS=Bos taurus GN=GPD2 PE=2 SV=1                           "
"586","m.16226",279,4,3,2,2,1,1,3,2,2,2,-5.86,-2.1142,0.998428,0.987327,0.822759,"P33450","Cadherin-related tumor suppressor OS=Drosophila melanogaster GN=ft PE=1 SV=3                    "
"587","m.16233",161,6,7,4,4,9,2,6,5,6,6,-6.061,-2.0853,0.998594,0.986807,0.82619,NA,NA
"588","m.16246",388,4,6,2,2,3,1,1,2,3,1,-7.772,-2.4995,0.998391,0.991852,0.753148,"Q91WU5","Arsenite methyltransferase OS=Mus musculus GN=As3mt PE=2 SV=2                     "
"589","m.16258",131,0,1,0,0,0,0,0,0,1,0,-5.387,-1.9066,0.998207,0.982488,0.843537,"Q923G2","DNA-directed RNA polymerases I II and III subunit RPABC3 OS=Mus musculus GN=Polr2h PE=2 SV=3                           "
"590","m.1626",326,7,7,3,5,5,3,4,4,8,5,-1.604,-0.5135,0.865723,0.425978,0.876321,"Q32LM2","Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Bos taurus GN=SGTA PE=2 SV=1                 "
"591","m.16276",140,0,0,0,0,0,0,0,1,1,0,-6.686,-1.9241,0.998383,0.982995,0.842105,"P20007","Phosphoenolpyruvate carboxykinase [GTP] OS=Drosophila melanogaster GN=Pepck PE=2 SV=2                    "
"592","m.16281",177,1,1,1,1,1,0,0,0,1,1,-7.784,-3.7419,0.507245,0.937102,0.213239,"O95881","Thioredoxin domain-containing protein 12 OS=Homo sapiens GN=TXNDC12 PE=1 SV=1                   "
"593","m.16282",297,1,3,0,1,2,0,1,1,2,2,-7.681,-3.3151,0.763689,0.96338,0.427068,"Q9D1D6","Collagen triple helix repeat-containing protein 1 OS=Mus musculus GN=Cthrc1 PE=2 SV=2                 "
"594","m.16303",320,0,1,1,0,0,0,0,0,0,0,-6.377,-2.1788,0.998168,0.988337,0.81436,"Q9HBA9","Putative N-acetylated-alpha-linked acidic dipeptidase OS=Homo sapiens GN=FOLH1B PE=2 SV=1                   "
"595","m.16309",388,2,5,1,0,2,2,0,1,4,3,-7.298,-3.0797,0.857428,0.977324,0.542712,"Q5RBM6","Beta-ureidopropionase OS=Pongo abelii GN=UPB1 PE=2 SV=1                      "
