"","Protein","Len","S0","S0.1","S1","S1.1","S1.2","S1.3","S1.4","S1.5","S1.6","S1.7","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"712","m.1784",485,1,1,0,0,0,0,0,0,0,0,-6.215,-2.2851,0.955208,0.968418,0.656765,"P18503","Short-chain collagen C4 (Fragment) OS=Ephydatia muelleri PE=2 SV=1                    "
"713","m.17853",531,0,0,0,0,0,0,0,1,0,1,-4.711,-1.9832,1,0.965099,0.856616,"Q8BSY0","Aspartyl/asparaginyl beta-hydroxylase OS=Mus musculus GN=Asph PE=2 SV=1                     "
"714","m.17857",135,1,3,1,2,1,0,1,2,2,2,-6.002,-2.058,0.999999,0.966579,0.822246,"P50408","V-type proton ATPase subunit F OS=Rattus norvegicus GN=Atp6v1f PE=1 SV=1                  "
"715","m.17859",221,2,1,1,2,1,2,0,1,1,2,-4.198,-1.2367,1,0.891965,0.963752,"Q8C4B4","Protein unc-119 homolog B OS=Mus musculus GN=Unc119b PE=2 SV=1                   "
"716","m.17885",208,5,4,3,2,4,4,3,2,4,4,-3.408,-1.1422,1,0.861734,0.966373,"O18334","Ras-related protein Rab6 OS=Drosophila melanogaster GN=Rab6 PE=1 SV=1                    "
"717","m.17886",251,0,1,0,1,0,0,0,0,0,0,-6.362,-2.2529,0.966983,0.96848,0.685558,"Q5ZML3","Serine/arginine-rich splicing factor 1 OS=Gallus gallus GN=SRSF1 PE=1 SV=3                   "
"718","m.17895",500,6,5,2,5,6,3,3,3,2,5,-3.045,-0.9318,0.992778,0.746832,0.969866,"P43353","Aldehyde dehydrogenase family 3 member B1 OS=Homo sapiens GN=ALDH3B1 PE=1 SV=1                 "
"719","m.17897",385,5,6,3,5,3,2,4,5,4,8,-2.723,-0.7776,0.922872,0.615853,0.969676,"Q9VWH4","Probable isocitrate dehydrogenase [NAD] subunit alpha mitochondrial OS=Drosophila melanogaster GN=l(1)G0156 PE=2 SV=1                           "
"720","m.17910",625,1,2,1,1,2,1,1,1,2,1,-5.76,-1.751,1,0.957261,0.920378,"Q91VS8","FERM RhoGEF and pleckstrin domain-containing protein 2 OS=Mus musculus GN=Farp2 PE=1 SV=2                           "
"721","m.17927",304,0,1,0,0,1,0,0,0,0,0,-4.065,-1.192,1,0.878905,0.965094,"Q9NZ01","Very-long-chain enoyl-CoA reductase OS=Homo sapiens GN=TECR PE=1 SV=1                    "
"722","m.1793",310,5,4,3,3,3,1,2,3,2,2,-4.025,-1.3303,1,0.913512,0.960219,"Q99L04","Dehydrogenase/reductase SDR family member 1 OS=Mus musculus GN=Dhrs1 PE=2 SV=1                  "
"723","m.17939",224,0,1,0,0,0,0,0,0,0,0,-4.345,-1.5044,0.999955,0.939059,0.949968,NA,NA
"724","m.1796",557,7,9,7,9,11,6,8,7,12,11,-2.902,-1.3018,1,0.907678,0.961411,"P19891","Asparagine synthetase [glutamine-hydrolyzing] OS=Cricetulus griseus GN=ASNS PE=2 SV=2                    "
"725","m.17962",105,1,2,1,0,1,0,1,1,2,2,-4.79,-1.6237,1,0.949676,0.93868,"3864761","Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1                     "
"726","m.17967",175,3,3,4,3,4,2,3,4,4,2,-2.416,-1.0068,0.999997,0.796983,0.968934,"P26990","ADP-ribosylation factor 6 OS=Gallus gallus GN=ARF6 PE=2 SV=3                    "
"727","m.17970",233,4,4,0,1,1,0,2,2,1,1,-4.038,-1.0964,1,0.843084,0.967376,"Q56840","2-(R)-hydroxypropyl-CoM dehydrogenase OS=Xanthobacter autotrophicus (strain ATCC BAA-1158 / Py2) GN=xecD PE=1 SV=3                "
"728","m.17977",658,2,4,1,1,3,1,0,1,2,3,-4.32,-1.5012,0.999988,0.938712,0.950214,"Q6N069","N-alpha-acetyltransferase 16 NatA auxiliary subunit OS=Homo sapiens GN=NAA16 PE=1 SV=2                           "
"729","m.17984",639,10,12,10,12,15,4,9,10,15,13,-1.172,-0.5967,0.751907,0.437338,0.966027,"P49748","Very long-chain specific acyl-CoA dehydrogenase mitochondrial OS=Homo sapiens GN=ACADVL PE=1 SV=1                           "
"730","m.17992",724,11,18,5,8,11,3,7,8,13,14,-4.016,-1.2086,1,0.883996,0.964619,"P16276","Aconitate hydratase mitochondrial OS=Sus scrofa GN=ACO2 PE=1 SV=1                           "
"731","m.180",623,2,2,0,1,1,1,2,2,2,2,-5.48,-1.7323,1,0.956333,0.923593,"O60476","Mannosyl-oligosaccharide 12-alpha-mannosidase IB OS=Homo sapiens GN=MAN1A2 PE=1 SV=1                           "
"732","m.18001",225,1,1,0,1,0,0,1,1,1,1,-3.96,-1.241,1,0.893117,0.963612,"Q96PZ7","CUB and sushi domain-containing protein 1 OS=Homo sapiens GN=CSMD1 PE=1 SV=2                 "
"733","m.18009",870,3,2,1,0,0,0,0,0,1,1,-5.02,-1.6326,1,0.950315,0.937642,"Q9WVQ1","Membrane-associated guanylate kinase WW and PDZ domain-containing protein 2 OS=Mus musculus GN=Magi2 PE=1 SV=2                           "
"734","m.1802",545,2,1,0,1,1,0,0,0,0,1,-5.592,-1.5762,1,0.945938,0.943721,"Q9JI78","Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase OS=Mus musculus GN=Ngly1 PE=1 SV=2                     "
"735","m.18040",327,8,7,5,6,8,8,8,6,8,6,-4.506,-1.6368,1,0.950609,0.937142,"A4FV08","Glucosamine-6-phosphate isomerase 1 OS=Bos taurus GN=GNPDA1 PE=2 SV=1                    "
"736","m.18048",376,14,15,7,11,12,4,7,11,11,10,-4.274,-1.2755,1,0.901757,0.962417,"P51570","Galactokinase OS=Homo sapiens GN=GALK1 PE=1 SV=1                      "
"737","m.1806",594,2,2,1,1,3,0,1,1,2,4,-4.095,-1.7623,1,0.957795,0.918332,"O14841","5-oxoprolinase OS=Homo sapiens GN=OPLAH PE=1 SV=3                      "
"738","m.18060",194,3,2,2,2,4,1,3,2,3,3,-4.788,-1.6915,1,0.954103,0.929927,"Q6P1S4","Arginine--tRNA ligase cytoplasmic OS=Xenopus tropicalis GN=rars PE=2 SV=1                           "
"739","m.18062",181,7,7,6,4,7,2,7,7,7,8,-4.765,-1.7571,1,0.957552,0.919283,"Q6P7Q4","Lactoylglutathione lyase OS=Rattus norvegicus GN=Glo1 PE=1 SV=3                     "
"740","m.18064",292,1,0,1,0,1,0,1,0,1,1,-4.638,-1.4803,1,0.936354,0.951757,"Q9GLP1","Coagulation factor V OS=Sus scrofa GN=F5 PE=2 SV=1                    "
"741","m.18070",421,4,5,4,3,5,2,3,4,5,6,-2.478,-1.0698,1,0.830822,0.96789,"Q58DA0","26S proteasome non-ATPase regulatory subunit 4 OS=Bos taurus GN=PSMD4 PE=2 SV=1                 "
"742","m.1809",261,0,0,0,0,0,0,0,1,1,0,-4.377,-1.3513,1,0.917458,0.959267,"3273245","Predicted protein OS=Nematostella vectensis GN=v1g242093 PE=4 SV=1                     "
"743","m.1811",272,2,3,1,1,2,0,1,1,4,3,-5.745,-1.9737,1,0.964883,0.860375,"O02691","3-hydroxyacyl-CoA dehydrogenase type-2 OS=Bos taurus GN=HSD17B10 PE=1 SV=3                    "
"744","m.1813",275,0,0,0,0,0,0,1,0,0,1,-4.046,-1.3638,1,0.919674,0.958669,"Q54I71","Protein aardvark OS=Dictyostelium discoideum GN=aarA PE=2 SV=1                     "
"745","m.18144",177,2,4,2,2,3,2,2,2,2,4,-2.452,-0.7507,0.903737,0.590124,0.969342,"Q9NUQ9","Protein FAM49B OS=Homo sapiens GN=FAM49B PE=1 SV=1                     "
"746","m.18155",470,6,6,3,4,6,2,5,4,6,5,-5.066,-1.9806,1,0.965041,0.857657,NA,NA
"747","m.1816",454,0,1,0,0,0,0,0,0,0,1,-4.583,-1.817,1,0.960121,0.907198,"O57382","Tolloid-like protein 2 OS=Xenopus laevis GN=tll2 PE=2 SV=1                    "
"748","m.18179",295,13,15,3,3,6,5,3,5,7,6,-2.741,-1.1852,1,0.876733,0.965282,"Q8BHP7","Olfactomedin-like protein 2A OS=Mus musculus GN=Olfml2a PE=1 SV=1                    "
"749","m.18216",767,3,3,3,2,3,1,0,1,3,2,-5.906,-1.7477,1,0.957102,0.920961,"Q8CAQ8","Mitochondrial inner membrane protein OS=Mus musculus GN=Immt PE=1 SV=1                   "
"750","m.18280",786,0,1,0,0,1,0,1,0,0,1,-5.369,-1.8067,1,0.959714,0.909461,"4780878","Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1                      "
"751","m.18307",451,0,1,0,0,0,0,0,0,0,1,-3.843,-1.5055,0.999949,0.939177,0.949883,"Q8BX70","Vacuolar protein sorting-associated protein 13C OS=Mus musculus GN=Vps13c PE=1 SV=2                  "
"752","m.18336",196,0,0,0,0,0,1,1,0,1,0,-4.073,-1.4799,1,0.936307,0.951785,"P38487","Creatinase OS=Bacillus sp. (strain B-0618) PE=1 SV=3                     "
"753","m.1834",596,6,8,4,5,8,1,7,7,9,6,-4.084,-1.3765,1,0.92183,0.958036,"Q99MN1","Lysine--tRNA ligase OS=Mus musculus GN=Kars PE=1 SV=1                     "
"754","m.18341",246,1,0,1,2,1,0,1,1,3,0,-3.895,-1.3008,1,0.907463,0.96145,"Q3ZJ60","Photosystem Q(B) protein OS=Pseudendoclonium akinetum GN=psbA PE=3 SV=1                    "
"755","m.18355",140,2,6,2,4,5,4,4,5,6,5,-3.661,-1.161,1,0.86857,0.965915,"Q6P026","Barrier-to-autointegration factor OS=Danio rerio GN=banf1 PE=1 SV=1                     "
"756","m.18359",423,1,1,2,3,1,0,2,2,2,2,-4.904,-1.5157,0.99988,0.940252,0.949081,"Q6P2Z0","Basic leucine zipper and W2 domain-containing protein 1 OS=Xenopus tropicalis GN=bzw1 PE=2 SV=1               "
"757","m.18362",249,5,3,3,3,4,3,3,4,4,5,-1.185,-0.4309,0.535843,0.28646,0.960792,"P40124","Adenylyl cyclase-associated protein 1 OS=Mus musculus GN=Cap1 PE=1 SV=4                   "
"758","m.18366",538,5,6,1,2,2,2,2,2,4,5,-3.859,-1.652,1,0.951643,0.93527,"Q7TPB1","T-complex protein 1 subunit delta OS=Rattus norvegicus GN=Cct4 PE=1 SV=3                  "
"759","m.18370",247,3,4,0,1,1,0,1,2,2,2,-4.027,-1.4847,1,0.936864,0.95144,"3667855","Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_91695 PE=4 SV=1                    "
"760","m.18373",191,4,8,0,0,2,1,1,0,2,4,-3.01,-1.0277,0.999999,0.809004,0.968613,"3266256","Predicted protein OS=Nematostella vectensis GN=v1g237935 PE=4 SV=1                     "
"761","m.18387",243,3,4,1,1,3,1,1,2,3,2,-2.113,-0.7577,0.908939,0.596876,0.969437,NA,NA
"762","m.184",376,211,219,162,196,196,153,176,216,196,198,-1.482,-3.3481,0.037274,0.956607,0.002942,NA,NA
"763","m.18428",171,1,3,1,0,1,0,1,0,2,2,-5.115,-1.7923,1,0.959122,0.91249,"Q8BGC4","Zinc-binding alcohol dehydrogenase domain-containing protein 2 OS=Mus musculus GN=Zadh2 PE=1 SV=1                 "
"764","m.18439",485,2,2,0,1,2,1,1,1,1,2,-5.154,-1.6476,1,0.951349,0.935822,"P22105","Tenascin-X OS=Homo sapiens GN=TNXB PE=1 SV=3                      "
"765","m.18470",326,4,7,1,5,5,3,1,3,5,6,-1.74,-0.525,0.661201,0.368605,0.963882,"P41250","Glycine--tRNA ligase OS=Homo sapiens GN=GARS PE=1 SV=3 SV=2                    "
"766","m.18491",290,1,0,0,0,1,0,0,0,0,0,-5.931,-2.1175,0.999997,0.967509,0.787928,"O08839","Myc box-dependent-interacting protein 1 OS=Rattus norvegicus GN=Bin1 PE=1 SV=1                   "
"767","m.18493",251,3,3,2,3,3,2,2,2,2,4,-3.408,-1.2175,1,0.886605,0.964353,"Q9JJW6","Aly/REF export factor 2 OS=Mus musculus GN=Alyref2 PE=1 SV=1                   "
"768","m.1850",391,6,5,2,2,6,1,2,3,5,6,-5.998,-2.0334,0.999999,0.966134,0.834544,"Q9LIG0","Clavaminate synthase-like protein At3g21360 OS=Arabidopsis thaliana GN=At3g21360 PE=1 SV=1                   "
"769","m.18531",393,0,1,0,0,1,0,1,1,1,2,-4.524,-1.5177,0.999879,0.940459,0.948921,"P07221","Calsequestrin-1 OS=Oryctolagus cuniculus GN=CASQ1 PE=1 SV=1                      "
"770","m.18548",223,1,1,1,0,1,1,0,1,1,1,-3.804,-1.118,1,0.852249,0.966922,"Q8K370","Acyl-CoA dehydrogenase family member 10 OS=Mus musculus GN=Acad10 PE=1 SV=1                  "
"771","m.18550",321,2,2,2,3,3,0,1,3,2,3,-3.299,-1.2368,1,0.891992,0.963749,"A7RM20","Eukaryotic translation initiation factor 3 subunit I OS=Nematostella vectensis GN=v1g239264 PE=3 SV=1                "
"772","m.18553",252,11,12,10,16,11,8,15,12,13,13,-2.102,-0.6818,0.844465,0.52215,0.968128,NA,NA
"773","m.18556",357,14,15,9,9,12,9,11,14,19,14,-2.59,-0.8072,0.941367,0.643378,0.969944,"Q9UBQ7","Glyoxylate reductase/hydroxypyruvate reductase OS=Homo sapiens GN=GRHPR PE=1 SV=1                    "
"774","m.18584",365,2,1,1,3,1,1,2,1,1,1,-4.506,-1.8332,1,0.960735,0.903469,"Q9QZ08","N-acetyl-D-glucosamine kinase OS=Mus musculus GN=Nagk PE=2 SV=3                     "
"775","m.18586",202,2,2,1,2,4,1,2,1,2,3,-2.34,-0.7234,0.882023,0.563466,0.96892,"Q01528","Hemagglutinin/amebocyte aggregation factor OS=Limulus polyphemus PE=1 SV=1                     "
"776","m.18614",518,0,1,0,0,1,1,1,0,0,1,-5.507,-1.577,1,0.946006,0.943642,"Q5U3S1","Katanin p60 ATPase-containing subunit A-like 1 OS=Danio rerio GN=katnal1 PE=2 SV=1                 "
"777","m.1862",270,0,1,1,0,1,1,0,0,0,1,-5.049,-1.7701,1,0.958153,0.916871,NA,NA
"778","m.18621",247,1,0,1,0,0,1,0,0,0,0,-5.574,-1.7006,1,0.954626,0.92859,NA,NA
"779","m.1866",1135,5,7,4,6,7,3,3,3,5,8,-6.272,-1.9723,1,0.96485,0.860919,"P41252","Isoleucine--tRNA ligase cytoplasmic OS=Homo sapiens GN=IARS PE=1 SV=2                           "
"780","m.18667",123,1,1,0,0,0,0,0,0,0,0,-4.582,-1.4446,1,0.931923,0.95416,"Q8TER0","Sushi nidogen and EGF-like domain-containing protein 1 OS=Homo sapiens GN=SNED1 PE=2 SV=2                           "
"781","m.18748",201,8,7,7,6,9,6,7,6,9,8,-1.543,-0.6679,0.830752,0.508246,0.967826,"Q5U316","Ras-related protein Rab-35 OS=Rattus norvegicus GN=Rab35 PE=1 SV=1                    "
"782","m.1875",114,1,1,0,0,1,0,0,1,1,1,-3.958,-1.2583,1,0.897579,0.96303,"P30043","Flavin reductase (NADPH) OS=Homo sapiens GN=BLVRB PE=1 SV=3                    "
"783","m.18767",961,3,3,3,2,5,3,3,2,4,4,-5.892,-1.8118,1,0.959918,0.908351,"O43432","Eukaryotic translation initiation factor 4 gamma 3 OS=Homo sapiens GN=EIF4G3 PE=1 SV=2                "
"784","m.1881",292,24,26,14,15,18,8,15,20,25,25,-0.698,-0.221,0.299383,0.146548,0.954285,"P27463","Retinal dehydrogenase 1 OS=Gallus gallus GN=ALDH1A1 PE=2 SV=1                    "
"785","m.18818",131,2,2,1,0,0,0,0,1,1,3,-3.699,-1.307,1,0.908786,0.961201,NA,NA
"786","m.18819",1444,17,22,19,22,21,12,21,17,20,23,-2.916,-1.564,1,0.94488,0.944891,"Q99JG3","Annexin A13 OS=Mus musculus GN=Anxa13 PE=2 SV=3                     "
"787","m.18825",839,36,32,32,35,32,22,29,36,29,30,-5.832,-4.0143,4.9e-05,0.952081,4e-06,"Q14315","Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3                      "
"788","m.18834",354,8,7,6,6,8,5,7,8,8,9,-5.425,-2.3826,0.915295,0.967768,0.559816,"Q8AXV0","Endophilin-A2 OS=Gallus gallus GN=SH3GL1 PE=1 SV=1                      "
"789","m.1884",645,2,2,1,2,3,2,2,1,3,2,-4.578,-1.5743,1,0.945776,0.943906,"O00571","ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3                   "
"790","m.18862",137,4,3,2,4,4,1,3,4,4,3,-3.593,-1.2287,1,0.889776,0.964007,"P17702","60S ribosomal protein L28 OS=Rattus norvegicus GN=Rpl28 PE=1 SV=4                   "
"791","m.1889",383,2,2,0,2,2,1,1,1,1,2,-5.301,-1.714,1,0.955369,0.926545,"Q5ZM55","Protein fem-1 homolog B OS=Gallus gallus GN=FEM1B PE=2 SV=1                   "
"792","m.1894",197,0,0,0,0,0,1,0,0,0,0,-4.885,-1.4935,1,0.937862,0.950794,"3673358","Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_81321 PE=4 SV=1                    "
"793","m.18969",102,1,3,1,1,1,1,2,1,1,3,-3.919,-1.2275,1,0.889442,0.964045,"P37276","Dynein heavy chain cytoplasmic OS=Drosophila melanogaster GN=Dhc64C PE=2 SV=2                           "
"794","m.1897",265,1,3,1,1,3,2,2,3,3,4,-4.149,-0.9843,1,0.783092,0.969254,NA,NA
"795","m.18995",284,1,3,0,0,1,0,0,0,1,0,-6.275,-1.8973,1,0.962866,0.886433,"Q8NHP1","Aflatoxin B1 aldehyde reductase member 4 OS=Homo sapiens GN=AKR7L PE=2 SV=6                 "
"796","m.1903",378,4,4,2,1,3,2,3,3,2,3,-4.576,-1.3319,1,0.913823,0.960149,"O19072","Ornithine carbamoyltransferase mitochondrial (Fragment) OS=Sus scrofa GN=OTC PE=2 SV=1                           "
"797","m.19033",252,27,24,17,20,22,18,18,22,23,24,-4.561,-1.707,1,0.954985,0.927625,"Q7T356","14-3-3 protein beta/alpha-B OS=Danio rerio GN=ywhabb PE=2 SV=1                    "
"798","m.19079",424,0,0,0,0,0,0,1,0,0,0,-5.31,-1.7179,1,0.95558,0.925931,"Q6P2U9","COP9 signalosome complex subunit 3 OS=Danio rerio GN=cops3 PE=2 SV=1                  "
"799","m.19080",266,2,2,0,2,1,1,1,2,1,1,-3.345,-0.9237,0.990589,0.740816,0.969932,"Q9D733","Pancreatic secretory granule membrane major glycoprotein GP2 OS=Mus musculus GN=Gp2 PE=2 SV=3                "
"800","m.19106",321,0,0,0,1,0,0,0,0,0,0,-4.725,-1.5674,1,0.945179,0.94457,NA,NA
"801","m.1911",462,3,3,1,2,4,2,1,1,3,2,-3.81,-1.2613,1,0.898326,0.962925,NA,NA
"802","m.19148",194,0,0,1,1,1,0,0,0,0,0,-4.64,-1.5165,0.999882,0.940335,0.949017,"Q6UW02","Cytochrome P450 20A1 OS=Homo sapiens GN=CYP20A1 PE=2 SV=1                    "
"803","m.19151",186,11,7,10,12,9,7,11,15,8,7,-3.232,-1.3866,1,0.923479,0.957514,"Q9XZP2","Calmodulin-2 OS=Branchiostoma floridae GN=CAM2 PE=2 SV=4                      "
"804","m.1916",493,0,0,0,1,1,0,0,0,2,1,-5.569,-1.5279,0.999866,0.941491,0.948086,"Q8CFD1","RNA-binding protein 45 OS=Rattus norvegicus GN=Rbm45 PE=2 SV=1                    "
"805","m.19161",269,1,2,1,1,1,0,0,1,1,1,-4.511,-1.3524,1,0.917656,0.959216,"Q2KHP9","Fragile X mental retardation protein 1 homolog B OS=Xenopus laevis GN=fmr1-b PE=2 SV=1               "
"806","m.19191",287,1,1,0,1,1,0,0,0,1,1,-4.6,-1.6206,1,0.94945,0.939034,"Q4V8Y6","Endoplasmic reticulum-Golgi intermediate compartment protein 1 OS=Danio rerio GN=ergic1 PE=2 SV=1                 "
"807","m.19195",126,3,3,2,2,3,3,1,1,3,4,-3.951,-1.1836,1,0.876215,0.965325,"Q93104","Enhancer of rudimentary homolog OS=Aedes aegypti PE=3 SV=1                    "
"808","m.19225",469,3,7,2,3,2,1,2,2,2,2,-5.329,-1.4538,1,0.933116,0.953567,"P09327","Villin-1 OS=Homo sapiens GN=VIL1 PE=1 SV=4                      "
"809","m.19242",719,7,8,4,6,9,4,6,5,9,10,-5.113,-1.5062,0.999943,0.939252,0.949829,"Q9D0R2","Threonine--tRNA ligase cytoplasmic OS=Mus musculus GN=Tars PE=1 SV=2                           "
"810","m.1925",184,0,0,0,0,1,0,0,1,0,0,-4.623,-1.5091,0.999922,0.939561,0.949603,"Q5M9P8","ADP-ribosylation factor-like protein 6 OS=Danio rerio GN=arl6 PE=2 SV=1                   "
"811","m.19310",151,1,0,1,2,1,0,2,1,1,1,-3.44,-1.2116,1,0.884884,0.96453,NA,NA
"812","m.1936",223,0,2,1,1,1,1,0,1,2,2,-5.365,-1.6418,1,0.950955,0.936537,"Q3T168","Calcyclin-binding protein OS=Bos taurus GN=CACYBP PE=2 SV=1                     "
"813","m.19365",277,7,7,4,5,5,3,3,5,5,4,-3.547,-1.1621,1,0.868956,0.965888,"P05631","ATP synthase subunit gamma mitochondrial OS=Bos taurus GN=ATP5C1 PE=1 SV=3                           "
"814","m.19407",438,0,0,0,0,0,1,1,0,0,2,-4.149,-1.2134,1,0.885413,0.964476,"Q9W770","Spondin-1 OS=Gallus gallus GN=SPON1 PE=2 SV=1                      "
"815","m.19416",143,5,7,6,5,7,6,6,6,6,5,-1.48,-0.5465,0.689262,0.388773,0.964552,"Q9CQM5","Thioredoxin domain-containing protein 17 OS=Mus musculus GN=Txndc17 PE=1 SV=1                   "
"816","m.19419",213,2,1,1,2,1,1,1,0,1,1,-5.138,-1.6295,1,0.950094,0.938007,"Q54RA4","Probable iron/ascorbate oxidoreductase DDB_G0283291 OS=Dictyostelium discoideum GN=DDB_G0283291 PE=3 SV=1                   "
"817","m.19423",152,1,1,0,1,2,1,1,1,1,2,-3.648,-1.2443,1,0.893989,0.963504,"A7RLE5","Putative 2'-deoxynucleoside 5'-phosphate N-hydrolase 1 OS=Nematostella vectensis GN=v1g160099 PE=3 SV=1                  "
"818","m.19446",282,1,2,0,2,1,1,1,1,1,2,-4.435,-1.5008,0.99999,0.938668,0.950244,NA,NA
"819","m.19455",354,2,4,1,0,0,2,1,1,2,1,-5.371,-1.8943,1,0.962776,0.887319,"Q8YTC2","Uncharacterized WD repeat-containing protein alr2800 OS=Nostoc sp. (strain PCC 7120 / UTEX 2576) GN=alr2800 PE=4 SV=1            "
"820","m.19460",144,3,2,1,1,3,1,1,1,1,1,-3.836,-1.4005,1,0.925657,0.956767,"P11352","Glutathione peroxidase 1 OS=Mus musculus GN=Gpx1 PE=1 SV=2                    "
"821","m.19482",215,34,25,39,53,34,25,33,74,38,19,0.025,0.0163,0.139101,0.053865,0.949603,NA,NA
"822","m.19487",501,2,2,1,2,4,0,2,3,3,3,-3.615,-1.2494,1,0.895317,0.963334,"P49024","Paxillin OS=Gallus gallus GN=PXN PE=1 SV=1                      "
"823","m.19494",241,0,1,1,1,1,1,0,1,1,0,-4.172,-1.2507,1,0.895652,0.96329,"A7SKE9","Eukaryotic translation initiation factor 3 subunit G OS=Nematostella vectensis GN=v1g171563 PE=3 SV=1                "
"824","m.19495",508,6,4,6,4,3,4,5,6,6,5,-4.79,-1.7721,1,0.958243,0.91649,NA,NA
"825","m.1950",311,2,3,1,1,1,0,2,0,1,2,-5.197,-1.7779,1,0.958501,0.915371,"Q9D1M0","Protein SEC13 homolog OS=Mus musculus GN=Sec13 PE=2 SV=3                    "
"826","m.19503",183,1,1,1,0,2,1,1,0,1,2,-4.536,-1.5758,1,0.945904,0.94376,"3278559","Predicted protein OS=Nematostella vectensis GN=v1g245101 PE=4 SV=1                     "
"827","m.19504",313,0,1,0,0,0,1,1,0,1,1,-5.206,-1.6202,1,0.94942,0.939079,NA,NA
"828","m.19510",516,20,25,19,28,18,7,21,24,27,25,-3.155,-1.2476,1,0.894851,0.963394,"P94598","Glutamate dehydrogenase OS=Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482) GN=gdhA PE=3 SV=2        "
"829","m.19514",1648,2,4,0,0,2,2,2,2,2,1,-4.879,-1.6346,1,0.950455,0.937405,"Q8WZ42","Titin OS=Homo sapiens GN=TTN PE=1 SV=4                      "
"830","m.19534",303,1,2,0,2,1,1,0,1,2,2,-4.21,-1.4211,1,0.928701,0.955596,"Q58DT4","Pyrroline-5-carboxylate reductase 1 mitochondrial OS=Bos taurus GN=PYCR1 PE=2 SV=1                           "
"831","m.19535",181,2,2,1,2,2,1,0,2,2,1,-4.023,-1.163,1,0.869271,0.965865,"P62744","AP-2 complex subunit sigma OS=Rattus norvegicus GN=Ap2s1 PE=2 SV=1                   "
"832","m.19543",104,3,2,1,3,4,2,1,3,3,3,-2.927,-1.1966,1,0.880346,0.964965,NA,NA
"833","m.19558",268,3,4,1,1,4,5,0,1,4,5,-4.119,-1.3233,1,0.912132,0.960522,"Q9D1J1","Adaptin ear-binding coat-associated protein 2 OS=Mus musculus GN=Necap2 PE=1 SV=1                  "
"834","m.19580",222,4,5,1,1,2,0,2,2,4,6,-6.081,-2.1765,0.990989,0.968197,0.747093,NA,NA
"835","m.19592",449,1,1,0,0,1,0,1,0,1,2,-4.477,-1.6353,1,0.950505,0.937321,"Q5RDE7","Cysteine desulfurase mitochondrial OS=Pongo abelii GN=NFS1 PE=2 SV=1                           "
"836","m.19597",531,9,11,7,10,9,4,6,7,7,9,-5.351,-2.8622,0.483806,0.962006,0.092914,"Q5ZJ54","T-complex protein 1 subunit zeta OS=Gallus gallus GN=CCT6 PE=1 SV=3                  "
"837","m.19598",1537,1,3,1,2,3,1,1,1,2,2,-6.708,-2.275,0.958985,0.968447,0.665977,"Q9QZQ1","Afadin OS=Mus musculus GN=Mllt4 PE=1 SV=3                      "
"838","m.196",258,1,1,1,2,3,2,1,1,2,3,-4.61,-1.4869,1,0.937116,0.951281,"3272153","Predicted protein OS=Nematostella vectensis GN=v1g241439 PE=4 SV=1                     "
"839","m.19610",677,4,5,3,5,4,3,5,4,5,3,-4.342,-1.7566,1,0.957528,0.919374,"Q96AC1","Fermitin family homolog 2 OS=Homo sapiens GN=FERMT2 PE=1 SV=1                   "
"840","m.19621",362,0,1,0,1,1,2,0,1,2,2,-4.778,-1.7447,1,0.956955,0.921485,NA,NA
"841","m.19643",262,0,0,0,0,1,1,0,0,0,1,-4.646,-1.8309,1,0.96065,0.904012,"Q5R1W5","Serine/arginine-rich splicing factor 2 OS=Pan troglodytes GN=SRSF2 PE=2 SV=3                   "
"842","m.19657",547,2,2,1,1,2,1,1,1,2,1,-5.007,-1.5778,1,0.946073,0.943564,"Q91YT7","YTH domain-containing family protein 2 OS=Mus musculus GN=Ythdf2 PE=2 SV=1                  "
"843","m.19661",333,7,8,4,5,6,1,4,5,5,5,-5.464,-1.8914,1,0.962688,0.888167,"Q95028","L-lactate dehydrogenase OS=Drosophila melanogaster GN=ImpL3 PE=2 SV=1                     "
"844","m.19674",317,5,5,2,4,4,3,4,4,6,8,-3.074,-0.8773,0.975172,0.704352,0.970146,"Q3URF8","BTB/POZ domain-containing protein KCTD21 OS=Mus musculus GN=Kctd21 PE=2 SV=1                   "
"845","m.19685",242,3,2,3,3,4,3,3,3,2,3,-3.605,-1.3386,1,0.915106,0.95985,"Q5ZID6","Cytosolic 5'-nucleotidase 3A OS=Gallus gallus GN=NT5C3A PE=1 SV=3                    "
"846","m.19688",311,0,1,0,0,1,0,1,0,1,1,-4.315,-1.5764,1,0.945955,0.943701,"P56192","Methionine--tRNA ligase cytoplasmic OS=Homo sapiens GN=MARS PE=1 SV=2                           "
