"","PROTID","PROTLEN","DEFLINE","FSW1","FSW2","FSW3","LIP1","LIP2","LIP3","LIP4","LBP1","LBP2","MIP1","MIP2","MIP3","MIP4","MBP1","MBP2","MBP3","MBP4","HIP1","HIP2","HBP1","HBP2","HBP3","HBP4"
"649","m.15724",695,"Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2",2,2.5,2,1,3,3.5,1.5,3.5,4.5,4.5,1.5,3,2.5,3.5,1,2,0,2.5,1.5,2.5,2,2,1.5
"650","m.15734",455,"Protein canopy homolog 4 OS=Homo sapiens GN=CNPY4 PE=2 SV=1",0.333333333333333,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"651","m.15750",815,"m.15750",1,1,0,0,0,1,0.5,1,0.5,0,1,2.5,1,0.5,0,1,0,0,0,0,0,1,0
"652","m.15756",276,"Acetyl-coenzyme A synthetase 2-like, mitochondrial OS=Mus musculus GN=Acss1 PE=1 SV=1",1.66666666666667,2.5,0,0,0.5,0,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"653","m.1576",513,"Collagen alpha-5(VI) chain OS=Mus musculus GN=Col6a5 PE=1 SV=3",6.66666666666667,7,5,7.5,6,3,5.5,7,7.5,7,6,2,5,7,5,2.5,4.5,6,6.5,6,7,1.5,5
"654","m.15763",343,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial OS=Homo sapiens GN=GCAT PE=1 SV=1",0.333333333333333,1.5,0,0,1,0,0,2.5,2,2,2,0,0,0,0,0,0,0.5,0,0,1,0,0
"655","m.15764",225,"Phosphatidylinositol-binding clathrin assembly protein OS=Rattus norvegicus GN=Picalm PE=1 SV=1",3.66666666666667,3.5,2.5,2,3.5,2.5,1,5,4,3.5,3.5,3,2,4.5,2.5,1,0.5,3,3,2,2,3,3
"656","m.15770",157,"m.15770",0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5,0
"657","m.15778",129,"Conodipine-M alpha chain OS=Conus magus PE=1 SV=2",3,1,0,0,0,0,0,1,1.5,2,1,0,0,0.5,0,0,0,0,0,0,0,0,0
"658","m.15779",427,"G-protein-signaling modulator 2 OS=Homo sapiens GN=GPSM2 PE=1 SV=3",1.33333333333333,1,0,0,0.5,0,0,0.5,0,0,1,0,0,0.5,0,0,0,0,0,0,1,0,0
"659","m.15803",206,"Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2",3,3,0.5,2,3,3,0,3,3,2.5,0.5,1,1,1.5,0,0,0,0,0.5,0.5,1,0.5,0.5
"660","m.1582",284,"Calbindin-32 OS=Drosophila melanogaster GN=Cbp53E PE=2 SV=1",2,1.5,0.5,1,1,3.5,0,2,3,1.5,2,1.5,0.5,1.5,0.5,0,0.5,1,2,1.5,2,0.5,0
"661","m.15822",319,"Predicted protein OS=Nematostella vectensis GN=v1g244535 PE=4 SV=1",1,2,1,0.5,0,1,0.5,1,0.5,0,1,3,0.5,0.5,0,3.5,0,0.5,0.5,0,0,3,1
"662","m.1583",327,"Phosphoenolpyruvate phosphomutase OS=Mytilus edulis PE=1 SV=3",6.33333333333333,6,4,3.5,9,6,4.5,7,7,5,7,5,2.5,5.5,3,3.5,1.5,4,4.5,3,5,5,3
"663","m.15831",119,"m.15831",3.33333333333333,5.5,0.5,1,4.5,1,0,6.5,6,6,2,0.5,0,2.5,0.5,0,0,0,0.5,0,1,1.5,0.5
"664","m.15837",260,"m.15837",0.666666666666667,0.5,1,0,2,0,0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0
"665","m.15839",183,"GTP-binding protein SAR1b OS=Mus musculus GN=Sar1b PE=1 SV=1",6.33333333333333,5.5,2.5,4,5,4,2,6.5,6,5,6,2.5,2,6.5,4,2.5,1.5,5,5,5.5,6,3.5,2
"666","m.15850",195,"Tumor necrosis factor alpha-induced protein 8 OS=Gallus gallus GN=TNFAIP8 PE=2 SV=1",1,0.5,2,0,1,0,0.5,1.5,0.5,1,1,1.5,1.5,1,0,0.5,1,0,0,0,1,2,0.5
"667","m.15857",420,"Proteasomal ubiquitin receptor ADRM1 OS=Danio rerio GN=adrm1b PE=1 SV=1",3.66666666666667,4,4.5,1.5,3,5,2.5,4,2,3,5.5,4,2.5,4,1,2.5,1.5,1.5,3.5,3,3,2.5,2.5
"668","m.15859",410,"26S protease regulatory subunit 7 OS=Mus musculus GN=Psmc2 PE=1 SV=5",6,5,6.5,4,6,7,6.5,7.5,9.5,7,5,7,5.5,5.5,5,4,4.5,5,4.5,2.5,5,7,5
"669","m.15862",387,"Neuronal migration protein doublecortin OS=Mus musculus GN=Dcx PE=1 SV=1",1,1.5,0,0,1,0,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"670","m.15899",456,"Sorting nexin-30 OS=Mus musculus GN=Snx30 PE=2 SV=1",4,3.5,0.5,0,3,3.5,0.5,4.5,3,3,2,0.5,1.5,1,0.5,0.5,0.5,0,0.5,2,1,2,0
"671","m.1592",810,"Serine/threonine-protein kinase HT1 OS=Arabidopsis thaliana GN=HT1 PE=1 SV=1",2,2.5,0.5,0,1,1,0.5,1.5,1.5,0.5,3,1,0,2,0.5,1,0,1,1,0.5,1,0.5,0.5
"672","m.15923",2429,"Thyroglobulin OS=Bos taurus GN=TG PE=1 SV=1",25.3333333333333,32,23,21,29.5,13.5,21,31.5,24.5,22,16,19.5,22.5,12.5,5,9.5,14,11,12.5,6,8,21.5,9.5
"673","m.15941",522,"2-hydroxyacylsphingosine 1-beta-galactosyltransferase OS=Mus musculus GN=Ugt8 PE=2 SV=2",1.33333333333333,1,0,0,0.5,0,0,0.5,1.5,1,1.5,0,0,1.5,0.5,0,0,0,0,0,1,0,0
"674","m.15962",187,"Group XIIA secretory phospholipase A2 OS=Homo sapiens GN=PLA2G12A PE=1 SV=1",0,0,1,0,0,0.5,0.5,0,0,0,0,0,1,1,0,0,0,0.5,0,0,0,0.5,1.5
"675","m.1600",347,"5_-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Proteus mirabilis (strain HI4320) GN=mtnN PE=3 SV=1",0,0,1,0,1,0.5,0.5,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0
"676","m.16002",356,"Fibropellin-1 OS=Strongylocentrotus purpuratus GN=EGF1 PE=1 SV=2",0,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"677","m.16005",488,"Protein ERGIC-53 OS=Chlorocebus aethiops GN=LMAN1 PE=2 SV=1",2,1.5,0,0.5,3,0,0,1.5,3,1.5,2,0,0,3,3.5,0,0,0,0.5,0.5,1,0,0
"678","m.16008",262,"Predicted protein OS=Nematostella vectensis GN=v1g222210 PE=4 SV=1",2,3,0,1,1.5,0.5,0,2,2.5,2.5,3.5,0.5,0,3.5,2.5,0.5,0,2,2,0.5,1,0,0.5
"679","m.16009",808,"Laminin subunit alpha-3 OS=Mus musculus GN=Lama3 PE=1 SV=4",2.33333333333333,3,5.5,0.5,2,6.5,3.5,2.5,3.5,3,3,7,4,2,1.5,3,2.5,3.5,4,3.5,3,8.5,4
"680","m.16029",467,"Actin-related protein 10 OS=Mus musculus GN=Actr10 PE=1 SV=2",0,0.5,1,0,0.5,0.5,0,1,0.5,0.5,0.5,0,0.5,1.5,0,1,0,0,0,0,0,1,0
"681","m.16036",305,"Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_63863 PE=4 SV=1",1.66666666666667,2,1.5,1,3.5,1,0.5,3,4,5,2.5,0.5,0,3.5,2.5,1.5,0,2,3,1,2,1.5,1.5
"682","m.16043",429,"Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_86827 PE=4 SV=1",0,0,0,0,0,1,0.5,0,0,0,0,0.5,1.5,0,0,0,1,0,0,0,0,0,1
"683","m.16056",335,"ATPase ASNA1 homolog OS=Nematostella vectensis GN=v1g161623 PE=3 SV=1",0,0,0.5,0,0,1.5,0.5,0,0,0,0,0.5,0.5,0,0,1,0.5,0,0,0,0,1,0.5
"684","m.16060",768,"Unconventional myosin-VI OS=Sus scrofa GN=MYO6 PE=1 SV=1",0.666666666666667,1,0,0,1.5,0.5,1.5,1,2,1.5,2,1.5,1,1.5,0,0.5,0,1,0.5,0,0,0,0
"685","m.16068",336,"m.16068",0,0,2.5,0,0,1.5,2.5,0,0,0,0,0,2,0,0,0,2.5,0,0,0,0,1.5,3
"686","m.16090",446,"Flotillin-1 OS=Drosophila melanogaster GN=Flo-1 PE=2 SV=1",23.3333333333333,27.5,10.5,10.5,11.5,13,7.5,26,22,18.5,21,7,6.5,13.5,8,9.5,7.5,14,13,12.5,17,6.5,13
"687","m.16099",216,"m.16099",0,0,3,0,0,3.5,1.5,0,0,0,0,1.5,2.5,0,0.5,1,2,0.5,0,0,0,4,2
"688","m.161",1012,"Tax1-binding protein 1 homolog OS=Bos taurus GN=TAX1BP1 PE=2 SV=1",0,0,0,0,0,1,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1
"689","m.16119",234,"GrpE protein homolog 1, mitochondrial OS=Pongo abelii GN=GRPEL1 PE=2 SV=1",1,1,2.5,2,1.5,1.5,1.5,1,1.5,1.5,1.5,1.5,1.5,1,0,1,0.5,1,0.5,0,1,1,2
"690","m.16132",345,"Calcium/calmodulin-dependent protein kinase type 1D OS=Mus musculus GN=Camk1d PE=1 SV=2",2.66666666666667,2,2,0,3,3.5,3,2,2,2.5,0.5,2,2.5,1.5,1,3,1,1,2,0,2,1.5,1
"691","m.16138",263,"Sepiapterin reductase OS=Bos taurus GN=SPR PE=2 SV=1",0,0,0,0,0,1,0,0,0,0,0,1.5,0,0,0,1.5,0,0,0,0,0,0.5,0.5
"692","m.16148",390,"Proline-serine-threonine phosphatase-interacting protein 1 OS=Homo sapiens GN=PSTPIP1 PE=1 SV=1",0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0
"693","m.16169",177,"Acetyl-CoA carboxylase 1 OS=Bos taurus GN=ACACA PE=2 SV=1",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"694","m.16180",508,"Ubiquitin carboxyl-terminal hydrolase 14 OS=Bos taurus GN=USP14 PE=2 SV=3",1.33333333333333,3,1.5,1,1.5,2.5,1.5,1.5,3.5,1.5,2,2,2.5,2,1,1.5,1.5,1,1.5,1,2,2.5,3
"695","m.16211",276,"Ras suppressor protein 1 OS=Bos taurus GN=RSU1 PE=2 SV=1",0.666666666666667,1,1.5,0,1,1.5,1.5,2,0.5,0.5,0.5,2.5,1,0,0,1,1.5,0,0,0,0,0,0
"696","m.16222",296,"Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Bos taurus GN=GPD2 PE=2 SV=1",1.66666666666667,1,0,0,1,0,0,2,2.5,1,1,0,0,0.5,0,0,0,0,1,0.5,2,0,0
"697","m.16224",295,"Uncharacterized methyltransferase-like C25B8.10 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPAC25B8.10 PE=3 SV=1",0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5
"698","m.16226",279,"Cadherin-related tumor suppressor OS=Drosophila melanogaster GN=ft PE=1 SV=3",4,2.5,0.5,1,4,0.5,0.5,2.5,2,1.5,2,0.5,0,1,1,0.5,0,3,1.5,1.5,2,0.5,0.5
"699","m.16233",161,"m.16233",6,7,3.5,4.5,5,5.5,2,7.5,7,6,5.5,3.5,1.5,9,1.5,3.5,2,5.5,5,3.5,4,4,2.5
"700","m.16246",388,"Arsenite methyltransferase OS=Mus musculus GN=As3mt PE=2 SV=2",4,6,0,0.5,4.5,0,0,6,2.5,3,1,0,0,2.5,0.5,0,0,0.5,1.5,1.5,2,0,0
"701","m.16247",347,"Inosine-uridine preferring nucleoside hydrolase OS=Leishmania major GN=NSNH PE=1 SV=3",0,0,1,0,0,1.5,0,0,0,0,0,1.5,0,0,0,0.5,0,0,0,0,0,1.5,0.5
"702","m.16258",131,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 OS=Mus musculus GN=Polr2h PE=2 SV=3",0.333333333333333,0.5,1.5,0,0.5,2,1,1,0,0.5,0,1.5,1.5,0,0,1,1,0,0,0,0,2.5,1
"703","m.16259",270,"Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_63863 PE=4 SV=1",0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0.5
"704","m.1626",326,"Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Bos taurus GN=SGTA PE=2 SV=1",7,7,4.5,3,4.5,5,2.5,7.5,5,7.5,4.5,4,4,5,3,0.5,2.5,3.5,3.5,3,5,3.5,4.5
"705","m.16262",1336,"Protein fantom OS=Homo sapiens GN=RPGRIP1L PE=1 SV=2",0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0.5,0
"706","m.16276",140,"Phosphoenolpyruvate carboxykinase [GTP] OS=Drosophila melanogaster GN=Pepck PE=2 SV=2",0,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"707","m.16281",177,"Thioredoxin domain-containing protein 12 OS=Homo sapiens GN=TXNDC12 PE=1 SV=1",1.33333333333333,1,3.5,1.5,2,0.5,1.5,1,1,1,1,2,2.5,0.5,0,1,1.5,0,0,0.5,1,1.5,1.5
"708","m.16282",297,"Collagen triple helix repeat-containing protein 1 OS=Mus musculus GN=Cthrc1 PE=2 SV=2",1.33333333333333,2.5,1,1,1,1.5,1,2,1.5,1.5,1.5,1,2,2,0,1,1.5,1,1,0,1,1,1
"709","m.16303",320,"Putative N-acetylated-alpha-linked acidic dipeptidase OS=Homo sapiens GN=FOLH1B PE=2 SV=1",0,1,0.5,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5
"710","m.16309",388,"Beta-ureidopropionase OS=Pongo abelii GN=UPB1 PE=2 SV=1",2,4.5,2,0.5,1.5,2,0.5,3.5,6,3.5,2.5,1.5,2,2,1.5,1,0.5,0,1,0.5,0,1.5,1
"711","m.16319",224,"Acylpyruvase FAHD1, mitochondrial OS=Rattus norvegicus GN=Fahd1 PE=2 SV=1",1.33333333333333,0.5,1.5,0.5,1,1,1.5,0,3,0.5,0,1,2,1,0,1,2,0.5,1,0.5,1,0.5,3
"712","m.16351",226,"GTP-binding nuclear protein Ran OS=Xenopus laevis GN=ran PE=1 SV=2",8.33333333333333,11.5,3,6,7,3,2,10,8,8.5,8,3,3.5,9.5,5.5,3,0.5,6.5,5,5.5,4,3.5,2
"713","m.16371",297,"NADPH-dependent aldehyde reductase ARI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARI1 PE=1 SV=1",3,2,2.5,0,3.5,3,2,3,3.5,1.5,1.5,1.5,2,1.5,1.5,1.5,1,0,1,1.5,3,2,0.5
"714","m.1639",216,"m.1639",0,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1.5,0
"715","m.16396",363,"Hexosaminidase D OS=Homo sapiens GN=HEXDC PE=2 SV=3",0,0,0,0,0.5,0,0,0.5,1,0.5,0,0,0,0,0.5,0,0,0,0,0.5,1,0,0
"716","m.16414",306,"Pleckstrin homology domain-containing family F member 2 OS=Gallus gallus GN=PLEKHF2 PE=2 SV=1",0,0,1,0,0,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5
"717","m.16423",301,"Uncharacterized oxidoreductase MW2403 OS=Staphylococcus aureus (strain MW2) GN=MW2403 PE=3 SV=1",0,0.5,0,0,2,2,0.5,1.5,0.5,1.5,1.5,0,0,1,0,0,0,0.5,0,0,1,0,0.5
"718","m.16425",264,"Sorting nexin-17 OS=Danio rerio GN=snx17 PE=2 SV=1",0.666666666666667,1,0,0,0.5,0,0,0,1,1,1,0,0,0.5,0,0,0,0,0.5,0,0,0,0
"719","m.16428",233,"D-aspartate oxidase OS=Bos taurus GN=DDO PE=1 SV=2",0,0,0.5,0,0,1,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5
"720","m.16437",243,"Protein DD3-3 OS=Dictyostelium discoideum GN=DD3-3 PE=2 SV=1",0,0,2,0,0,0.5,1.5,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,2,1.5
"721","m.16442",194,"Uncharacterized protein OS=Tetranychus urticae PE=3 SV=1",0,0,1,0,0,1,0.5,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1.5
"722","m.16446",276,"Omega-amidase NIT2 OS=Mus musculus GN=Nit2 PE=1 SV=1",0.666666666666667,1.5,3,0.5,0,1,2.5,1,0.5,1,0.5,2,3,0,0,1,1,0,0,0,0,1,2.5
"723","m.16449",935,"Coatomer subunit beta_ OS=Mus musculus GN=Copb2 PE=2 SV=2",10.6666666666667,9.5,2.5,5.5,13.5,7,5,13.5,14.5,12,12,6.5,3.5,11.5,3,4,2.5,7,8.5,8,11,4,3.5
"724","m.16461",147,"Cofilin OS=Gibberella zeae (strain PH-1 / ATCC MYA-4620 / FGSC 9075 / NRRL 31084) GN=COF1 PE=3 SV=2",0.666666666666667,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"725","m.16465",273,"Acidic mammalian chitinase OS=Mus musculus GN=Chia PE=1 SV=2",0.333333333333333,0.5,1.5,0.5,0,0,0,0.5,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0
"726","m.16490",518,"Fibrillin-2 OS=Mus musculus GN=Fbn2 PE=1 SV=2",0,0,0,0,1.5,0,0,1,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"727","m.1652",495,"Synaptic vesicle membrane protein VAT-1 homolog OS=Danio rerio GN=vat1 PE=2 SV=1",30.3333333333333,30,28.5,15,17,37.5,22.5,28.5,29.5,24.5,27.5,37,27.5,25.5,10.5,26,16.5,24.5,24.5,19.5,25,37,29.5
"728","m.16523",512,"Supervillin OS=Bos taurus GN=SVIL PE=1 SV=2",0,0,1.5,0,0,1,1,0,0,0,0,0.5,1.5,0,0,0,0.5,0,0,0,0,1.5,1.5
"729","m.16526",293,"Lambda-crystallin homolog OS=Homo sapiens GN=CRYL1 PE=1 SV=3",2.66666666666667,1.5,1,0.5,1.5,4.5,1,1,0.5,2.5,1,1.5,0,1,0,2,1.5,0.5,1,0,0,1.5,1
"730","m.16534",278,"Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"731","m.16548",260,"Sortilin-related receptor OS=Homo sapiens GN=SORL1 PE=1 SV=2",0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"732","m.1655",411,"Alpha-N-acetylgalactosaminidase OS=Gallus gallus GN=NAGA PE=1 SV=1",2,3,1,2,3.5,1.5,0,4.5,4,3,2.5,1,1,4,0,0,1,3,2,2.5,3,1,1
"733","m.16552",236,"Predicted protein OS=Nematostella vectensis GN=v1g242207 PE=4 SV=1",0.666666666666667,1,0,0,1,0,0,0,0.5,0,1,0,0,0,0,0,0,1,1,1.5,1,0,0
"734","m.16570",215,"Baculoviral IAP repeat-containing protein 1e OS=Mus musculus GN=Naip5 PE=1 SV=2",0.666666666666667,1.5,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0
"735","m.16591",233,"m.16591",3,2,1.5,1.5,4.5,1,1.5,4,4,2.5,2.5,2,0.5,3,2,1,0.5,1.5,1.5,2,2,2,2
"736","m.16598",409,"Lissencephaly-1 homolog OS=Nematostella vectensis GN=v1g242515 PE=3 SV=1",0.333333333333333,2,3,2.5,1,2,3,1.5,2.5,2,2,2.5,3,1.5,0,2,2,1.5,0.5,1,1,3,2.5
"737","m.166",168,"Soma ferritin OS=Lymnaea stagnalis PE=2 SV=2",3,1,0,2.5,1,0,0,0,0.5,0.5,1,0,0,1,0,0,0,0.5,0.5,0.5,0,0,0
"738","m.16613",231,"Urocanate hydratase OS=Homo sapiens GN=UROC1 PE=1 SV=1",0,0,1,0,0,1.5,0.5,0,0,0,0,1,0.5,0,0,0.5,0,0,0,0,0,0.5,1
"739","m.1664",421,"Protein DEK OS=Homo sapiens GN=DEK PE=1 SV=1",0.333333333333333,0.5,0,0,0,0,0,0,2,0.5,1,0,0,1,0,0,0,0,0.5,0.5,0,0,0
"740","m.16651",319,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial OS=Xenopus tropicalis GN=hoga1 PE=2 SV=2",2.33333333333333,2.5,2.5,2.5,2.5,2.5,1.5,2.5,2,2,2,3,2.5,1.5,1,2,1,1.5,1,2.5,1,4,2
"741","m.16670",163,"m.16670",0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5
"742","m.16676",336,"BTB/POZ domain-containing protein KCTD21 OS=Mus musculus GN=Kctd21 PE=2 SV=1",2.33333333333333,2.5,0,1.5,2.5,0,0,2.5,3,2,2.5,0,0,2,1,0,0,2.5,1.5,0.5,3,0,0
"743","m.16692",411,"3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus GN=Acaa2 PE=1 SV=3",9.66666666666667,13.5,5.5,4.5,8,7.5,5.5,12.5,8,11,12,4,5.5,7.5,3.5,2.5,2.5,5.5,7.5,6,8,6.5,3.5
"744","m.16730",536,"Nuclear export mediator factor NEMF OS=Homo sapiens GN=NEMF PE=1 SV=4",0.666666666666667,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0
"745","m.16736",134,"m.16736",1.66666666666667,3,0,0,0,0.5,1,2.5,1.5,1.5,3,0,0.5,1,0,0,0,0.5,1,0,1,0,1
"746","m.16745",191,"m.16745",0,0,1,0,0,1,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0.5,0
"747","m.1680",375,"Methionine aminopeptidase 1 OS=Danio rerio GN=metap1 PE=2 SV=2",1.66666666666667,3.5,0.5,0,1.5,0.5,2.5,1.5,1.5,2,2,1,2.5,2,1,1,0,1,1,1.5,1,0.5,1.5
"748","m.16813",293,"33 kDa inner dynein arm light chain, axonemal OS=Strongylocentrotus purpuratus PE=1 SV=1",0.333333333333333,1.5,1,0,1,2,1,1,1,1,0.5,2,1,1,0,1.5,0,1,1,0.5,1,0,1
"749","m.1685",362,"Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens GN=AIMP1 PE=1 SV=2",0.333333333333333,1,1,1,3,1.5,0.5,1,2,0,1,1,0.5,0.5,1,0.5,1,0,0,0,0,0.5,1
"750","m.16859",1199,"Interactor protein for cytohesin exchange factors 1 OS=Homo sapiens GN=IPCEF1 PE=1 SV=1",1.66666666666667,2.5,15,2,2.5,12.5,15.5,3.5,3.5,1.5,2,9,13,5,1,5,8.5,4.5,2,1,3,8.5,12
"751","m.16861",197,"m.16861",0.333333333333333,1,0,0,0,0,0,0.5,1,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0
"752","m.16863",391,"Vacuolar protein-sorting-associated protein 36 OS=Danio rerio GN=vps36 PE=2 SV=1",0.333333333333333,0.5,0,0,1,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"753","m.16864",208,"Malignant T-cell-amplified sequence 1 OS=Homo sapiens GN=MCTS1 PE=1 SV=1",0,0,0,1,1.5,0,0,0.5,0.5,0.5,1.5,0,0,1,0.5,0,0,0,0.5,0,0,0,0
"754","m.16877",305,"Tolloid-like protein 2 OS=Mus musculus GN=Tll2 PE=1 SV=1",0,0,1.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,1,0.5
"755","m.1688",655,"Transmembrane 9 superfamily member 2 OS=Rattus norvegicus GN=Tm9sf2 PE=2 SV=1",3.66666666666667,6.5,1,2.5,5.5,2.5,0.5,4.5,6,1.5,2.5,0.5,0,5,1.5,0.5,1,2.5,2,2,3,0,0
"756","m.16887",302,"U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2",0.333333333333333,0,0,0,0,1,0.5,1,0.5,0,0,0.5,1,0,0.5,2.5,0,0,0,0,0,0.5,0.5
"757","m.16910",2217,"Collagen alpha-6(VI) chain OS=Homo sapiens GN=COL6A6 PE=1 SV=2",21.3333333333333,23.5,19.5,16,21,12,10.5,21.5,13.5,14.5,16,11.5,16,17,7.5,7.5,7,9.5,10.5,5,9,18,6.5
"758","m.16923",260,"Acyl-protein thioesterase 1 OS=Pongo abelii GN=LYPLA1 PE=2 SV=1",1.66666666666667,0.5,0,1,0.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0.5,0,1,1,0,0
"759","m.16955",391,"Macrophage mannose receptor 1 OS=Homo sapiens GN=MRC1 PE=1 SV=1",0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5
"760","m.16994",221,"Glutathione S-transferase OS=Blattella germanica PE=1 SV=3",9.33333333333333,10,4.5,5.5,7,4.5,3,14,11.5,10,15,3,4,14.5,8,3,3,7,7.5,6.5,7,3,2.5
"761","m.16997",579,"Lamin-L(I) OS=Xenopus laevis PE=2 SV=1",38,43.5,25,33.5,37.5,25.5,14.5,35,36,37,32.5,26.5,17.5,35.5,14.5,20.5,12,28,34.5,25,36,29.5,14
"762","m.17002",969,"Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3",1.33333333333333,1.5,4,0.5,3,1,1,2,2,1,1.5,3,2,2.5,1,0.5,1.5,1,0.5,0,1,4,1
"763","m.17007",211,"Predicted protein OS=Nematostella vectensis GN=v1g208975 PE=4 SV=1",1.33333333333333,1,0,2,3.5,0.5,0,3,3.5,2.5,1.5,0.5,0,2,0,0,0,1.5,0.5,0,2,0,1
"764","m.17032",119,"Mitochondrial import inner membrane translocase subunit Tim13-A OS=Xenopus laevis GN=timm13-a PE=3 SV=2",4,3.5,0.5,1,1.5,1,0,3,0.5,2,1,0,0,1,0,0,0,1,1.5,0.5,2,0,0.5
"765","m.1706",388,"Testin OS=Canis familiaris GN=TES PE=3 SV=1",2.33333333333333,1,3,0,1,0.5,0.5,2,2,1.5,1.5,1.5,2,2,0,0.5,0.5,1,2,0.5,0,2,1
"766","m.17099",205,"4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens GN=ALDH9A1 PE=1 SV=3",3,3.5,1.5,0,1,1.5,1,3.5,3,3.5,3.5,1.5,2,3,1,1,1.5,1.5,2,1.5,3,1,2
"767","m.171",2522,"Golgin subfamily A member 4 OS=Mus musculus GN=Golga4 PE=1 SV=2",0.333333333333333,1,3,0,2,1,1.5,1,1,1.5,0.5,1,3,0,0.5,0.5,1,0.5,0,0.5,0,2.5,1
"768","m.17101",439,"AP-2 complex subunit mu OS=Gallus gallus GN=AP2M1 PE=2 SV=1",8,10,3.5,1,9,4,3,10.5,8,6,9.5,3,4.5,7.5,5.5,3,2.5,6,5,4.5,7,3.5,2.5
"769","m.17110",253,"Rhamnosyl O-methyltransferase OS=Mycobacterium tuberculosis GN=Rv2959c PE=1 SV=1",0.666666666666667,2.5,0,0,0,0,0,3,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0
