Protein,Len,WS1,WS2,WS3,WO1,WO2,WO3,LogFldChng-K28-K30vsK31-K33,Zstat-K28-K30vsK31-K33,fdr-K28-K30vsK31-K33,FDRup-K28-K30vsK31-K33,FDRdown-K28-K30vsK31-K33,DEFLINE
m.17862,310,0,0,0,0,0,0,-0.433,-0.4914,0.533013,0.985132,0.919573,Hatching enzyme OS=Paracentrotus lividus PE=1 SV=1
m.17885,208,0,1,5,8,2,1,0.065,0.1303,1,1,0.86833,Ras-related protein Rab6 OS=Drosophila melanogaster GN=Rab6 PE=1 SV=1
m.17886,251,0,0,12,2,0,1,-1.761,-2.9831,0.170153,0.984086,0.030949,Serine/arginine-rich splicing factor 1 OS=Gallus gallus GN=SRSF1 PE=1 SV=3
m.17894,227,0,0,0,0,0,0,-0.402,-0.4636,0.535172,1,0.902175,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Xenopus tropicalis GN=lrpprc PE=2 SV=1"
m.17895,500,10,0,30,14,5,14,-0.625,-2.7287,0.332296,0.989895,0.068775,Aldehyde dehydrogenase family 3 member B1 OS=Homo sapiens GN=ALDH3B1 PE=1 SV=1
m.17897,385,6,2,12,13,5,1,-0.444,-1.4208,1,0.957972,0.898041,"Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Drosophila melanogaster GN=l(1)G0156 PE=2 SV=1"
m.1790,185,0,0,0,0,0,0,-0.5,-0.5655,0.546554,0.93188,0.974815,Putative gastrointestinal growth factor xP4 OS=Xenopus laevis GN=p4 PE=2 SV=1
m.17910,625,0,1,2,0,0,0,-0.746,-0.9052,1,0.866427,1,"FERM, RhoGEF and pleckstrin domain-containing protein 2 OS=Mus musculus GN=Farp2 PE=1 SV=2"
m.17922,150,0,0,0,0,0,0,-0.372,-0.436,0.541242,1,0.888066,Vitellogenin-1 OS=Fundulus heteroclitus GN=vtg1 PE=1 SV=2
m.1793,310,2,4,6,6,3,5,-0.23,-0.5679,0.547469,0.930227,0.977063,Dehydrogenase/reductase SDR family member 1 OS=Mus musculus GN=Dhrs1 PE=2 SV=1
m.17930,292,0,0,3,0,1,2,-0.632,-0.8816,0.997561,0.864297,1,m.17930
m.17938,188,0,0,0,18,1,0,1.586,2.488,0.043628,0.006085,0.971343,Glucosylceramidase OS=Sus scrofa GN=GBA PE=3 SV=1
m.1796,557,64,44,87,86,69,85,-0.188,-1.8893,1,0.997632,0.46392,Asparagine synthetase [glutamine-hydrolyzing] OS=Cricetulus griseus GN=ASNS PE=2 SV=2
m.17967,175,0,1,3,3,2,2,0.07,0.1109,1,1,0.864152,ADP-ribosylation factor 6 OS=Gallus gallus GN=ARF6 PE=2 SV=3
m.17970,233,0,0,0,10,1,0,1.011,1.6587,0.549163,0.107103,0.984448,2-(R)-hydroxypropyl-CoM dehydrogenase OS=Xanthobacter autotrophicus (strain ATCC BAA-1158 / Py2) GN=xecD PE=1 SV=3
m.17973,111,0,0,1,1,0,0,-0.363,-0.4062,0.552301,1,0.872848,"UPF0160 protein MYG1, mitochondrial OS=Bos taurus PE=2 SV=1"
m.17977,658,0,0,1,1,0,0,-0.448,-0.5224,0.53524,0.961425,0.940708,"N-alpha-acetyltransferase 16, NatA auxiliary subunit OS=Homo sapiens GN=NAA16 PE=1 SV=2"
m.17984,639,9,2,7,30,8,9,0.562,1.9895,0.218752,0.038355,0.979328,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADVL PE=1 SV=1"
m.17992,724,69,71,84,90,151,150,0.17,2.0067,0.207674,0.036261,0.979039,"Aconitate hydratase, mitochondrial OS=Sus scrofa GN=ACO2 PE=1 SV=1"
m.18001,225,0,0,0,0,0,0,-0.335,-0.3645,0.575999,1,0.855694,CUB and sushi domain-containing protein 1 OS=Homo sapiens GN=CSMD1 PE=1 SV=2
m.18008,238,0,0,0,0,0,0,-0.385,-0.4496,0.537757,1,0.894151,Protein wntless homolog B OS=Xenopus laevis GN=wls-b PE=2 SV=1
m.18009,870,0,0,0,0,0,0,-0.442,-0.5433,0.53952,0.945922,0.957299,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 OS=Mus musculus GN=Magi2 PE=1 SV=2"
m.18017,297,0,0,1,2,0,0,-0.044,-0.0538,1,1,0.834071,Retinol dehydrogenase 8 OS=Homo sapiens GN=RDH8 PE=1 SV=1
m.1802,545,0,0,2,1,0,4,0.043,0.0642,1,1,0.854834,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase OS=Mus musculus GN=Ngly1 PE=1 SV=2
m.18020,435,0,0,0,0,0,0,-0.474,-0.5295,0.536444,0.95544,0.946815,Cholesterol 24-hydroxylase OS=Homo sapiens GN=CYP46A1 PE=1 SV=1
m.18040,327,17,11,38,49,14,28,-0.065,-0.4126,0.549523,1,0.875447,Glucosamine-6-phosphate isomerase 1 OS=Bos taurus GN=GNPDA1 PE=2 SV=1
m.18047,117,0,0,0,0,0,0,-0.508,-0.5552,0.542968,0.938718,0.965949,Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Bos taurus GN=FKBP4 PE=1 SV=4
m.18048,376,37,42,50,91,49,33,-0.096,-0.7536,0.724033,0.866875,1,Galactokinase OS=Homo sapiens GN=GALK1 PE=1 SV=1
m.1806,594,1,1,4,10,5,5,0.87,1.7272,0.461336,0.087958,0.98356,5-oxoprolinase OS=Homo sapiens GN=OPLAH PE=1 SV=3
m.18060,194,10,9,13,6,3,1,-1.57,-4.3289,0.000743,0.962758,0.000102,"Arginine--tRNA ligase, cytoplasmic OS=Xenopus tropicalis GN=rars PE=2 SV=1"
m.18062,181,13,49,40,73,52,61,0.211,1.7954,0.384082,0.071175,0.982526,Lactoylglutathione lyase OS=Rattus norvegicus GN=Glo1 PE=1 SV=3
m.18064,292,0,0,1,1,1,1,-0.423,-0.483,0.533251,0.992073,0.914167,Coagulation factor V OS=Sus scrofa GN=F5 PE=2 SV=1
m.18070,421,2,0,9,3,1,3,-0.938,-2.0353,1,1,0.357642,26S proteasome non-ATPase regulatory subunit 4 OS=Bos taurus GN=PSMD4 PE=2 SV=1
m.1809,261,2,7,3,1,3,3,-0.996,-1.9368,1,0.998897,0.427301,Predicted protein OS=Nematostella vectensis GN=v1g242093 PE=4 SV=1
m.18090,289,2,1,2,0,3,3,-0.059,-0.0981,1,1,0.828674,Cytosol aminopeptidase OS=Xenopus tropicalis GN=lap3 PE=2 SV=1
m.18095,172,0,0,0,0,0,0,-0.427,-0.5053,0.533407,0.974015,0.928929,Predicted protein OS=Nematostella vectensis GN=v1g201651 PE=4 SV=1
m.18109,174,0,0,0,1,0,0,-0.379,-0.439,0.540392,1,0.88956,m.18109
m.1811,272,9,2,17,21,18,15,0.26,1.1581,1,0.374281,0.984525,3-hydroxyacyl-CoA dehydrogenase type-2 OS=Bos taurus GN=HSD17B10 PE=1 SV=3
m.18110,163,0,0,0,0,0,0,-0.433,-0.5012,0.533191,0.976193,0.927023,Leucine-rich repeat-containing protein 73 OS=Homo sapiens GN=LRRC73 PE=2 SV=1
m.18112,288,0,0,1,1,0,0,-0.416,-0.5036,0.533306,0.974015,0.928928,Sulfotransferase family cytosolic 1B member 1 OS=Homo sapiens GN=SULT1B1 PE=1 SV=2
m.1813,275,0,0,0,0,0,0,-0.372,-0.4096,0.550797,1,0.874138,Protein aardvark OS=Dictyostelium discoideum GN=aarA PE=2 SV=1
m.18130,179,0,0,0,0,0,0,-0.418,-0.4656,0.534889,1,0.903834,Bifunctional 3_-phosphoadenosine 5_-phosphosulfate synthase 1 OS=Homo sapiens GN=PAPSS1 PE=1 SV=2
m.18137,191,0,0,1,0,0,0,-0.492,-0.5862,0.555484,0.920777,0.990812,CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1
m.18144,177,2,7,8,20,4,10,0.301,0.9821,1,0.527514,0.979713,Protein FAM49B OS=Homo sapiens GN=FAM49B PE=1 SV=1
m.18155,470,30,30,48,90,43,48,0.121,1.0235,1,0.488532,0.981201,m.18155
m.1816,454,2,0,1,0,0,0,-0.768,-0.8558,0.931023,0.862919,1,Tolloid-like protein 2 OS=Xenopus laevis GN=tll2 PE=2 SV=1
m.18179,295,0,0,2,0,2,0,-0.401,-0.5952,0.560096,0.916352,0.997834,Olfactomedin-like protein 2A OS=Mus musculus GN=Olfml2a PE=1 SV=1
m.18183,178,0,0,0,6,3,0,0.816,1.1995,1,0.344224,0.985141,Regulator of microtubule dynamics protein 1 OS=Homo sapiens GN=RMDN1 PE=1 SV=1
m.182,199,0,0,0,0,0,0,-0.486,-0.5602,0.544639,0.935254,0.970356,Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3 OS=Mus musculus GN=Tstd3 PE=2 SV=1
m.18203,117,0,0,2,0,0,0,-0.664,-0.8226,0.853913,0.862412,1,m.18203
m.18212,135,0,0,0,0,0,0,-0.344,-0.3843,0.563513,1,0.863187,Thiamin pyrophosphokinase 1 OS=Bos taurus GN=TPK1 PE=2 SV=1
m.18216,767,0,0,0,0,0,2,-0.144,-0.1741,0.833478,1,0.824544,Mitochondrial inner membrane protein OS=Mus musculus GN=Immt PE=1 SV=1
m.18223,316,0,0,0,0,0,0,-0.409,-0.5062,0.533465,0.97186,0.93085,Peroxisomal biogenesis factor 19 OS=Pongo abelii GN=PEX19 PE=2 SV=1
m.18248,114,0,0,0,0,0,0,-0.435,-0.499,0.533109,0.978394,0.925135,m.18248
m.18254,294,0,0,0,0,0,0,-0.432,-0.5034,0.533294,0.974015,0.928928,Epimerase family protein SDR39U1 OS=Bos taurus GN=SDR39U1 PE=2 SV=1
m.18267,180,0,0,0,0,0,0,-0.429,-0.4875,0.533081,0.987423,0.917754,Translational activator GCN1 OS=Homo sapiens GN=GCN1L1 PE=1 SV=6
m.18280,786,0,1,1,4,0,2,0.51,0.7264,1,0.791047,0.964399,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1
m.18288,378,0,0,2,7,0,1,0.517,0.8293,1,0.681866,0.971926,Probable S-adenosylmethionine-dependent methyltransferase At5g37990 OS=Arabidopsis thaliana GN=At5g37990 PE=3 SV=2
m.18294,121,6,3,2,5,0,0,-0.897,-1.6936,1,0.987701,0.632193,UPF0390 protein zgc136864 OS=Danio rerio GN=zgc:136864 PE=3 SV=1
m.18307,451,0,0,0,0,0,0,-0.391,-0.4816,0.533327,0.992073,0.914167,Vacuolar protein sorting-associated protein 13C OS=Mus musculus GN=Vps13c PE=1 SV=2
m.18326,402,0,0,0,0,0,0,-0.481,-0.5482,0.540847,0.942275,0.961594,Group XV phospholipase A2 OS=Homo sapiens GN=PLA2G15 PE=1 SV=2
m.18336,196,1,5,5,4,7,4,-0.1,-0.2534,0.692591,1,0.829386,Creatinase OS=Bacillus sp. (strain B-0618) PE=1 SV=3
m.1834,596,2,2,21,14,4,6,-0.442,-1.5077,1,0.96976,0.810809,Lysine--tRNA ligase OS=Mus musculus GN=Kars PE=1 SV=1
m.18347,309,0,0,0,0,0,0,-0.353,-0.3879,0.561481,1,0.86433,Predicted protein OS=Nematostella vectensis GN=v1g209633 PE=4 SV=1
m.18355,140,30,34,32,35,20,9,-0.803,-4.926,0.000036,0.9582,0.000004,Barrier-to-autointegration factor OS=Danio rerio GN=banf1 PE=1 SV=1
m.18359,423,0,0,0,0,0,0,-0.371,-0.4416,0.539691,1,0.891073,Basic leucine zipper and W2 domain-containing protein 1 OS=Xenopus tropicalis GN=bzw1 PE=2 SV=1
m.18362,249,0,1,2,14,4,8,1.544,2.5816,0.030975,0.004149,0.970109,Adenylyl cyclase-associated protein 1 OS=Mus musculus GN=Cap1 PE=1 SV=4
m.18365,267,0,0,0,1,0,0,-0.404,-0.4818,0.533317,0.992073,0.914167,Complement C4-A OS=Homo sapiens GN=C4A PE=1 SV=2
m.18366,538,9,1,19,17,8,7,-0.314,-1.253,1,0.929097,1,T-complex protein 1 subunit delta OS=Rattus norvegicus GN=Cct4 PE=1 SV=3
m.18370,247,2,11,9,13,12,3,-0.157,-0.5607,0.544814,0.935254,0.970357,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_91695 PE=4 SV=1
m.18373,191,0,0,3,30,0,0,1.534,3.0226,0.00501,0.000562,0.965244,Predicted protein OS=Nematostella vectensis GN=v1g237935 PE=4 SV=1
m.18376,222,0,0,0,0,0,0,-0.336,-0.3745,0.569406,1,0.85987,Collagen alpha-4(VI) chain OS=Mus musculus GN=Col6a4 PE=1 SV=2
m.1838,245,0,0,0,0,0,0,-0.495,-0.5862,0.555484,0.920777,0.990812,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1
m.18387,243,0,0,1,0,0,0,-0.401,-0.4567,0.536324,1,0.898911,m.18387
m.1839,150,0,7,0,4,7,1,-0.103,-0.2445,0.705774,1,0.82804,m.1839
m.184,376,560,308,2439,2698,1684,1672,0.218,9.5055,0,0,0.951396,m.184
m.18406,213,1,0,2,4,0,0,0.118,0.169,1,1,0.876759,UMP-CMP kinase OS=Gallus gallus GN=CMPK PE=2 SV=1
m.18408,135,3,1,2,0,0,0,-1.141,-1.4426,1,0.96083,0.878304,Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_160587 PE=4 SV=1
m.18423,584,0,0,0,0,0,0,-0.384,-0.4109,0.550237,1,0.87545,m.18423
m.18428,171,0,0,1,1,1,0,-0.366,-0.3985,0.555938,1,0.869087,Zinc-binding alcohol dehydrogenase domain-containing protein 2 OS=Mus musculus GN=Zadh2 PE=1 SV=1
m.18439,485,0,0,1,0,4,2,0.54,0.6959,1,0.825421,0.961646,Tenascin-X OS=Homo sapiens GN=TNXB PE=1 SV=3
m.18452,186,0,0,2,0,0,0,-0.825,-1.0287,1,0.884558,1,m.18452
m.1846,234,0,0,0,8,0,0,0.955,1.3213,1,0.260026,0.986226,Wd40 repeat-containing protein OS=Leptolyngbya sp. Heron Island J GN=N836_24850 PE=4 SV=1
m.18462,162,0,0,1,0,1,1,-0.475,-0.5508,0.541602,0.940486,0.963763,Trans-L-3-hydroxyproline dehydratase OS=Saccoglossus kowalevskii GN=l3hypdh PE=1 SV=1
m.1847,1012,0,0,0,1,0,0,-0.41,-0.4732,0.533984,0.999214,0.90892,FCH domain only protein 2 OS=Danio rerio GN=fcho2 PE=2 SV=1
m.18470,326,15,3,27,48,12,19,0.197,1.1209,1,0.405869,0.983759,Glycine--tRNA ligase OS=Homo sapiens GN=GARS PE=1 SV=3
m.18491,290,0,0,0,1,0,1,-0.416,-0.4766,0.533675,0.996811,0.910651,Myc box-dependent-interacting protein 1 OS=Rattus norvegicus GN=Bin1 PE=1 SV=1
m.18493,251,0,0,0,0,0,0,-0.468,-0.5396,0.538594,0.94778,0.95517,Aly/REF export factor 2 OS=Mus musculus GN=Alyref2 PE=1 SV=1
m.1850,391,3,6,8,1,7,2,-0.967,-2.4333,0.590044,0.996326,0.152289,Clavaminate synthase-like protein At3g21360 OS=Arabidopsis thaliana GN=At3g21360 PE=1 SV=1
m.18511,317,1,4,2,4,0,0,-0.561,-0.9964,1,0.878645,1,Putative glycogen [starch] synthase OS=Drosophila melanogaster GN=CG6904 PE=1 SV=2
m.18531,393,3,2,5,18,6,7,0.782,2.0181,0.200616,0.034921,0.978845,Calsequestrin-1 OS=Oryctolagus cuniculus GN=CASQ1 PE=1 SV=1
m.18532,316,0,0,0,0,0,0,-0.427,-0.4868,0.533099,0.987423,0.917754,Uncharacterized protein YDR514C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR514C PE=1 SV=1
m.18543,325,0,0,4,1,0,0,-1.173,-1.5693,1,0.976786,0.749749,Sulfotransferase 1C4 OS=Homo sapiens GN=SULT1C4 PE=1 SV=2
m.18544,167,0,0,0,1,1,0,-0.414,-0.4709,0.534227,1,0.907207,m.18544
m.18548,223,0,0,0,1,0,0,-0.438,-0.5325,0.537029,0.953491,0.948882,Acyl-CoA dehydrogenase family member 10 OS=Mus musculus GN=Acad10 PE=1 SV=1
m.18550,321,1,0,2,0,0,1,-0.693,-0.7581,0.731298,0.86652,1,Eukaryotic translation initiation factor 3 subunit I OS=Nematostella vectensis GN=v1g239264 PE=3 SV=1
m.18553,252,25,25,20,15,29,9,-0.675,-3.8207,0.008413,0.968714,0.001186,m.18553
m.18556,357,47,52,43,59,82,94,0.118,1.1681,1,0.367715,0.984669,Glyoxylate reductase/hydroxypyruvate reductase OS=Homo sapiens GN=GRHPR PE=1 SV=1
m.18563,274,0,0,0,1,0,0,-0.413,-0.4587,0.535964,1,0.900535,Heat shock protein Hsp-16.41 OS=Caenorhabditis elegans GN=hsp-16.41 PE=2 SV=1
m.18584,365,4,0,12,15,5,8,0.095,0.3003,1,1,0.9042,N-acetyl-D-glucosamine kinase OS=Mus musculus GN=Nagk PE=2 SV=3
m.18586,202,0,0,0,0,0,0,-0.447,-0.4888,0.533047,0.987423,0.917753,Hemagglutinin/amebocyte aggregation factor OS=Limulus polyphemus PE=1 SV=1
m.18595,162,0,0,0,0,0,0,-0.401,-0.4756,0.533758,0.996811,0.910652,Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1
m.186,106,0,0,0,0,0,0,-0.415,-0.4691,0.534432,1,0.905511,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g224948 PE=4 SV=1
m.1860,191,0,0,0,0,0,0,-0.409,-0.4952,0.533024,0.980617,0.923264,m.1860
m.18614,518,0,0,0,0,0,0,-0.436,-0.5112,0.53387,0.969727,0.932789,Katanin p60 ATPase-containing subunit A-like 1 OS=Danio rerio GN=katnal1 PE=2 SV=1
m.18619,214,8,16,8,9,14,14,-0.231,-0.9538,1,0.872146,1,Predicted protein OS=Nematostella vectensis GN=v1g247951 PE=4 SV=1
m.1862,270,3,0,6,10,7,5,0.422,1.0503,1,0.465865,0.981982,m.1862
m.18621,247,11,44,1,12,3,0,-1.667,-5.918,0,0.95425,0,m.18621
m.1866,1135,5,1,32,19,8,7,-0.487,-1.9949,1,0.999905,0.386532,"Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=IARS PE=1 SV=2"
m.18667,123,0,0,0,0,0,0,-0.367,-0.406,0.552391,1,0.872849,"Sushi, nidogen and EGF-like domain-containing protein 1 OS=Homo sapiens GN=SNED1 PE=2 SV=2"
m.18674,608,0,0,0,0,0,0,-0.51,-0.5827,0.553811,0.922297,0.988491,Intraflagellar transport protein 74 homolog OS=Mus musculus GN=Ift74 PE=1 SV=2
m.18693,232,13,11,13,3,6,8,-1.198,-3.7757,0.010086,0.969347,0.001449,Menin OS=Canis familiaris GN=MEN1 PE=2 SV=1
m.18702,277,0,0,0,0,0,0,-0.461,-0.5544,0.542713,0.938719,0.965948,Folate receptor beta OS=Homo sapiens GN=FOLR2 PE=1 SV=4
m.1872,348,0,0,0,0,0,1,-0.492,-0.5453,0.540044,0.944088,0.959438,D-arabinitol dehydrogenase 1 OS=Uromyces fabae GN=ARD1 PE=1 SV=1
m.18748,201,8,1,7,11,10,2,-0.029,-0.0854,1,1,0.82985,Ras-related protein Rab-35 OS=Rattus norvegicus GN=Rab35 PE=1 SV=1
m.18767,961,4,1,8,10,3,10,0.184,0.5259,1,1,0.94201,Eukaryotic translation initiation factor 4 gamma 3 OS=Homo sapiens GN=EIF4G3 PE=1 SV=2
m.18783,182,0,0,0,0,0,0,-0.502,-0.5894,0.557072,0.91928,0.993143,Protein disulfide-isomerase 1 OS=Dictyostelium discoideum GN=pdi1 PE=1 SV=2
m.18785,179,0,0,0,0,0,0,-0.374,-0.4499,0.537691,1,0.895721,"Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial OS=Nematostella vectensis GN=v1g191789 PE=3 SV=1"
m.18794,246,0,0,0,0,0,0,-0.421,-0.5094,0.533712,0.969728,0.932789,Phospholipase A-2-activating protein OS=Mus musculus GN=Plaa PE=2 SV=4
m.18800,269,0,0,4,1,0,2,-0.786,-1.1246,1,0.903239,1,Allantoicase OS=Xenopus tropicalis GN=allc PE=2 SV=1
m.1881,292,79,13,134,109,184,248,0.488,6.097,0,0,0.953342,Retinal dehydrogenase 1 OS=Gallus gallus GN=ALDH1A1 PE=2 SV=1
m.18816,181,0,0,0,0,0,0,-0.41,-0.4582,0.536048,1,0.900535,Probable allantoinase 1 OS=Dictyostelium discoideum GN=allB1 PE=3 SV=1
m.18818,131,1,0,0,7,0,0,0.706,1.0716,1,0.446176,0.982612,m.18818
m.18819,1444,5,1,13,10,6,5,-0.293,-0.9314,1,0.869203,1,Annexin A13 OS=Mus musculus GN=Anxa13 PE=2 SV=3
m.18825,839,19,6,53,29,11,21,-0.628,-3.4965,0.03012,0.973813,0.00468,Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3
m.18830,196,0,0,0,0,0,0,-0.357,-0.4335,0.54199,1,0.886589,BAG family molecular chaperone regulator 1 OS=Homo sapiens GN=BAG1 PE=1 SV=4
m.18832,554,0,0,1,0,0,0,-0.47,-0.5294,0.536425,0.95544,0.946815,"Alkaline phosphatase, tissue-nonspecific isozyme OS=Gallus gallus GN=ALPL PE=2 SV=1"
m.18834,354,5,2,7,5,4,4,-0.473,-1.2655,1,0.93124,1,Endophilin-A2 OS=Gallus gallus GN=SH3GL1 PE=1 SV=1
m.18835,428,0,0,3,1,0,4,-0.255,-0.4114,0.550027,1,0.875449,E3 ubiquitin-protein ligase UBR4 OS=Mus musculus GN=Ubr4 PE=1 SV=1
m.1884,645,2,0,7,3,2,2,-0.809,-1.6468,1,0.983959,0.676731,ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3
m.18843,174,0,0,0,0,0,0,-0.361,-0.4231,0.545448,1,0.88087,Uncharacterized protein OS=Bacteroides coprophilus DSM 18228 = JCM 13818 GN=BACCOPRO_00644 PE=4 SV=1
m.18856,423,0,0,0,0,0,0,-0.474,-0.5367,0.537921,0.951562,0.950964,JmjC domain-containing protein 7 OS=Homo sapiens GN=JMJD7 PE=2 SV=1
m.18862,137,3,1,13,5,9,8,-0.099,-0.317,0.615643,1,0.841119,60S ribosomal protein L28 OS=Rattus norvegicus GN=Rpl28 PE=1 SV=4
m.18875,102,0,0,0,0,0,0,-0.493,-0.5883,0.556521,0.919282,0.99314,Cytochrome P450 10 OS=Lymnaea stagnalis GN=CYP10 PE=2 SV=1
m.18878,493,0,0,0,0,0,1,-0.495,-0.5921,0.558457,0.917805,0.995483,BSD domain-containing protein 1-A OS=Xenopus laevis GN=bsdc1-a PE=2 SV=1
m.1889,383,10,8,17,14,8,9,-0.544,-2.333,0.691964,0.998231,0.193384,Protein fem-1 homolog B OS=Gallus gallus GN=FEM1B PE=2 SV=1
m.18909,204,0,0,0,1,0,0,-0.405,-0.4687,0.534483,1,0.905511,Zinc-binding alcohol dehydrogenase domain-containing protein 2 OS=Mus musculus GN=Zadh2 PE=1 SV=1
m.1894,197,1,0,0,1,0,0,-0.4,-0.4531,0.537018,1,0.897307,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_81321 PE=4 SV=1
m.18940,324,0,1,0,0,0,0,-0.511,-0.6298,0.582119,0.899445,1,Predicted protein OS=Nematostella vectensis GN=v1g220885 PE=4 SV=1
m.18950,1362,0,0,0,0,0,0,-0.446,-0.5189,0.534746,0.963467,0.938704,Uncharacterized protein C9orf172 OS=Homo sapiens GN=C9orf172 PE=3 SV=1
m.18957,317,0,0,0,0,1,4,0.305,0.3935,1,1,0.921429,Selenoprotein O OS=Mus musculus GN=Selo PE=2 SV=4
m.18969,102,0,0,1,0,0,2,-0.06,-0.0727,1,1,0.831484,"Dynein heavy chain, cytoplasmic OS=Drosophila melanogaster GN=Dhc64C PE=2 SV=2"
m.1897,265,20,22,17,11,31,43,-0.014,-0.0812,1,1,0.83048,m.1897
m.18972,210,0,0,0,0,0,0,-0.499,-0.5835,0.554187,0.922296,0.988493,m.18972
m.18988,431,0,0,0,0,0,0,-0.388,-0.4538,0.53688,1,0.897306,Kinesin-like protein KIF28P OS=Homo sapiens GN=KIF28P PE=3 SV=2
m.18995,284,0,0,1,2,0,1,-0.02,-0.0232,1,1,0.838746,Aflatoxin B1 aldehyde reductase member 4 OS=Homo sapiens GN=AKR7L PE=2 SV=6
m.190,135,0,0,0,0,1,0,-0.441,-0.5272,0.536026,0.957412,0.944764,Serine/arginine-rich splicing factor 4 OS=Mus musculus GN=Srsf4 PE=2 SV=1
m.19001,223,0,0,0,0,0,0,-0.406,-0.4812,0.533349,0.992072,0.914167,m.19001
m.19004,115,0,33,0,0,0,0,-2.989,-4.4159,0.00048,0.961886,0.000065,m.19004
m.19027,198,0,0,0,0,0,0,-0.478,-0.5575,0.543721,0.936975,0.968146,WASH complex subunit strumpellin OS=Danio rerio GN=zgc:55908 PE=2 SV=1
m.1903,378,9,9,12,11,15,23,0.126,0.5713,1,0.969249,0.947913,"Ornithine carbamoyltransferase, mitochondrial (Fragment) OS=Sus scrofa GN=OTC PE=2 SV=1"
m.19033,252,33,20,35,41,21,33,-0.333,-2.332,0.693051,0.998279,0.194622,14-3-3 protein beta/alpha-B OS=Danio rerio GN=ywhabb PE=2 SV=1
m.19066,254,0,0,0,3,1,0,0.196,0.2528,1,1,0.894568,Chymotrypsin-like elastase family member 2A OS=Homo sapiens GN=CELA2A PE=1 SV=1
m.19068,541,0,1,4,0,0,0,-1.159,-1.515,1,0.970445,0.805209,Anoctamin-4 OS=Mus musculus GN=Ano4 PE=2 SV=2
m.19079,424,0,0,0,0,1,2,-0.119,-0.1495,0.888591,1,0.825117,COP9 signalosome complex subunit 3 OS=Danio rerio GN=cops3 PE=2 SV=1
m.19080,266,1,0,7,3,9,2,0.08,0.1953,1,1,0.88217,Pancreatic secretory granule membrane major glycoprotein GP2 OS=Mus musculus GN=Gp2 PE=2 SV=3
m.19105,387,0,0,0,0,1,0,-0.385,-0.4465,0.538469,1,0.892602,Procollagen galactosyltransferase 1 OS=Bos taurus GN=COLGALT1 PE=2 SV=1
m.19106,321,0,0,0,0,0,0,-0.525,-0.5696,0.548139,0.930225,0.977067,m.19106
m.19107,810,0,0,0,0,0,0,-0.475,-0.5386,0.538361,0.94966,0.953061,Tauropine dehydrogenase OS=Arabella iricolor GN=tadh PE=1 SV=1
m.1911,462,0,0,2,0,0,0,-0.769,-0.8535,0.925373,0.862815,1,m.1911
m.1912,186,0,0,1,1,0,0,-0.444,-0.5547,0.542809,0.938719,0.965949,m.1912
m.19124,169,0,0,0,0,0,0,-0.523,-0.5653,0.546478,0.93188,0.974814,15-hydroxyprostaglandin dehydrogenase [NAD(+)] OS=Cavia porcellus GN=HPGD PE=2 SV=1
m.19145,99,0,0,0,0,0,0,-0.401,-0.4476,0.538212,1,0.894153,m.19145
m.19148,194,0,0,0,2,0,0,-0.12,-0.1493,0.889062,1,0.825117,Cytochrome P450 20A1 OS=Homo sapiens GN=CYP20A1 PE=2 SV=1
m.19151,186,18,30,49,87,46,55,0.282,2.3768,0.064169,0.009511,0.972953,Calmodulin-2 OS=Branchiostoma floridae GN=CAM2 PE=2 SV=4
m.19152,420,1,0,0,0,0,0,-0.41,-0.4636,0.535172,1,0.902175,UBX domain-containing protein 4 OS=Rattus norvegicus GN=Ubxn4 PE=2 SV=1
m.1916,493,0,0,0,0,0,0,-0.554,-0.6135,0.570883,0.906799,1,RNA-binding protein 45 OS=Rattus norvegicus GN=Rbm45 PE=2 SV=1
m.19161,269,0,0,1,0,0,0,-0.5,-0.5826,0.553764,0.922297,0.988491,Fragile X mental retardation protein 1 homolog B OS=Xenopus laevis GN=fmr1-b PE=2 SV=1
m.19166,267,0,0,1,0,0,1,-0.368,-0.431,0.542769,1,0.885131,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g196670 PE=4 SV=1
