Protein,Len,HS1,HS2,HS3,HD1,HD2,HD3,LogFldChng-K34-K36vsK37-K39,Zstat-K34-K36vsK37-K39,fdr-K34-K36vsK37-K39,FDRup-K34-K36vsK37-K39,FDRdown-K34-K36vsK37-K39,DEFLINE
m.15335,292,0,0,0,0,0,0,-0.099,-0.1117,0.533033,0.911573,1,"Axin interactor, dorsalization-associated protein OS=Danio rerio GN=aida PE=1 SV=1"
m.15342,331,0,0,0,0,1,0,-0.059,-0.0665,0.526625,0.942189,0.965992,Geranylgeranyl transferase type-2 subunit beta OS=Rattus norvegicus GN=Rabggtb PE=1 SV=1
m.15345,109,0,0,0,0,0,0,0.04,0.0442,0.556232,1,0.897166,Splicing factor 3B subunit 3 OS=Pongo abelii GN=SF3B3 PE=2 SV=1
m.1536,264,0,0,7,0,0,0,-1.27,-1.7928,0.994617,0.995902,0.295472,m.1536
m.15365,326,0,0,0,0,0,0,-0.104,-0.119,0.535067,0.907348,1,Nuclear transcription factor Y subunit beta OS=Bos taurus GN=NFYB PE=2 SV=1
m.15370,180,83,33,55,31,69,92,0.104,0.9518,1,0.844759,0.966005,Beta gamma crystallin isoform 10 (Fragment) OS=Montipora capitata PE=2 SV=1
m.15377,555,130,181,118,123,125,163,-0.054,-0.8167,1,0.908347,1,Glucose-6-phosphate isomerase OS=Sus scrofa GN=GPI PE=1 SV=3
m.15383,168,0,0,0,0,0,0,-0.05,-0.0568,0.526628,0.950024,0.958353,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1
m.15388,345,1,8,10,2,5,10,-0.143,-0.4237,0.932334,0.834776,1,Acyl-CoA dehydrogenase family member 11 OS=Pongo abelii GN=ACAD11 PE=2 SV=2
m.15390,222,0,0,0,0,0,0,-0.015,-0.0171,0.531726,0.984136,0.930538,Predicted protein OS=Nematostella vectensis GN=v1g245862 PE=4 SV=1
m.15396,329,2,6,12,4,6,8,-0.114,-0.3519,0.772874,0.83441,1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Rattus norvegicus GN=Ech1 PE=1 SV=2"
m.15400,429,1,8,22,8,11,8,-0.145,-0.549,1,0.850616,1,Histone-binding protein RBBP7 OS=Danio rerio GN=rbbp7 PE=2 SV=1
m.15401,200,0,0,0,0,0,0,-0.084,-0.0987,0.530097,0.920411,0.990496,COMM domain-containing protein 4 OS=Mus musculus GN=Commd4 PE=2 SV=1
m.15409,308,0,3,4,0,0,0,-1.031,-1.4544,1,0.988756,0.55521,Eukaryotic translation initiation factor 4H OS=Mus musculus GN=Eif4h PE=1 SV=3
m.15418,181,0,0,0,1,0,0,-0.004,-0.0042,0.535169,0.993321,0.924284,Predicted protein OS=Monosiga brevicollis GN=29577 PE=4 SV=1
m.15419,125,0,0,2,0,0,0,-0.373,-0.4522,1,0.836813,1,Ragulator complex protein LAMTOR3-A OS=Xenopus laevis GN=lamtor3-a PE=2 SV=1
m.15422,456,0,0,0,1,0,0,0.012,0.014,0.54156,1,0.912603,Tubby-related protein 3 OS=Mus musculus GN=Tulp3 PE=1 SV=1
m.15426,1113,0,1,2,3,0,1,0.22,0.2883,0.917237,1,0.851515,Optineurin OS=Danio rerio GN=optn PE=2 SV=2
m.15432,271,0,0,0,0,0,0,-0.046,-0.0487,0.527,0.955403,0.953411,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_125500 PE=4 SV=1
m.15449,425,0,1,0,1,1,2,0.271,0.3383,1,1,0.854804,Carboxypeptidase Q OS=Xenopus laevis GN=cpq PE=2 SV=1
m.15457,489,0,0,0,0,0,0,-0.011,-0.012,0.532986,0.987168,0.928423,"Pyruvate dehydrogenase protein X component, mitochondrial OS=Mus musculus GN=Pdhx PE=2 SV=1"
m.1546,232,0,0,0,0,0,1,-0.109,-0.1288,0.53825,0.901255,1,Phosphonoacetaldehyde hydrolase OS=Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251) GN=phnX PE=3 SV=1
m.15462,185,7,8,3,5,7,8,0.07,0.2136,0.751673,1,0.852859,"Persulfide dioxygenase ETHE1 homolog, mitochondrial OS=Arabidopsis thaliana GN=GLY3 PE=1 SV=3"
m.15463,161,0,0,0,0,0,0,-0.116,-0.1387,0.541987,0.895452,1,Caltractin OS=Atriplex nummularia PE=2 SV=1
m.15465,123,0,0,0,0,0,0,-0.049,-0.054,0.526718,0.952699,0.955866,"Methylglutaconyl-CoA hydratase, mitochondrial OS=Mus musculus GN=Auh PE=1 SV=1"
m.1547,193,5,10,4,19,7,8,0.587,1.9204,0.543612,0.124515,0.996483,EF-hand domain-containing protein D2 OS=Mus musculus GN=Efhd2 PE=1 SV=1
m.15471,509,2,7,0,14,49,24,2.208,6.6425,0,0,0.955722,Bactericidal permeability-increasing protein OS=Homo sapiens GN=BPI PE=1 SV=4
m.15477,423,0,0,0,1,0,1,-0.087,-0.0951,0.529443,0.922702,0.987659,Putative bifunctional amine oxidase DDB_G0291301 OS=Dictyostelium discoideum GN=DDB_G0291301 PE=1 SV=1
m.15484,173,0,0,0,0,1,4,0.765,0.9946,1,0.797998,0.971138,N-alpha-acetyltransferase 50 OS=Xenopus tropicalis GN=naa50 PE=2 SV=1
m.15491,328,0,1,2,0,1,0,-0.372,-0.4472,0.995154,0.836514,1,Mitotic checkpoint protein BUB3 OS=Mus musculus GN=Bub3 PE=2 SV=2
m.15507,173,0,1,0,0,0,0,-0.038,-0.0426,0.52751,0.960908,0.94859,Predicted protein OS=Nematostella vectensis GN=v1g247020 PE=4 SV=1
m.15512,109,0,0,0,0,0,0,0.019,0.0211,0.544547,1,0.908958,Galaxin-like 1 OS=Acropora millepora PE=2 SV=1
m.15515,316,0,0,0,0,0,0,0.039,0.0408,0.554319,1,0.898759,Protein MEMO1 OS=Mus musculus GN=Memo1 PE=1 SV=1
m.15526,304,5,5,3,8,16,16,1.137,3.603,0.001245,0.000149,0.96996,Biliverdin reductase A OS=Mus musculus GN=Blvra PE=2 SV=1
m.15530,386,1,11,3,8,6,21,0.829,2.6781,0.087594,0.009873,0.983252,N-acetylserotonin O-methyltransferase-like protein OS=Homo sapiens GN=ASMTL PE=1 SV=3
m.15544,155,35,43,19,23,20,28,-0.331,-2.0153,0.649398,0.993866,0.17861,Ribonuclease UK114 OS=Capra hircus GN=HRSP12 PE=1 SV=3
m.15555,863,0,0,0,0,0,0,-0.085,-0.0913,0.528826,0.925026,0.984849,Cartilage intermediate layer protein 2 OS=Homo sapiens GN=CILP2 PE=2 SV=2
m.15571,240,0,0,0,0,0,0,-0.03,-0.035,0.528408,0.966534,0.943893,Exosome complex component RRP43 OS=Homo sapiens GN=EXOSC8 PE=1 SV=1
m.15573,170,1,2,0,3,0,3,0.605,0.9197,1,0.884329,0.961345,Calcineurin subunit B type 1 OS=Rattus norvegicus GN=Ppp3r1 PE=1 SV=2
m.15579,236,0,0,0,0,0,0,-0.113,-0.1256,0.537154,0.903253,1,Nuclear transcription factor Y subunit alpha OS=Homo sapiens GN=NFYA PE=1 SV=2
m.15586,275,61,49,46,44,61,56,0.024,0.2114,0.747651,1,0.853144,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Rattus norvegicus GN=Slc9a3r1 PE=1 SV=3
m.1560,548,5,6,21,13,5,9,-0.167,-0.6691,1,0.875105,1,T-complex protein 1 subunit theta OS=Gallus gallus GN=CCT8 PE=1 SV=3
m.15615,122,0,0,0,0,0,1,-0.043,-0.0464,0.527172,0.95814,0.950985,DNA polymerase delta subunit 4 OS=Bos taurus GN=POLD4 PE=1 SV=1
m.15618,675,0,0,0,0,0,1,0.002,0.0027,0.537377,0.999585,0.920268,Unconventional myosin-Ie OS=Mus musculus GN=Myo1e PE=1 SV=1
m.15624,128,0,0,0,0,0,0,-0.068,-0.0789,0.527323,0.932189,0.976592,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_88075 PE=4 SV=1
m.15629,357,0,0,0,0,0,0,-0.127,-0.1536,0.548615,0.886425,1,m.15629
m.1563,266,0,0,0,0,0,0,-0.092,-0.0979,0.52995,0.920412,0.990495,Protein NEDD1 OS=Bos taurus GN=NEDD1 PE=2 SV=1
m.15633,448,246,357,252,284,215,319,-0.063,-1.2635,1,0.975832,0.74274,Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2
m.15646,189,0,1,0,0,0,1,-0.01,-0.011,0.533243,0.987167,0.928425,m.15646
m.15654,184,0,0,0,0,0,0,-0.005,-0.0058,0.534699,0.993323,0.924281,Histone H1.0 OS=Mus musculus GN=H1f0 PE=2 SV=4
m.15663,149,0,0,0,0,0,0,-0.128,-0.1492,0.546532,0.889937,1,DNA damage-binding protein 1 OS=Mus musculus GN=Ddb1 PE=1 SV=2
m.15674,554,0,0,2,0,0,0,-0.449,-0.5442,1,0.850012,1,m.15674
m.15686,206,0,0,0,0,0,0,-0.021,-0.0233,0.530389,0.978151,0.934866,Calponin-3 OS=Bos taurus GN=CNN3 PE=2 SV=1
m.1569,147,1,0,0,0,0,0,-0.191,-0.2239,0.597234,0.858061,1,Peptidyl-prolyl cis-trans isomerase H OS=Homo sapiens GN=PPIH PE=1 SV=1
m.15693,310,29,26,14,28,23,27,0.113,0.6978,1,1,0.922847,Drebrin-like protein A OS=Xenopus laevis GN=dbnl-a PE=2 SV=1
m.15697,123,0,0,1,0,0,0,-0.051,-0.0597,0.526576,0.947381,0.960869,m.15697
m.15700,399,2,2,1,7,0,2,0.688,1.2626,1,0.521269,0.993426,m.15700
m.15711,412,0,0,0,0,0,0,-0.054,-0.0602,0.526572,0.947381,0.960869,"Reticulon-4-interacting protein 1, mitochondrial OS=Homo sapiens GN=RTN4IP1 PE=1 SV=2"
m.15722,235,0,31,4,46,3,21,0.645,3.0909,0.014198,0.001694,0.977224,Retinal dehydrogenase 1 OS=Oryctolagus cuniculus GN=ALDH1A1 PE=2 SV=1
m.15724,695,0,2,10,2,5,5,-0.088,-0.2184,0.59234,0.8592,1,Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2
m.1573,128,0,0,0,0,0,0,-0.048,-0.0499,0.526926,0.955404,0.95341,UBA-like domain-containing protein 2-A OS=Xenopus laevis GN=ubald2-a PE=2 SV=1
m.15734,455,0,0,0,0,0,0,0.014,0.0152,0.542046,1,0.912605,Protein canopy homolog 4 OS=Homo sapiens GN=CNPY4 PE=2 SV=1
m.15750,815,4,6,9,7,4,9,0.034,0.1122,0.609518,1,0.87148,m.15750
m.15756,276,0,3,2,0,0,1,-0.789,-1.021,1,0.946501,0.995833,"Acetyl-coenzyme A synthetase 2-like, mitochondrial OS=Mus musculus GN=Acss1 PE=1 SV=1"
m.1576,513,93,56,34,60,69,70,0.072,0.7412,1,1,0.931598,Collagen alpha-5(VI) chain OS=Mus musculus GN=Col6a5 PE=1 SV=3
m.15763,343,0,2,2,1,0,0,-0.669,-0.9043,1,0.926314,1,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial OS=Homo sapiens GN=GCAT PE=1 SV=1"
m.15764,225,1,4,4,3,2,5,0.089,0.1957,0.720255,1,0.854887,Phosphatidylinositol-binding clathrin assembly protein OS=Rattus norvegicus GN=Picalm PE=1 SV=1
m.15766,128,0,0,0,0,0,0,-0.09,-0.097,0.529784,0.920413,0.990494,Predicted protein OS=Nematostella vectensis GN=v1g198603 PE=4 SV=1
m.15770,157,31,0,0,0,0,8,-1.24,-3.5151,0.007009,0.967755,0.000881,m.15770
m.15776,107,1,3,7,1,0,0,-1.441,-1.9577,0.731156,0.994729,0.204563,Dihydroflavonol-4-reductase OS=Zea mays GN=A1 PE=3 SV=1
m.15778,129,0,0,0,0,0,0,-0.09,-0.1076,0.532015,0.913735,0.999171,Conodipine-M alpha chain OS=Conus magus PE=1 SV=2
m.15787,154,0,0,1,0,0,0,-0.038,-0.0441,0.527364,0.960909,0.94859,Putative E3 ubiquitin-protein ligase UBR7 OS=Mus musculus GN=Ubr7 PE=2 SV=1
m.15796,107,1,1,1,0,0,4,0.725,0.9193,1,0.884329,0.961345,m.15796
m.15802,284,0,0,0,0,0,0,0.028,0.0316,0.549482,1,0.903722,Golgi integral membrane protein 4 OS=Xenopus tropicalis GN=golim4 PE=2 SV=2
m.15803,206,2,5,3,2,0,3,-0.531,-0.9566,1,0.935716,1,Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2
m.15806,352,0,0,1,0,0,0,-0.033,-0.041,0.527669,0.963708,0.946225,Phospholipase A-2-activating protein OS=Rattus norvegicus GN=Plaa PE=2 SV=3
m.1582,284,0,0,1,1,0,0,-0.115,-0.1272,0.537696,0.901257,1,Calbindin-32 OS=Drosophila melanogaster GN=Cbp53E PE=2 SV=1
m.15822,319,0,3,2,4,0,3,0.281,0.4994,1,1,0.881174,Predicted protein OS=Nematostella vectensis GN=v1g244535 PE=4 SV=1
m.15828,465,0,0,1,0,0,0,0,-0.0003,0.536385,0.999592,0.920263,Coiled-coil domain-containing protein 47 OS=Mus musculus GN=Ccdc47 PE=2 SV=2
m.1583,327,3,20,36,4,9,19,-0.631,-2.8367,0.089715,0.975839,0.01573,Phosphoenolpyruvate phosphomutase OS=Mytilus edulis PE=1 SV=3
m.15831,119,0,0,5,0,0,0,-0.986,-1.3045,1,0.979242,0.701611,m.15831
m.15832,227,0,1,0,0,0,0,-0.052,-0.0613,0.526561,0.947381,0.960869,Neprilysin OS=Oryctolagus cuniculus GN=MME PE=1 SV=2
m.15837,260,0,0,0,0,0,0,-0.142,-0.1494,0.546624,0.889936,1,m.15837
m.15838,328,0,0,0,0,0,0,-0.019,-0.0207,0.530921,0.98113,0.932686,Poly(A) RNA polymerase GLD2-B OS=Xenopus laevis GN=papd4-b PE=1 SV=1
m.15839,183,2,7,8,5,13,24,0.909,3.2108,0.007818,0.000988,0.975422,GTP-binding protein SAR1b OS=Mus musculus GN=Sar1b PE=1 SV=1
m.15842,285,0,0,1,2,0,0,0.227,0.2671,0.864278,1,0.850999,Solute carrier family 23 member 1 OS=Mus musculus GN=Slc23a1 PE=1 SV=2
m.15850,195,1,0,0,3,1,0,0.486,0.6376,1,1,0.910106,Tumor necrosis factor alpha-induced protein 8 OS=Gallus gallus GN=TNFAIP8 PE=2 SV=1
m.15851,341,0,0,1,0,0,0,-0.128,-0.1526,0.548135,0.888163,1,Dehydrogenase/reductase SDR family member on chromosome X OS=Homo sapiens GN=DHRSX PE=2 SV=2
m.15857,420,1,9,23,7,6,6,-0.586,-2.0604,0.589739,0.993089,0.160556,Proteasomal ubiquitin receptor ADRM1 OS=Danio rerio GN=adrm1b PE=1 SV=1
m.15859,410,7,10,18,5,11,10,-0.316,-1.1554,1,0.96506,0.851864,26S protease regulatory subunit 7 OS=Mus musculus GN=Psmc2 PE=1 SV=5
m.1587,99,0,0,0,0,0,0,-0.067,-0.0796,0.527391,0.932189,0.976593,m.1587
m.15896,296,0,0,2,0,0,0,-0.324,-0.3986,0.871074,0.833794,1,m.15896
m.15899,456,0,1,0,0,1,0,-0.113,-0.1297,0.538563,0.899291,1,Sorting nexin-30 OS=Mus musculus GN=Snx30 PE=2 SV=1
m.159,816,0,0,0,0,0,0,-0.059,-0.0651,0.526588,0.942189,0.965992,Collagen alpha-2(IV) chain OS=Ascaris suum PE=2 SV=1
m.15906,317,0,0,0,0,0,0,-0.182,-0.211,0.586058,0.862766,1,E3 ubiquitin-protein ligase TRIP12 OS=Xenopus tropicalis GN=trip12 PE=2 SV=1
m.1592,810,0,0,0,0,0,0,-0.104,-0.1218,0.535927,0.905285,1,Serine/threonine-protein kinase HT1 OS=Arabidopsis thaliana GN=HT1 PE=1 SV=1
m.15923,2429,0,0,0,1,0,0,-0.031,-0.0371,0.52813,0.966536,0.943892,Thyroglobulin OS=Bos taurus GN=TG PE=1 SV=1
m.15932,208,0,0,0,0,0,0,-0.082,-0.0943,0.52931,0.922703,0.987658,Predicted protein OS=Nematostella vectensis GN=v1g248223 PE=4 SV=1
m.15962,187,0,3,0,0,0,1,-0.646,-0.8349,1,0.911948,1,Group XIIA secretory phospholipase A2 OS=Homo sapiens GN=PLA2G12A PE=1 SV=1
m.15964,135,0,0,0,0,0,0,-0.038,-0.0426,0.52751,0.960908,0.94859,Predicted protein OS=Nematostella vectensis GN=v1g238021 PE=4 SV=1
m.15968,670,0,0,0,0,0,0,-0.004,-0.005,0.534934,0.993321,0.924282,N-terminal kinase-like protein OS=Xenopus tropicalis GN=scyl1 PE=2 SV=1
m.15985,205,0,0,0,0,0,0,-0.045,-0.0483,0.527024,0.955403,0.953411,m.15985
m.15986,209,4,6,5,2,3,3,-0.649,-1.4231,1,0.987052,0.586507,Ras-related protein Rab-43 OS=Homo sapiens GN=RAB43 PE=1 SV=1
m.15993,477,0,0,1,1,0,0,-0.058,-0.0671,0.526641,0.942189,0.965992,Helicase ARIP4 OS=Xenopus tropicalis GN=rad54l2 PE=2 SV=1
m.1600,347,0,0,1,0,0,0,-0.095,-0.1203,0.535463,0.905287,1,5_-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Proteus mirabilis (strain HI4320) GN=mtnN PE=3 SV=1
m.16001,119,2,2,2,0,1,1,-0.816,-1.0634,1,0.952653,0.952555,CUB and sushi domain-containing protein 3 OS=Mus musculus GN=Csmd3 PE=2 SV=3
m.16005,488,0,0,0,5,0,0,0.835,1.1078,1,0.671397,0.983063,Protein ERGIC-53 OS=Chlorocebus aethiops GN=LMAN1 PE=2 SV=1
m.16008,262,1,0,4,8,1,6,0.934,1.784,0.70024,0.175938,0.998776,Predicted protein OS=Nematostella vectensis GN=v1g222210 PE=4 SV=1
m.16009,808,0,0,1,1,0,1,0.009,0.0099,0.539958,1,0.914471,Laminin subunit alpha-3 OS=Mus musculus GN=Lama3 PE=1 SV=4
m.16029,467,1,4,2,2,2,1,-0.406,-0.6575,1,0.872844,1,Actin-related protein 10 OS=Mus musculus GN=Actr10 PE=1 SV=2
m.16036,305,1,1,0,0,0,0,-0.09,-0.1046,0.531323,0.915928,0.996252,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_63863 PE=4 SV=1
m.16043,429,2,1,6,2,0,1,-0.915,-1.492,1,0.990387,0.5217,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_86827 PE=4 SV=1
m.16056,335,0,0,0,0,0,0,-0.192,-0.2229,0.596332,0.858064,1,ATPase ASNA1 homolog OS=Nematostella vectensis GN=v1g161623 PE=3 SV=1
m.16060,768,0,0,0,0,0,0,-0.053,-0.0565,0.526636,0.950024,0.958353,Unconventional myosin-VI OS=Sus scrofa GN=MYO6 PE=1 SV=1
m.16068,336,1,6,5,8,5,3,0.25,0.6515,1,1,0.912986,m.16068
m.16090,446,8,11,18,15,7,10,-0.155,-0.6255,1,0.866179,1,Flotillin-1 OS=Drosophila melanogaster GN=Flo-1 PE=2 SV=1
m.16099,216,30,9,23,0,4,6,-1.761,-5.0184,0.000001,0.95908,0,m.16099
m.161,1012,0,0,0,0,0,0,-0.11,-0.1267,0.537523,0.901258,1,Tax1-binding protein 1 homolog OS=Bos taurus GN=TAX1BP1 PE=2 SV=1
m.16108,243,0,2,1,2,0,0,-0.07,-0.0979,0.52995,0.920412,0.990495,1-aminocyclopropane-1-carboxylate synthase-like protein 1 OS=Takifugu rubripes GN=accs PE=3 SV=1
m.1611,195,0,0,0,0,0,4,0.716,0.9423,1,0.856582,0.964644,Contactin-associated protein 1 OS=Rattus norvegicus GN=Cntnap1 PE=1 SV=1
m.16119,234,0,4,4,3,1,7,0.182,0.4138,1,1,0.864708,"GrpE protein homolog 1, mitochondrial OS=Pongo abelii GN=GRPEL1 PE=2 SV=1"
m.16132,345,0,1,0,1,3,0,0.519,0.6803,1,1,0.919371,Calcium/calmodulin-dependent protein kinase type 1D OS=Mus musculus GN=Camk1d PE=1 SV=2
m.16146,338,0,0,0,0,0,0,-0.04,-0.0454,0.527251,0.95814,0.950986,Upstream-binding protein 1 OS=Homo sapiens GN=UBP1 PE=2 SV=1
m.16148,390,0,0,0,0,0,0,-0.091,-0.1105,0.532727,0.911575,1,Proline-serine-threonine phosphatase-interacting protein 1 OS=Homo sapiens GN=PSTPIP1 PE=1 SV=1
m.16154,134,0,0,0,0,0,0,-0.101,-0.1112,0.532906,0.911574,1,Retinoschisin OS=Takifugu rubripes GN=xlrs1 PE=3 SV=1
m.1617,1402,0,3,2,2,0,0,-0.538,-0.7954,1,0.903949,1,Collagen alpha-2(I) chain OS=Canis familiaris GN=COL1A2 PE=2 SV=2
m.16171,118,0,0,1,0,0,0,-0.088,-0.1051,0.531433,0.915927,0.996252,Proteasome assembly chaperone 3 OS=Nematostella vectensis GN=psmg3 PE=3 SV=1
m.16180,508,2,10,6,8,7,7,0.17,0.5054,1,1,0.881871,Ubiquitin carboxyl-terminal hydrolase 14 OS=Bos taurus GN=USP14 PE=2 SV=3
m.16196,636,0,0,0,0,0,0,-0.081,-0.0956,0.529526,0.922701,0.987659,Transmembrane and coiled-coil domains protein 1 OS=Homo sapiens GN=TMCC1 PE=1 SV=3
m.16208,224,2,0,0,0,0,0,-0.411,-0.5241,1,0.846539,1,m.16208
m.16211,276,0,0,0,0,0,0,-0.079,-0.0877,0.52831,0.927381,0.982069,Ras suppressor protein 1 OS=Bos taurus GN=RSU1 PE=2 SV=1
m.16218,322,0,0,0,0,0,0,-0.031,-0.0345,0.528474,0.966534,0.943894,Maspardin OS=Mus musculus GN=Spg21 PE=1 SV=1
m.16222,296,0,0,0,0,0,0,-0.027,-0.03,0.529169,0.972284,0.939317,"Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Bos taurus GN=GPD2 PE=2 SV=1"
m.16224,295,0,1,1,0,2,1,0.299,0.3807,1,1,0.860069,Uncharacterized methyltransferase-like C25B8.10 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPAC25B8.10 PE=3 SV=1
m.16226,279,0,0,0,0,0,0,-0.004,-0.0055,0.534787,0.993322,0.924281,Cadherin-related tumor suppressor OS=Drosophila melanogaster GN=ft PE=1 SV=3
m.16233,161,5,11,12,5,10,10,-0.116,-0.402,0.87902,0.833886,1,m.16233
m.16234,127,0,0,3,2,0,0,-0.333,-0.451,1,0.836818,1,m.16234
m.16246,388,1,1,0,0,0,0,-0.033,-0.037,0.528144,0.966536,0.943892,Arsenite methyltransferase OS=Mus musculus GN=As3mt PE=2 SV=2
m.16247,347,2,1,1,1,0,3,0.202,0.305,0.962467,1,0.852173,Inosine-uridine preferring nucleoside hydrolase OS=Leishmania major GN=NSNH PE=1 SV=3
m.16253,192,0,0,0,0,0,0,-0.013,-0.0151,0.532205,0.984132,0.93054,Predicted protein OS=Nematostella vectensis GN=v1g246196 PE=4 SV=1
m.16258,131,0,0,3,0,0,0,-0.656,-0.8092,1,0.90689,1,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 OS=Mus musculus GN=Polr2h PE=2 SV=3"
m.16259,270,0,2,0,3,1,2,0.422,0.6012,1,1,0.902828,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_63863 PE=4 SV=1
m.1626,326,9,11,10,15,16,16,0.451,1.9224,0.541579,0.123393,0.996419,Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Bos taurus GN=SGTA PE=2 SV=1
m.16270,103,0,0,0,0,0,0,-0.077,-0.0856,0.528033,0.927382,0.982067,"Signal peptide, CUB and EGF-like domain-containing protein 2 OS=Danio rerio GN=scube2 PE=2 SV=1"
m.16276,140,0,3,3,1,0,4,-0.18,-0.3123,0.704836,0.838091,1,Phosphoenolpyruvate carboxykinase [GTP] OS=Drosophila melanogaster GN=Pepck PE=2 SV=2
m.16279,310,0,0,0,0,0,0,-0.054,-0.0633,0.526573,0.944769,0.963416,Mitochondrial dicarboxylate carrier OS=Homo sapiens GN=SLC25A10 PE=1 SV=2
m.16281,177,8,10,9,6,11,15,0.175,0.6919,1,1,0.921463,Thioredoxin domain-containing protein 12 OS=Homo sapiens GN=TXNDC12 PE=1 SV=1
m.16282,297,0,0,0,0,0,0,-0.054,-0.0606,0.526568,0.947381,0.960869,Collagen triple helix repeat-containing protein 1 OS=Mus musculus GN=Cthrc1 PE=2 SV=2
m.16290,199,0,0,0,0,0,0,-0.031,-0.0337,0.528594,0.969395,0.941589,m.16290
m.16299,225,1,0,0,0,0,0,0.008,0.0083,0.539366,1,0.916373,m.16299
m.16303,320,0,0,0,1,0,1,-0.061,-0.0721,0.526839,0.937125,0.971233,Putative N-acetylated-alpha-linked acidic dipeptidase OS=Homo sapiens GN=FOLH1B PE=2 SV=1
m.16304,256,0,0,0,0,0,0,-0.09,-0.0946,0.52936,0.922703,0.987658,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1
m.16308,426,0,0,0,0,0,0,-0.035,-0.0381,0.528002,0.963706,0.946227,Cullin-4A OS=Homo sapiens GN=CUL4A PE=1 SV=3
m.16309,388,4,1,11,7,11,25,0.99,3.3287,0.004415,0.000568,0.973631,Beta-ureidopropionase OS=Pongo abelii GN=UPB1 PE=2 SV=1
m.16319,224,7,10,19,11,3,13,-0.318,-1.1712,1,0.966619,0.837589,"Acylpyruvase FAHD1, mitochondrial OS=Rattus norvegicus GN=Fahd1 PE=2 SV=1"
m.16321,224,0,0,0,0,0,0,-0.055,-0.0656,0.526601,0.942189,0.965992,Cytoskeleton-associated protein 5 OS=Homo sapiens GN=CKAP5 PE=1 SV=3
m.16332,202,0,0,0,0,0,0,0.001,0.0015,0.536981,0.999586,0.920265,PREDICTED: uncharacterized protein LOC100369350 [Saccoglossus kowalevskii]
m.16351,226,25,52,65,45,31,47,-0.159,-1.2723,1,0.976722,0.732394,GTP-binding nuclear protein Ran OS=Xenopus laevis GN=ran PE=1 SV=2
m.16363,339,0,1,1,0,0,0,-0.054,-0.0641,0.526579,0.944769,0.963416,Predicted protein OS=Nematostella vectensis GN=v1g208975 PE=4 SV=1
m.16371,297,10,4,0,11,6,8,0.517,1.5866,0.990543,0.276471,1,NADPH-dependent aldehyde reductase ARI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARI1 PE=1 SV=1
m.16384,119,0,2,2,1,0,0,-0.58,-0.7567,1,0.894952,1,Protein FAM45A OS=Mus musculus GN=Fam45a PE=2 SV=2
m.16389,304,0,0,1,0,0,0,0.017,0.0194,0.543803,1,0.910769,Peptidyl-prolyl cis-trans isomerase-like 6 OS=Bos taurus GN=PPIL6 PE=2 SV=1
m.1639,216,0,0,0,0,0,0,-0.143,-0.1674,0.555863,0.879771,1,m.1639
m.16406,179,0,0,0,0,0,0,-0.001,-0.0005,0.536319,0.999593,0.920263,m.16406
m.16414,306,0,2,1,0,1,0,-0.416,-0.5209,1,0.845989,1,Pleckstrin homology domain-containing family F member 2 OS=Gallus gallus GN=PLEKHF2 PE=2 SV=1
m.16423,301,0,0,0,0,0,0,-0.088,-0.1025,0.530861,0.91593,0.996248,Uncharacterized oxidoreductase MW2403 OS=Staphylococcus aureus (strain MW2) GN=MW2403 PE=3 SV=1
m.16425,264,0,1,0,0,0,0,-0.076,-0.0887,0.52844,0.92738,0.982069,Sorting nexin-17 OS=Danio rerio GN=snx17 PE=2 SV=1
m.16428,233,0,0,0,0,0,0,0.042,0.0476,0.558214,1,0.895603,D-aspartate oxidase OS=Bos taurus GN=DDO PE=1 SV=2
m.16437,243,2,11,4,14,13,2,0.52,1.6496,0.889751,0.24172,1,Protein DD3-3 OS=Dictyostelium discoideum GN=DD3-3 PE=2 SV=1
m.16442,194,16,0,8,0,14,12,0.082,0.3021,0.954386,1,0.852166,Uncharacterized protein OS=Tetranychus urticae PE=3 SV=1
