PROTID,DEFLINE,PN1,PO1,WN31,WO31,OO1,ON2,ON3,ON1,OO2,OO3,OO2,WO31,OO1,ON2,ON3,PN1,PO1,WN31,WO31,OO1,ON2,ON3,PN1,PO1,WN31,OO2,ON1,OO3
m.9774,"Alanine--glyoxylate aminotransferase 2, mitochondrial OS=Bos taurus GN=AGXT2 PE=2 SV=1",3,3,3,1,2,4,3,3,4,3,2,1,3,3,3,3,3,3,2,3,4,4,2,3,4,2,1,2
m.9778,m.9778,1,0,2,1,2,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0
m.10260,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1,2,1,1,0,0,1,1,1,1,2,2,0,1,2,1,2,1,1,0,1,1,2,1,1,3,2,1,2
m.12895,[Protein ADP-ribosylarginine] hydrolase OS=Mus musculus GN=Adprh PE=2 SV=1,1,0,1,0,1,1,1,0,0,0,0,0,2,1,1,0,0,1,1,1,2,1,0,0,1,0,0,1
m.9779,m.9779,3,2,1,2,4,2,6,4,4,3,4,1,2,2,4,3,3,1,3,3,2,5,3,2,4,3,1,2
m.9807,Putative glycosyltransferase OS=Micromonospora lupini str. Lupac 08 GN=MILUP08_30041 PE=4 SV=1,8,7,8,7,6,10,8,10,10,9,7,8,8,11,8,9,9,7,8,8,12,8,9,8,6,10,9,8
m.9816,m.9816,3,3,2,2,2,3,3,4,3,3,3,3,2,2,2,3,2,2,2,2,2,3,2,3,2,3,3,2
m.983,Sodium- and chloride-dependent GABA transporter 2 OS=Homo sapiens GN=SLC6A13 PE=1 SV=3,6,3,2,4,3,3,3,3,3,3,4,4,3,4,4,6,3,3,4,4,5,3,6,2,2,3,2,4
m.9853,Cytohesin-1 OS=Homo sapiens GN=CYTH1 PE=1 SV=1,2,1,1,0,1,2,4,1,2,2,1,0,2,0,2,4,1,1,1,1,1,2,3,1,1,3,2,2
m.9873,Glutathione S-transferase OS=Blattella germanica PE=1 SV=3,7,1,6,4,3,4,6,5,3,6,3,6,4,2,4,3,1,6,2,6,6,6,7,2,7,5,4,6
m.9881,Vacuolar protein sorting-associated protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS1 PE=1 SV=2,1,1,0,0,0,3,0,2,2,0,2,0,0,3,0,3,0,0,0,0,2,0,3,1,0,3,2,1
m.9886,m.9886,1,1,0,0,1,0,3,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,2,0
m.9891,Calmodulin OS=Paxillus involutus GN=calA PE=2 SV=3,5,3,2,2,2,3,4,3,5,5,4,3,2,2,2,3,3,2,2,2,5,2,4,3,3,8,3,3
m.9927,Bifunctional 3_-phosphoadenosine 5_-phosphosulfate synthase OS=Urechis caupo PE=2 SV=1,1,0,0,0,0,1,1,2,0,2,0,0,0,1,2,2,0,0,0,0,1,2,1,0,0,1,1,1
m.129,Brother of CDO OS=Homo sapiens GN=BOC PE=1 SV=1,3,2,1,0,2,2,2,1,2,2,1,0,1,2,1,2,1,2,0,1,1,2,2,1,0,3,0,2
m.9935,Calcium-regulated heat stable protein 1 OS=Homo sapiens GN=CARHSP1 PE=1 SV=2,4,3,2,1,3,2,3,3,2,2,2,0,3,2,3,3,3,1,1,3,4,2,3,2,1,3,2,3
m.9939,Vacuolar protein sorting-associated protein 29 OS=Homo sapiens GN=VPS29 PE=1 SV=1,4,4,5,4,4,5,4,4,4,5,5,5,4,4,6,4,4,4,4,5,5,4,5,4,5,6,5,4
m.9956,BRO1 domain-containing protein BROX OS=Xenopus tropicalis GN=brox PE=2 SV=1,1,0,0,0,1,2,1,1,3,1,1,0,1,4,2,1,0,1,0,0,3,2,0,0,1,2,3,2
m.9972,Cathepsin L OS=Drosophila melanogaster GN=Cp1 PE=2 SV=2,4,0,0,1,1,0,1,2,0,0,0,1,3,0,3,4,0,0,1,1,2,2,4,0,0,1,2,1
m.9986,Proteasome subunit beta type-4 OS=Bos taurus GN=PSMB4 PE=1 SV=1,5,3,4,4,5,6,6,7,9,6,10,6,4,6,7,4,4,3,4,4,6,5,6,3,5,8,4,4
P02769,Serum albumin OS=Bos taurus GN=ALB PE=1 SV=4,41,27,13,6,0,1,0,1,0,0,45,34,14,2,0,8,1,0,85,30,12,5,10,2,0,9,36,5
symbB1.EST_k37c20_10559|m.24436,symbB1.EST_k37c20_10559 g.24436  ORF symbB1.EST_k37c20_10559 g.24436 symbB1.EST_k37c20_10559 m.24436 type:3prime_partial len:113 (+) symbB1.EST_k37c20_10559:88-423(+),1,1,1,2,2,1,2,1,2,1,3,2,1,2,2,1,1,1,1,3,1,2,1,1,2,3,1,2
symbB1.EST_k37c20_10931|m.25343,symbB1.EST_k37c20_10931 g.25343  ORF symbB1.EST_k37c20_10931 g.25343 symbB1.EST_k37c20_10931 m.25343 type:complete len:629 (-) symbB1.EST_k37c20_10931:77-1963(-),1,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0
symbB1.EST_k37c20_10952|m.25393,symbB1.EST_k37c20_10952 g.25393  ORF symbB1.EST_k37c20_10952 g.25393 symbB1.EST_k37c20_10952 m.25393 type:complete len:404 (+) symbB1.EST_k37c20_10952:76-1287(+),6,3,5,4,3,7,7,1,7,6,8,5,3,6,9,7,3,6,2,2,6,8,5,2,6,10,1,6
symbB1.EST_k37c20_11005|m.25482,symbB1.EST_k37c20_11005 g.25482  ORF symbB1.EST_k37c20_11005 g.25482 symbB1.EST_k37c20_11005 m.25482 type:5prime_partial len:479 (-) symbB1.EST_k37c20_11005:53-1489(-),0,0,0,0,0,1,3,0,2,1,1,1,1,1,2,0,0,1,0,0,1,2,0,0,0,1,0,2
m.12917,Penicillin acylase OS=Lysinibacillus sphaericus PE=1 SV=1,3,1,1,1,2,0,0,0,0,0,2,1,1,0,2,3,2,1,1,1,1,1,3,1,1,1,2,1
symbB1.EST_k37c20_11120|m.25660,symbB1.EST_k37c20_11120 g.25660  ORF symbB1.EST_k37c20_11120 g.25660 symbB1.EST_k37c20_11120 m.25660 type:5prime_partial len:115 (+) symbB1.EST_k37c20_11120:2-346(+),1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1
symbB1.EST_k37c20_11157|m.25744,symbB1.EST_k37c20_11157 g.25744  ORF symbB1.EST_k37c20_11157 g.25744 symbB1.EST_k37c20_11157 m.25744 type:5prime_partial len:424 (-) symbB1.EST_k37c20_11157:53-1324(-),1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,0,1
symbB1.EST_k37c20_1118|m.2546,symbB1.EST_k37c20_1118 g.2546  ORF symbB1.EST_k37c20_1118 g.2546 symbB1.EST_k37c20_1118 m.2546 type:5prime_partial len:515 (-) symbB1.EST_k37c20_1118:456-2000(-),0,0,0,0,0,0,1,1,2,1,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
symbB1.EST_k37c20_11223|m.25887,symbB1.EST_k37c20_11223 g.25887  ORF symbB1.EST_k37c20_11223 g.25887 symbB1.EST_k37c20_11223 m.25887 type:complete len:300 (+) symbB1.EST_k37c20_11223:209-1108(+),2,2,1,1,2,2,3,0,3,2,3,2,3,2,2,2,2,3,1,3,2,2,2,2,3,2,1,2
symbB1.EST_k37c20_11310|m.26082,symbB1.EST_k37c20_11310 g.26082  ORF symbB1.EST_k37c20_11310 g.26082 symbB1.EST_k37c20_11310 m.26082 type:complete len:319 (-) symbB1.EST_k37c20_11310:95-1051(-),0,0,0,0,0,1,1,2,0,0,1,0,0,2,1,1,0,0,0,0,0,0,1,0,0,2,0,0
symbB1.EST_k37c20_12510|m.28784,symbB1.EST_k37c20_12510 g.28784  ORF symbB1.EST_k37c20_12510 g.28784 symbB1.EST_k37c20_12510 m.28784 type:complete len:721 (+) symbB1.EST_k37c20_12510:133-2295(+),0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
symbB1.EST_k37c20_12680|m.29198,symbB1.EST_k37c20_12680 g.29198  ORF symbB1.EST_k37c20_12680 g.29198 symbB1.EST_k37c20_12680 m.29198 type:5prime_partial len:525 (+) symbB1.EST_k37c20_12680:1-1575(+),3,2,1,1,4,2,3,1,3,2,3,0,3,2,3,2,1,2,0,3,3,1,3,1,1,4,1,2
symbB1.EST_k37c20_12707|m.29253,symbB1.EST_k37c20_12707 g.29253  ORF symbB1.EST_k37c20_12707 g.29253 symbB1.EST_k37c20_12707 m.29253 type:complete len:798 (-) symbB1.EST_k37c20_12707:110-2503(-),1,1,1,2,1,1,2,1,2,1,2,1,1,0,2,0,1,2,1,1,0,3,1,1,1,1,2,1
symbB1.EST_k37c20_12825|m.29527,symbB1.EST_k37c20_12825 g.29527  ORF symbB1.EST_k37c20_12825 g.29527 symbB1.EST_k37c20_12825 m.29527 type:complete len:152 (+) symbB1.EST_k37c20_12825:396-851(+),1,0,0,0,1,0,1,0,2,1,2,0,1,0,2,0,0,0,0,0,1,1,0,0,0,2,0,1
symbB1.EST_k37c20_13424|m.30860,symbB1.EST_k37c20_13424 g.30860  ORF symbB1.EST_k37c20_13424 g.30860 symbB1.EST_k37c20_13424 m.30860 type:complete len:415 (+) symbB1.EST_k37c20_13424:105-1349(+),2,1,0,0,2,1,2,1,3,2,2,0,2,1,2,0,2,0,0,2,3,1,1,1,0,4,1,1
m.12941,Ketimine reductase mu-crystallin OS=Rattus norvegicus GN=Crym PE=1 SV=1,10,6,5,4,7,11,5,12,9,5,7,4,6,10,4,8,6,3,3,5,8,5,7,3,6,6,7,5
symbB1.EST_k37c20_1348|m.3129,symbB1.EST_k37c20_1348 g.3129  ORF symbB1.EST_k37c20_1348 g.3129 symbB1.EST_k37c20_1348 m.3129 type:5prime_partial len:292 (-) symbB1.EST_k37c20_1348:101-976(-),1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,3,1,1,2,1,1,1
symbB1.EST_k37c20_13730|m.31514,symbB1.EST_k37c20_13730 g.31514  ORF symbB1.EST_k37c20_13730 g.31514 symbB1.EST_k37c20_13730 m.31514 type:5prime_partial len:220 (-) symbB1.EST_k37c20_13730:88-747(-),1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1
symbB1.EST_k37c20_14321|m.32751,symbB1.EST_k37c20_14321 g.32751  ORF symbB1.EST_k37c20_14321 g.32751 symbB1.EST_k37c20_14321 m.32751 type:3prime_partial len:839 (-) symbB1.EST_k37c20_14321:2-2515(-),1,0,1,1,2,2,1,1,1,2,0,0,2,2,2,2,1,2,0,2,0,2,2,1,1,1,1,1
symbB1.EST_k37c20_151|m.344,symbB1.EST_k37c20_151 g.344  ORF symbB1.EST_k37c20_151 g.344 symbB1.EST_k37c20_151 m.344 type:internal len:205 (-) symbB1.EST_k37c20_151:2-613(-),2,1,0,0,0,1,1,1,1,0,0,1,1,1,1,2,1,0,0,0,1,1,1,0,0,1,1,3
symbB1.EST_k37c20_15400|m.35107,symbB1.EST_k37c20_15400 g.35107  ORF symbB1.EST_k37c20_15400 g.35107 symbB1.EST_k37c20_15400 m.35107 type:5prime_partial len:584 (-) symbB1.EST_k37c20_15400:12-1763(-),0,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
symbB1.EST_k37c20_15781|m.35924,symbB1.EST_k37c20_15781 g.35924  ORF symbB1.EST_k37c20_15781 g.35924 symbB1.EST_k37c20_15781 m.35924 type:complete len:350 (-) symbB1.EST_k37c20_15781:327-1376(-),5,3,6,5,4,4,7,6,5,3,3,3,5,3,4,0,4,5,3,9,3,5,4,5,6,7,5,5
symbB1.EST_k37c20_16090|m.36633,symbB1.EST_k37c20_16090 g.36633  ORF symbB1.EST_k37c20_16090 g.36633 symbB1.EST_k37c20_16090 m.36633 type:complete len:157 (+) symbB1.EST_k37c20_16090:37-507(+),2,1,1,1,2,1,3,1,3,2,4,1,1,3,3,3,1,1,1,3,3,2,3,1,1,4,1,2
symbB1.EST_k37c20_169|m.386,symbB1.EST_k37c20_169 g.386  ORF symbB1.EST_k37c20_169 g.386 symbB1.EST_k37c20_169 m.386 type:complete len:471 (+) symbB1.EST_k37c20_169:211-1623(+),0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
m.12945,Predicted protein OS=Nematostella vectensis GN=v1g248425 PE=4 SV=1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
symbB1.EST_k37c20_17466|m.39786,symbB1.EST_k37c20_17466 g.39786  ORF symbB1.EST_k37c20_17466 g.39786 symbB1.EST_k37c20_17466 m.39786 type:complete len:676 (+) symbB1.EST_k37c20_17466:97-2124(+),2,0,2,0,1,0,2,0,0,0,0,1,1,0,1,0,0,2,1,2,0,1,2,0,3,0,0,0
symbB1.EST_k37c20_1763|m.4228,symbB1.EST_k37c20_1763 g.4228  ORF symbB1.EST_k37c20_1763 g.4228 symbB1.EST_k37c20_1763 m.4228 type:3prime_partial len:128 (+) symbB1.EST_k37c20_1763:91-471(+),3,2,2,2,2,3,2,3,2,3,3,2,2,2,2,2,2,2,2,1,3,3,3,2,2,1,2,2
symbB1.EST_k37c20_18731|m.42470,symbB1.EST_k37c20_18731 g.42470  ORF symbB1.EST_k37c20_18731 g.42470 symbB1.EST_k37c20_18731 m.42470 type:5prime_partial len:511 (-) symbB1.EST_k37c20_18731:78-1610(-),9,9,8,8,9,9,10,6,12,12,11,11,7,9,9,0,8,6,10,7,9,11,8,6,8,8,5,11
symbB1.EST_k37c20_1884|m.4516,symbB1.EST_k37c20_1884 g.4516  ORF symbB1.EST_k37c20_1884 g.4516 symbB1.EST_k37c20_1884 m.4516 type:3prime_partial len:335 (-) symbB1.EST_k37c20_1884:3-1004(-),1,1,0,0,0,2,0,0,1,2,2,0,1,1,0,1,0,0,0,1,2,1,3,0,0,2,0,0
symbB1.EST_k37c20_18914|m.42831,symbB1.EST_k37c20_18914 g.42831  ORF symbB1.EST_k37c20_18914 g.42831 symbB1.EST_k37c20_18914 m.42831 type:complete len:363 (+) symbB1.EST_k37c20_18914:104-1192(+),2,2,0,1,1,3,2,1,2,2,3,1,2,1,2,2,1,1,1,3,2,1,1,1,1,3,1,1
symbB1.EST_k37c20_1935|m.4600,symbB1.EST_k37c20_1935 g.4600  ORF symbB1.EST_k37c20_1935 g.4600 symbB1.EST_k37c20_1935 m.4600 type:complete len:892 (-) symbB1.EST_k37c20_1935:190-2865(-),2,2,2,1,2,4,5,1,4,3,5,2,3,3,4,3,1,2,3,4,5,5,4,4,2,3,1,1
symbB1.EST_k37c20_1961|m.4652,symbB1.EST_k37c20_1961 g.4652  ORF symbB1.EST_k37c20_1961 g.4652 symbB1.EST_k37c20_1961 m.4652 type:complete len:805 (+) symbB1.EST_k37c20_1961:51-2465(+),0,0,0,0,0,1,1,1,1,1,0,0,0,2,0,1,0,0,0,0,1,2,0,0,0,1,0,1
symbB1.EST_k37c20_2060|m.4873,symbB1.EST_k37c20_2060 g.4873  ORF symbB1.EST_k37c20_2060 g.4873 symbB1.EST_k37c20_2060 m.4873 type:complete len:147 (+) symbB1.EST_k37c20_2060:239-679(+),5,5,3,5,5,4,5,5,6,6,6,6,6,4,6,6,4,5,3,5,5,5,6,4,4,7,3,4
symbB1.EST_k37c20_20726|m.46522,symbB1.EST_k37c20_20726 g.46522  ORF symbB1.EST_k37c20_20726 g.46522 symbB1.EST_k37c20_20726 m.46522 type:5prime_partial len:157 (+) symbB1.EST_k37c20_20726:1-471(+),1,0,0,0,0,1,1,0,0,0,3,0,0,2,1,1,0,0,0,1,1,3,1,1,0,1,1,2
symbB1.EST_k37c20_21115|m.47298,symbB1.EST_k37c20_21115 g.47298  ORF symbB1.EST_k37c20_21115 g.47298 symbB1.EST_k37c20_21115 m.47298 type:internal len:617 (+) symbB1.EST_k37c20_21115:3-1850(+),1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
m.1296,Tetratricopeptide repeat protein 38 OS=Pongo abelii GN=TTC38 PE=2 SV=1,4,3,4,4,4,5,5,5,6,2,4,4,4,4,4,5,4,5,4,4,5,4,4,3,5,3,4,4
symbB1.EST_k37c20_2164|m.5076,symbB1.EST_k37c20_2164 g.5076  ORF symbB1.EST_k37c20_2164 g.5076 symbB1.EST_k37c20_2164 m.5076 type:complete len:4652 (+) symbB1.EST_k37c20_2164:109-14064(+),0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0
symbB1.EST_k37c20_22583|m.50327,symbB1.EST_k37c20_22583 g.50327  ORF symbB1.EST_k37c20_22583 g.50327 symbB1.EST_k37c20_22583 m.50327 type:5prime_partial len:1712 (+) symbB1.EST_k37c20_22583:3-5138(+),0,1,0,0,2,1,1,0,0,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
symbB1.EST_k37c20_23736|m.52591,symbB1.EST_k37c20_23736 g.52591  ORF symbB1.EST_k37c20_23736 g.52591 symbB1.EST_k37c20_23736 m.52591 type:5prime_partial len:596 (+) symbB1.EST_k37c20_23736:3-1790(+),0,0,0,0,1,0,1,0,2,2,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,1
symbB1.EST_k37c20_24141|m.53409,symbB1.EST_k37c20_24141 g.53409  ORF symbB1.EST_k37c20_24141 g.53409 symbB1.EST_k37c20_24141 m.53409 type:internal len:1643 (-) symbB1.EST_k37c20_24141:2-4927(-),1,0,0,1,2,1,2,2,1,2,2,1,2,1,2,1,1,2,0,1,1,1,2,2,0,1,1,1
symbB1.EST_k37c20_24332|m.53801,symbB1.EST_k37c20_24332 g.53801  ORF symbB1.EST_k37c20_24332 g.53801 symbB1.EST_k37c20_24332 m.53801 type:5prime_partial len:388 (+) symbB1.EST_k37c20_24332:2-1165(+),0,0,0,0,0,3,0,3,1,1,1,0,0,4,0,0,0,0,0,0,3,0,0,0,0,2,2,0
symbB1.EST_k37c20_24934|m.54977,symbB1.EST_k37c20_24934 g.54977  ORF symbB1.EST_k37c20_24934 g.54977 symbB1.EST_k37c20_24934 m.54977 type:5prime_partial len:285 (+) symbB1.EST_k37c20_24934:3-857(+),0,0,0,1,1,2,0,0,1,1,0,1,1,1,1,2,0,0,0,0,1,0,0,0,1,0,0,0
symbB1.EST_k37c20_2548|m.6110,symbB1.EST_k37c20_2548 g.6110  ORF symbB1.EST_k37c20_2548 g.6110 symbB1.EST_k37c20_2548 m.6110 type:5prime_partial len:212 (+) symbB1.EST_k37c20_2548:1-636(+),4,4,4,4,5,4,6,3,5,3,7,3,7,4,4,5,7,3,4,5,5,5,5,5,6,6,2,3
symbB1.EST_k37c20_262|m.561,symbB1.EST_k37c20_262 g.561  ORF symbB1.EST_k37c20_262 g.561 symbB1.EST_k37c20_262 m.561 type:complete len:1089 (+) symbB1.EST_k37c20_262:71-3337(+),9,2,1,4,3,15,8,5,5,7,7,2,5,12,9,7,2,0,2,5,11,9,8,4,3,4,7,6
symbB1.EST_k37c20_26748|m.58435,symbB1.EST_k37c20_26748 g.58435  ORF symbB1.EST_k37c20_26748 g.58435 symbB1.EST_k37c20_26748 m.58435 type:5prime_partial len:134 (-) symbB1.EST_k37c20_26748:123-524(-),1,1,1,0,1,2,1,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1
m.12970,Mitogen-activated protein kinase 1 OS=Rattus norvegicus GN=Mapk1 PE=1 SV=3,4,2,1,2,0,5,4,4,5,4,2,2,1,4,2,5,3,2,2,1,3,2,5,1,0,3,1,3
symbB1.EST_k37c20_27166|m.59212,symbB1.EST_k37c20_27166 g.59212  ORF symbB1.EST_k37c20_27166 g.59212 symbB1.EST_k37c20_27166 m.59212 type:5prime_partial len:346 (+) symbB1.EST_k37c20_27166:3-1040(+),2,5,5,7,4,2,4,1,4,2,5,5,3,2,4,4,4,4,5,3,2,7,3,4,4,4,1,2
symbB1.EST_k37c20_2835|m.6680,symbB1.EST_k37c20_2835 g.6680  ORF symbB1.EST_k37c20_2835 g.6680 symbB1.EST_k37c20_2835 m.6680 type:complete len:165 (-) symbB1.EST_k37c20_2835:705-1199(-),1,0,0,0,0,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,2,1,1
symbB1.EST_k37c20_2873|m.6770,symbB1.EST_k37c20_2873 g.6770  ORF symbB1.EST_k37c20_2873 g.6770 symbB1.EST_k37c20_2873 m.6770 type:complete len:351 (+) symbB1.EST_k37c20_2873:87-1139(+),2,0,1,2,2,2,2,3,3,1,4,1,3,2,2,2,1,0,2,4,3,4,4,0,1,4,2,2
symbB1.EST_k37c20_30052|m.64411,symbB1.EST_k37c20_30052 g.64411  ORF symbB1.EST_k37c20_30052 g.64411 symbB1.EST_k37c20_30052 m.64411 type:5prime_partial len:370 (-) symbB1.EST_k37c20_30052:71-1180(-),2,0,0,0,0,0,1,1,0,1,0,0,0,3,1,1,0,0,0,0,0,1,1,0,0,1,0,1
symbB1.EST_k37c20_3045|m.7223,symbB1.EST_k37c20_3045 g.7223  ORF symbB1.EST_k37c20_3045 g.7223 symbB1.EST_k37c20_3045 m.7223 type:complete len:570 (-) symbB1.EST_k37c20_3045:308-2017(-),7,3,3,2,3,5,5,4,5,4,7,2,3,6,6,3,3,2,4,4,6,6,4,3,3,5,1,3
symbB1.EST_k37c20_3066|m.7286,symbB1.EST_k37c20_3066 g.7286  ORF symbB1.EST_k37c20_3066 g.7286 symbB1.EST_k37c20_3066 m.7286 type:complete len:202 (+) symbB1.EST_k37c20_3066:103-708(+),1,1,0,0,1,2,1,1,1,2,1,0,0,2,1,1,1,0,1,2,2,2,2,1,0,1,1,1
symbB1.EST_k37c20_3070|m.7296,symbB1.EST_k37c20_3070 g.7296  ORF symbB1.EST_k37c20_3070 g.7296 symbB1.EST_k37c20_3070 m.7296 type:3prime_partial len:139 (-) symbB1.EST_k37c20_3070:3-416(-),0,0,4,11,12,7,10,12,3,0,5,8,11,7,10,0,0,3,8,11,8,9,0,0,4,3,9,0
symbB1.EST_k37c20_31197|m.66423,symbB1.EST_k37c20_31197 g.66423  ORF symbB1.EST_k37c20_31197 g.66423 symbB1.EST_k37c20_31197 m.66423 type:5prime_partial len:243 (+) symbB1.EST_k37c20_31197:1-729(+),0,0,0,1,1,1,2,1,2,1,1,1,1,1,1,2,1,0,1,0,1,1,0,1,1,2,0,2
symbB1.EST_k37c20_3137|m.7441,symbB1.EST_k37c20_3137 g.7441  ORF symbB1.EST_k37c20_3137 g.7441 symbB1.EST_k37c20_3137 m.7441 type:complete len:137 (-) symbB1.EST_k37c20_3137:112-522(-),2,0,1,1,2,2,1,0,1,1,2,0,1,1,2,2,0,0,1,1,0,4,2,1,1,2,0,1
m.12976,Uncharacterized protein OS=Amphimedon queenslandica GN=LOC100634434 PE=4 SV=1,5,3,2,2,1,1,3,1,2,1,3,3,1,2,2,4,3,2,3,2,2,3,3,4,2,2,3,1
symbB1.EST_k37c20_319|m.681,symbB1.EST_k37c20_319 g.681  ORF symbB1.EST_k37c20_319 g.681 symbB1.EST_k37c20_319 m.681 type:complete len:429 (+) symbB1.EST_k37c20_319:58-1344(+),5,2,2,2,2,5,6,4,6,6,6,2,3,6,3,3,4,2,2,4,6,6,5,2,3,10,3,4
symbB1.EST_k37c20_3283|m.7800,symbB1.EST_k37c20_3283 g.7800  ORF symbB1.EST_k37c20_3283 g.7800 symbB1.EST_k37c20_3283 m.7800 type:5prime_partial len:496 (-) symbB1.EST_k37c20_3283:145-1632(-),2,0,0,0,0,4,2,2,2,3,2,0,0,3,4,3,0,0,1,1,4,4,3,1,0,2,1,2
symbB1.EST_k37c20_40880|m.81403,symbB1.EST_k37c20_40880 g.81403  ORF symbB1.EST_k37c20_40880 g.81403 symbB1.EST_k37c20_40880 m.81403 type:complete len:200 (-) symbB1.EST_k37c20_40880:111-710(-),1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,1,2
symbB1.EST_k37c20_4560|m.10902,symbB1.EST_k37c20_4560 g.10902  ORF symbB1.EST_k37c20_4560 g.10902 symbB1.EST_k37c20_4560 m.10902 type:5prime_partial len:412 (+) symbB1.EST_k37c20_4560:2-1237(+),0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2
symbB1.EST_k37c20_45812|m.86682,symbB1.EST_k37c20_45812 g.86682  ORF symbB1.EST_k37c20_45812 g.86682 symbB1.EST_k37c20_45812 m.86682 type:complete len:311 (-) symbB1.EST_k37c20_45812:49-981(-),1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
symbB1.EST_k37c20_4585|m.10961,symbB1.EST_k37c20_4585 g.10961  ORF symbB1.EST_k37c20_4585 g.10961 symbB1.EST_k37c20_4585 m.10961 type:complete len:135 (-) symbB1.EST_k37c20_4585:62-466(-),5,4,5,2,3,4,4,5,7,6,7,2,3,5,4,5,4,4,3,3,4,4,6,5,4,7,4,5
symbB1.EST_k37c20_47631|m.87845,symbB1.EST_k37c20_47631 g.87845  ORF symbB1.EST_k37c20_47631 g.87845 symbB1.EST_k37c20_47631 m.87845 type:5prime_partial len:639 (-) symbB1.EST_k37c20_47631:102-2018(-),3,1,1,0,1,1,1,1,1,0,1,0,1,2,3,1,0,1,1,1,2,5,1,1,1,2,0,0
symbB1.EST_k37c20_47646|m.87855,symbB1.EST_k37c20_47646 g.87855  ORF symbB1.EST_k37c20_47646 g.87855 symbB1.EST_k37c20_47646 m.87855 type:internal len:136 (+) symbB1.EST_k37c20_47646:2-406(+),3,2,2,2,2,4,3,3,4,2,2,1,2,3,3,3,3,2,2,1,1,3,2,4,2,4,3,3
symbB1.EST_k37c20_48112|m.88444,symbB1.EST_k37c20_48112 g.88444  ORF symbB1.EST_k37c20_48112 g.88444 symbB1.EST_k37c20_48112 m.88444 type:5prime_partial len:146 (+) symbB1.EST_k37c20_48112:3-440(+),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
symbB1.EST_k37c20_48819|m.89293,symbB1.EST_k37c20_48819 g.89293  ORF symbB1.EST_k37c20_48819 g.89293 symbB1.EST_k37c20_48819 m.89293 type:complete len:326 (+) symbB1.EST_k37c20_48819:72-1049(+),0,1,0,0,0,3,2,1,3,2,3,1,2,3,2,1,0,0,1,2,1,2,2,0,1,2,0,0
m.12991,m.12991,22,17,13,15,11,20,21,15,26,21,23,16,11,22,16,25,14,10,16,12,19,16,19,19,11,22,18,17
symbB1.EST_k37c20_4883|m.11635,symbB1.EST_k37c20_4883 g.11635  ORF symbB1.EST_k37c20_4883 g.11635 symbB1.EST_k37c20_4883 m.11635 type:5prime_partial len:331 (+) symbB1.EST_k37c20_4883:3-995(+),0,1,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0
symbB1.EST_k37c20_55677|m.94421,symbB1.EST_k37c20_55677 g.94421  ORF symbB1.EST_k37c20_55677 g.94421 symbB1.EST_k37c20_55677 m.94421 type:internal len:131 (+) symbB1.EST_k37c20_55677:3-392(+),0,1,0,0,1,2,2,0,0,1,2,0,1,1,1,1,1,1,0,1,1,2,1,0,0,3,0,1
