"","Protein","Len","S0","S0.1","S0.2","S1","S1.1","S1.2","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"520","m.16056",335,1,1,1,0,0,0,-0.339,-0.3505,1,0.795078,0.743183,NA,NA
"521","m.16090",446,12,11,10,8,9,9,-0.147,-0.3312,1,0.785314,0.75185,NA,NA
"522","m.16099",216,2,1,2,0,0,0,-0.725,-0.6946,0.930151,0.876462,0.443581,NA,NA
"523","m.16108",243,2,1,1,1,1,1,-0.36,-0.359,1,0.799127,0.739145,"Q9W698","1-aminocyclopropane-1-carboxylate synthase-like protein 1 OS=Takifugu rubripes GN=accs PE=3 SV=1                   "
"524","m.16119",234,1,2,2,1,1,1,-0.702,-0.6933,0.931296,0.876401,0.445178,NA,NA
"525","m.16132",345,3,4,4,0,1,0,-1.16,-1.3002,0.057652,0.81146,0.012998,"Q8BW96","Calcium/calmodulin-dependent protein kinase type 1D OS=Mus musculus GN=Camk1d PE=1 SV=2                  "
"526","m.16180",508,4,4,3,2,3,2,-0.377,-0.5018,1,0.848645,0.647327,"Q0IIF7","Ubiquitin carboxyl-terminal hydrolase 14 OS=Bos taurus GN=USP14 PE=2 SV=3                   "
"527","m.16211",276,1,1,1,1,1,1,-0.444,-0.4197,1,0.824056,0.705995,"Q5E9C0","Ras suppressor protein 1 OS=Bos taurus GN=RSU1 PE=2 SV=1                   "
"528","m.16222",296,1,0,1,0,0,0,-0.267,-0.2477,1,0.732634,0.782241,NA,NA
"529","m.16224",295,1,1,1,0,1,1,-0.403,-0.3688,1,0.803614,0.734314,"Q9UTA8","Uncharacterized methyltransferase-like C25B8.10 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPAC25B8.10 PE=3 SV=1               "
"530","m.16233",161,7,5,7,3,4,5,-0.7,-1.0532,0.312325,0.846513,0.085734,NA,NA
"531","m.16246",388,2,3,1,0,0,0,-0.383,-0.3923,1,0.813622,0.721935,NA,NA
"532","m.16247",347,1,1,1,0,0,0,-0.407,-0.3885,1,0.812073,0.724016,NA,NA
"533","m.16258",131,1,1,1,0,0,1,-0.353,-0.3194,1,0.778935,0.75682,NA,NA
"534","m.16259",270,0,0,0,0,0,1,-0.364,-0.361,1,0.800058,0.738174,NA,NA
"535","m.1626",326,4,4,4,4,4,4,-0.025,-0.0374,0.978899,0.504329,0.822764,NA,NA
"536","m.16276",140,0,0,1,0,0,0,-0.418,-0.4022,1,0.817539,0.716369,"P20007","Phosphoenolpyruvate carboxykinase [GTP] OS=Drosophila melanogaster GN=Pepck PE=2 SV=2                    "
"537","m.16281",177,4,3,4,3,4,2,-0.245,-0.3576,1,0.79847,0.73982,"O95881","Thioredoxin domain-containing protein 12 OS=Homo sapiens GN=TXNDC12 PE=1 SV=1                   "
"538","m.16282",297,1,1,1,0,1,1,-0.348,-0.3574,1,0.798376,0.739916,"Q9D1D6","Collagen triple helix repeat-containing protein 1 OS=Mus musculus GN=Cthrc1 PE=2 SV=2                 "
"539","m.16303",320,1,1,1,1,0,0,-0.236,-0.2153,1,0.706915,0.791378,"Q9HBA9","Putative N-acetylated-alpha-linked acidic dipeptidase OS=Homo sapiens GN=FOLH1B PE=2 SV=1                   "
"540","m.16309",388,1,1,3,1,2,2,-0.812,-0.9221,0.565034,0.865288,0.18223,"Q5RBM6","Beta-ureidopropionase OS=Pongo abelii GN=UPB1 PE=2 SV=1                      "
"541","m.16319",224,2,1,2,1,3,1,-0.528,-0.5524,0.996303,0.859722,0.602236,"Q6AYQ8","Acylpyruvase FAHD1"
"542","m.16321",224,1,0,1,0,0,0,-0.183,-0.1763,1,0.671491,0.800749,"Q14008","Cytoskeleton-associated protein 5 OS=Homo sapiens GN=CKAP5 PE=1 SV=3                    "
"543","m.16351",226,5,5,5,5,5,4,0.082,0.1422,0.70976,0.257008,0.827555,"P52301","GTP-binding nuclear protein Ran OS=Xenopus laevis GN=ran PE=1 SV=2                   "
"544","m.16371",297,3,3,2,1,1,2,-0.667,-0.7505,0.869494,0.877585,0.374273,"P53111","NADPH-dependent aldehyde reductase ARI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARI1 PE=1 SV=1              "
"545","m.16384",119,1,0,0,0,0,0,-0.388,-0.3677,1,0.803119,0.734866,"Q9D8N2","Protein FAM45A OS=Mus musculus GN=Fam45a PE=2 SV=2                     "
"546","m.16414",306,0,1,1,0,1,0,-0.349,-0.3322,1,0.78584,0.751418,NA,NA
"547","m.16423",301,2,2,2,0,0,0,-0.736,-0.7388,0.884066,0.87759,0.388806,NA,NA
"548","m.16442",194,2,1,2,1,1,1,-0.762,-0.7934,0.807767,0.876534,0.321663,NA,NA
"549","m.16446",276,2,2,2,0,0,0,-0.887,-0.9874,0.432908,0.856424,0.127935,NA,NA
"550","m.16449",935,5,6,8,6,8,7,-0.233,-0.4485,1,0.833735,0.687359,NA,NA
"551","m.16465",273,4,3,2,3,3,4,0.349,0.4348,0.14457,0.042992,0.801669,NA,NA
"552","m.16496",187,0,0,0,1,0,0,-0.355,-0.373,1,0.805479,0.732186,NA,NA
"553","m.1652",495,25,21,20,21,19,16,0.088,0.2853,0.37658,0.11778,0.817141,NA,NA
"554","m.16523",512,0,0,1,0,0,0,-0.363,-0.3256,1,0.782326,0.754239,NA,NA
"555","m.16526",293,1,2,1,0,0,0,-0.355,-0.3462,1,0.792972,0.745174,NA,NA
"556","m.16548",260,1,1,1,1,0,0,-0.356,-0.3444,1,0.792079,0.745997,NA,NA
"557","m.1655",411,5,7,6,3,2,1,-0.664,-0.9869,0.433886,0.856497,0.128303,NA,NA
"558","m.16591",233,4,3,2,1,2,3,-0.487,-0.5301,0.998859,0.855191,0.622958,NA,NA
"559","m.16598",409,0,0,0,1,0,0,-0.466,-0.4297,1,0.827559,0.69975,NA,NA
"560","m.166",168,0,1,0,0,0,0,-0.346,-0.3451,1,0.792427,0.745677,NA,NA
"561","m.16618",108,1,0,0,0,0,1,-0.291,-0.2813,1,0.756034,0.771292,NA,NA
"562","m.16651",319,2,3,4,2,1,1,-0.642,-0.8394,0.728656,0.873757,0.267768,NA,NA
"563","m.16692",411,8,8,8,5,5,7,-0.329,-0.6066,0.983183,0.86853,0.546572,NA,NA
"564","m.16736",134,1,0,0,0,0,0,-0.193,-0.1863,1,0.681057,0.798503,NA,NA
"565","m.1680",375,1,2,1,1,2,1,-0.253,-0.264,1,0.744383,0.777128,NA,NA
"566","m.16813",293,0,1,0,0,0,1,-0.241,-0.2367,1,0.724263,0.785491,NA,NA
"567","m.1685",362,2,1,1,0,0,0,-0.438,-0.3966,1,0.815344,0.719544,"Q12904","Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens GN=AIMP1 PE=1 SV=2                "
"568","m.16853",182,0,0,0,1,0,0,-0.419,-0.3898,1,0.812606,0.723307,NA,NA
"569","m.16859",1199,5,5,6,4,4,5,-0.433,-0.7245,0.900526,0.877427,0.406588,"Q8WWN9","Interactor protein for cytohesin exchange factors 1 OS=Homo sapiens GN=IPCEF1 PE=1 SV=1                "
"570","m.16863",391,0,0,1,0,0,0,-0.47,-0.4561,1,0.836087,0.682102,"Q7ZVK4","Vacuolar protein-sorting-associated protein 36 OS=Danio rerio GN=vps36 PE=2 SV=1                   "
"571","m.16864",208,1,1,2,0,1,0,-0.677,-0.6654,0.953049,0.874685,0.479036,"Q9ULC4","Malignant T-cell-amplified sequence 1 OS=Homo sapiens GN=MCTS1 PE=1 SV=1                   "
"572","m.16877",305,0,1,1,0,0,1,-0.34,-0.3217,1,0.780203,0.75587,"Q9WVM6","Tolloid-like protein 2 OS=Mus musculus GN=Tll2 PE=1 SV=1                    "
"573","m.1688",655,2,3,2,0,0,0,-0.752,-0.7475,0.873325,0.877598,0.377996,"Q66HG5","Transmembrane 9 superfamily member 2 OS=Rattus norvegicus GN=Tm9sf2 PE=2 SV=1                  "
"574","m.1689",2742,1,0,2,1,0,0,-0.8,-0.7888,0.814986,0.876721,0.327223,NA,NA
"575","m.16901",126,0,1,0,0,0,0,-0.376,-0.3744,1,0.806093,0.731468,"3275002","Predicted protein OS=Nematostella vectensis GN=v1g243126 PE=4 SV=1                     "
"576","m.16910",2217,10,10,9,10,10,8,0.16,0.3446,0.264941,0.080735,0.811101,"A6NMZ7","Collagen alpha-6(VI) chain OS=Homo sapiens GN=COL6A6 PE=1 SV=2                    "
"577","m.16955",391,1,1,1,0,0,0,-0.385,-0.3634,1,0.801165,0.737,"P22897","Macrophage mannose receptor 1 OS=Homo sapiens GN=MRC1 PE=1 SV=1                   "
"578","m.16994",221,9,6,6,0,1,1,-1.502,-1.7398,0.000599,0.780113,9.2e-05,"O18598","Glutathione S-transferase OS=Blattella germanica PE=1 SV=3                      "
"579","m.16997",579,14,13,13,9,13,14,-0.267,-0.5877,0.989077,0.865806,0.566793,"P09010","Lamin-L(I) OS=Xenopus laevis PE=2 SV=1                       "
"580","m.17002",969,3,3,2,2,2,2,-0.039,-0.0457,0.983953,0.515806,0.821905,"P31696","Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3                      "
"581","m.17007",211,3,2,3,1,1,2,-0.911,-1.0039,0.401038,0.853999,0.116193,"3276285","Predicted protein OS=Nematostella vectensis GN=v1g208975 PE=4 SV=1                     "
"582","m.17032",119,0,0,1,0,0,0,-0.377,-0.3628,1,0.800889,0.737294,"Q6GPY0","Mitochondrial import inner membrane translocase subunit Tim13-A OS=Xenopus laevis GN=timm13-a PE=3 SV=2                "
"583","m.1706",388,1,0,1,0,0,0,-0.222,-0.2261,1,0.715849,0.788477,"A0M8U6","Testin OS=Canis familiaris GN=TES PE=3 SV=1                      "
"584","m.17099",205,1,2,3,0,0,0,-1.021,-1.1554,0.168697,0.830911,0.042263,"P49189","4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens GN=ALDH9A1 PE=1 SV=3                     "
"585","m.171",2522,3,2,4,1,1,0,-1.242,-1.2931,0.061073,0.812305,0.013839,"Q91VW5","Golgin subfamily A member 4 OS=Mus musculus GN=Golga4 PE=1 SV=2                  "
"586","m.17101",439,7,6,6,2,3,4,-0.983,-1.3412,0.04094,0.806818,0.008959,"Q5ZMP6","AP-2 complex subunit mu OS=Gallus gallus GN=AP2M1 PE=2 SV=1                   "
"587","m.17110",253,1,0,2,0,0,0,-0.739,-0.8052,0.78864,0.875976,0.307521,"Q50457","Rhamnosyl O-methyltransferase OS=Mycobacterium tuberculosis GN=Rv2959c PE=1 SV=1                     "
"588","m.17128",1219,3,3,3,0,1,1,-1.055,-1.1606,0.16295,0.830143,0.040657,"O94979","Protein transport protein Sec31A OS=Homo sapiens GN=SEC31A PE=1 SV=3                   "
"589","m.1714",264,2,2,2,0,0,0,-0.753,-0.7655,0.849364,0.877398,0.355719,"Q5XIG6","N-acetylgalactosamine kinase OS=Rattus norvegicus GN=Galk2 PE=2 SV=1                     "
"590","m.17144",187,1,1,1,0,0,0,-0.351,-0.3662,1,0.802442,0.735614,"3266162","Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g79796 PE=4 SV=1                    "
"591","m.17178",533,1,0,1,0,1,0,-0.416,-0.3998,1,0.816605,0.717738,"3271330","Predicted protein OS=Nematostella vectensis GN=v1g202754 PE=4 SV=1                     "
"592","m.17237",424,0,2,1,0,0,0,-0.28,-0.2773,1,0.753413,0.77268,"Q92556","Engulfment and cell motility protein 1 OS=Homo sapiens GN=ELMO1 PE=1 SV=2                 "
"593","m.17242",566,1,0,0,0,0,0,-0.473,-0.4763,1,0.84196,0.667412,"Q2VJ60","E3 ubiquitin-protein ligase RNF19A OS=Sus scrofa GN=RNF19A PE=2 SV=1                   "
"594","m.17244",319,0,1,1,0,0,1,-0.363,-0.3522,1,0.795899,0.742386,"Q9NX07","tRNA selenocysteine 1-associated protein 1 OS=Homo sapiens GN=TRNAU1AP PE=1 SV=1                  "
"595","m.1729",398,1,0,0,0,0,0,-0.492,-0.4668,1,0.839265,0.674452,"Q96DH6","RNA-binding protein Musashi homolog 2 OS=Homo sapiens GN=MSI2 PE=1 SV=1                  "
"596","m.173",389,114,29,124,105,101,101,-0.16,-1.1343,0.193554,0.834066,0.049324,NA,NA
"597","m.17323",421,19,18,19,17,17,19,-0.021,-0.0636,0.993053,0.540116,0.819848,NA,NA
"598","m.1733",1264,0,0,0,1,0,0,-0.538,-0.4949,1,0.846912,0.652935,NA,NA
"599","m.17346",797,2,3,2,0,2,1,-0.597,-0.6339,0.971615,0.871821,0.515999,NA,NA
"600","m.17363",155,1,1,0,0,0,0,-0.252,-0.251,1,0.735075,0.781235,NA,NA
"601","m.17386",142,0,0,0,1,2,1,-0.179,-0.1925,1,0.686819,0.797058,NA,NA
"602","m.1739",564,1,0,0,0,0,0,-0.377,-0.3738,1,0.80583,0.731776,NA,NA
"603","m.17418",331,1,0,1,0,1,0,-0.389,-0.3802,1,0.808597,0.728453,NA,NA
"604","m.17435",484,12,15,17,9,10,11,-0.539,-1.382,0.028663,0.802607,0.00608,NA,NA
"605","m.17466",666,10,12,13,9,10,12,-0.263,-0.6409,0.968,0.872543,0.507927,NA,NA
"606","m.17476",386,1,1,2,1,0,1,-0.788,-0.8248,0.755033,0.874809,0.284489,NA,NA
"607","m.17496",405,3,5,4,2,2,1,-0.691,-0.9204,0.56852,0.865498,0.183808,NA,NA
"608","m.17508",148,1,0,1,1,1,1,-0.373,-0.348,1,0.793858,0.744345,NA,NA
"609","m.17509",429,2,3,2,2,3,4,-0.007,-0.0091,0.957243,0.464476,0.82524,NA,NA
"610","m.17514",369,2,2,1,1,1,1,-0.416,-0.4122,1,0.821325,0.710526,NA,NA
"611","m.17521",185,11,12,14,12,14,15,-0.146,-0.3611,1,0.800104,0.738126,NA,NA
"612","m.17527",348,0,0,0,0,1,0,-0.519,-0.5298,0.998887,0.855126,0.623228,NA,NA
"613","m.17547",505,6,5,4,4,6,5,0.025,0.0408,0.9003,0.393104,0.827955,NA,NA
"614","m.17560",348,0,1,0,0,0,0,-0.474,-0.471,1,0.840471,0.671369,NA,NA
"615","m.17562",293,1,1,1,0,0,0,-0.461,-0.4492,1,0.833955,0.686881,NA,NA
"616","m.17572",133,3,2,3,2,2,2,-0.411,-0.5529,0.996233,0.859817,0.601756,NA,NA
"617","m.17573",293,3,4,5,0,0,0,-1.32,-1.5608,0.004971,0.788593,0.000899,NA,NA
"618","m.17582",562,5,3,3,5,2,3,0.433,0.6643,0.023575,0.006298,0.78287,NA,NA
"619","m.17587",233,2,1,2,0,0,2,-0.661,-0.7115,0.914197,0.877112,0.422724,NA,NA
"620","m.17595",424,11,7,11,7,8,8,-0.42,-0.8462,0.716017,0.873216,0.260123,NA,NA
"621","m.17598",232,2,1,1,0,0,0,-0.361,-0.3565,1,0.797951,0.740347,NA,NA
"622","m.17599",105,1,1,1,0,0,0,-0.368,-0.3267,1,0.782919,0.753774,NA,NA
"623","m.17609",155,1,1,0,1,1,0,-0.261,-0.2537,1,0.737048,0.780401,NA,NA
"624","m.1761",2437,9,7,10,0,1,3,-1.74,-2.2431,0,0.769255,0,NA,NA
"625","m.17615",183,0,1,0,0,0,0,-0.355,-0.3497,1,0.794689,0.743556,NA,NA
"626","m.17634",303,1,0,1,1,0,0,-0.312,-0.2937,1,0.763891,0.766835,NA,NA
"627","m.17642",405,3,3,4,2,4,2,-0.52,-0.7555,0.862962,0.877544,0.368076,NA,NA
"628","m.17646",144,1,0,1,0,0,0,-0.483,-0.421,1,0.82452,0.705197,NA,NA
"629","m.17653",215,5,4,3,4,3,3,0.245,0.3597,0.240682,0.07299,0.809512,NA,NA
"630","m.17655",964,4,4,4,3,2,3,-0.212,-0.2896,1,0.761338,0.768335,NA,NA
"631","m.17662",137,2,2,2,1,1,1,-0.639,-0.6417,0.967569,0.872623,0.506998,NA,NA
"632","m.17682",122,0,1,0,2,1,1,0.163,0.1773,0.627363,0.216194,0.825846,NA,NA
"633","m.17683",465,3,3,2,1,0,0,-0.703,-0.7257,0.899204,0.877448,0.405096,NA,NA
"634","m.17685",206,1,0,0,0,0,0,-0.289,-0.2835,1,0.757458,0.770518,NA,NA
"635","m.17686",418,0,0,0,2,2,2,0.251,0.2654,0.419408,0.132793,0.819033,NA,NA
"636","m.17700",509,1,1,1,1,0,0,-0.362,-0.3573,1,0.798329,0.739964,NA,NA
"637","m.17718",670,8,10,9,2,3,3,-1.308,-2.0621,4e-06,0.77185,1e-06,NA,NA
"638","m.17739",255,8,3,12,9,10,9,-0.203,-0.5009,1,0.848422,0.648065,NA,NA
"639","m.17758",659,0,1,1,1,1,1,-0.26,-0.2471,1,0.732186,0.782422,NA,NA
"640","m.17769",574,1,3,3,0,0,0,-1.046,-1.2051,0.119641,0.823751,0.028866,NA,NA
"641","m.17776",322,5,5,3,1,1,1,-0.952,-1.0657,0.291673,0.844585,0.079067,NA,NA
"642","m.17784",409,1,0,0,1,2,1,-0.301,-0.2687,1,0.74763,0.775585,"Q4QQS3","Protein OSCP1 OS=Rattus norvegicus GN=Oscp1 PE=2 SV=1                     "
"643","m.17789",102,1,0,0,0,0,0,-0.207,-0.2122,1,0.704282,0.792185,"Q8BGS2","BolA-like protein 2 OS=Mus musculus GN=Bola2 PE=1 SV=1                    "
"644","m.17794",846,17,20,17,12,10,8,-0.253,-0.7208,0.904544,0.877354,0.411186,"Q8WUM4","Programmed cell death 6-interacting protein OS=Homo sapiens GN=PDCD6IP PE=1 SV=1                  "
"645","m.17804",580,15,12,12,11,9,8,-0.022,-0.0507,0.986738,0.52266,0.821359,"Q6TGS6","Tyrosine--tRNA ligase"
"646","m.17812",263,0,1,1,0,0,0,-0.435,-0.4027,1,0.817732,0.716082,NA,NA
"647","m.17821",322,28,26,24,24,20,25,0.064,0.231,0.498284,0.162033,0.822045,NA,NA
"648","m.17857",135,0,1,0,0,1,1,-0.537,-0.5028,1,0.848891,0.646503,NA,NA
"649","m.17859",221,3,1,1,1,1,1,-0.363,-0.3384,1,0.789051,0.748696,NA,NA
"650","m.17885",208,6,2,4,3,3,4,-0.204,-0.3108,1,0.774081,0.760292,NA,NA
"651","m.17886",251,1,1,1,0,0,0,-0.378,-0.3572,1,0.798282,0.740012,NA,NA
"652","m.17895",500,4,6,6,3,3,2,-0.595,-0.9396,0.529117,0.863056,0.16646,NA,NA
"653","m.17897",385,4,3,3,3,1,2,0.011,0.0148,0.933102,0.430305,0.826798,NA,NA
"654","m.17910",625,2,3,3,1,1,1,-1.039,-1.1501,0.174707,0.831698,0.043954,"Q91VS8","FERM, RhoGEF and pleckstrin domain-containing protein 2 OS=Mus musculus GN=Farp2 PE=1 SV=2                           "
"655","m.1793",310,3,3,2,1,1,1,-0.679,-0.6577,0.958147,0.874077,0.488215,"Q99L04","Dehydrogenase/reductase SDR family member 1 OS=Mus musculus GN=Dhrs1 PE=2 SV=1                  "
"656","m.17930",292,1,1,0,1,1,1,-0.437,-0.428,1,0.826974,0.700828,NA,NA
"657","m.17939",224,0,0,0,0,1,0,-0.344,-0.326,1,0.782542,0.75407,NA,NA
"658","m.1796",557,12,14,12,10,7,10,-0.111,-0.2729,1,0.75048,0.77418,"P19891","Asparagine synthetase [glutamine-hydrolyzing] OS=Cricetulus griseus GN=ASNS PE=2 SV=2                    "
"659","m.17962",105,0,1,1,0,0,0,-0.449,-0.4185,1,0.823625,0.706729,"3864761","Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1                     "
"660","m.17967",175,3,3,3,1,1,1,-1.079,-1.1134,0.220645,0.83724,0.057232,"P26990","ADP-ribosylation factor 6 OS=Gallus gallus GN=ARF6 PE=2 SV=3                    "
"661","m.17970",233,1,2,2,1,0,0,-0.694,-0.7104,0.915297,0.877078,0.424086,"Q56840","2-(R)-hydroxypropyl-CoM dehydrogenase OS=Xanthobacter autotrophicus (strain ATCC BAA-1158 / Py2) GN=xecD PE=1 SV=3                "
"662","m.17984",639,9,10,11,10,6,10,0.018,0.0406,0.900578,0.393389,0.827948,NA,NA
"663","m.17992",724,11,13,12,9,9,9,-0.192,-0.4483,1,0.833672,0.687496,NA,NA
"664","m.18002",175,0,0,0,0,0,1,-0.298,-0.2791,1,0.754598,0.772058,"Q19981","Putative protein tag-53 OS=Caenorhabditis elegans GN=tag-53 PE=1 SV=3                    "
"665","m.18003",350,1,1,1,0,0,0,-0.437,-0.4188,1,0.823733,0.706546,"Q70JS2","Ring canal kelch homolog OS=Anopheles stephensi GN=kel PE=2 SV=2                   "
"666","m.18009",870,2,0,0,1,1,0,-0.293,-0.284,1,0.75778,0.770341,"Q9WVQ1","Membrane-associated guanylate kinase"
"667","m.1802",545,1,2,1,1,1,1,-0.451,-0.433,1,0.828681,0.697637,"Q9JI78","Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase OS=Mus musculus GN=Ngly1 PE=1 SV=2                     "
"668","m.18040",327,8,8,9,5,6,6,-0.46,-0.8687,0.672855,0.871208,0.235542,"A4FV08","Glucosamine-6-phosphate isomerase 1 OS=Bos taurus GN=GNPDA1 PE=2 SV=1                    "
"669","m.18048",376,10,9,9,6,8,7,-0.276,-0.5374,0.998169,0.856734,0.616321,"P51570","Galactokinase OS=Homo sapiens GN=GALK1 PE=1 SV=1                      "
"670","m.1806",594,3,1,1,0,0,0,-0.465,-0.4145,1,0.822172,0.70915,"O14841","5-oxoprolinase OS=Homo sapiens GN=OPLAH PE=1 SV=3                      "
"671","m.18060",194,3,3,1,2,1,0,0.156,0.1647,0.657437,0.230377,0.826539,"Q6P1S4","Arginine--tRNA ligase"
"672","m.18062",181,3,4,5,3,3,3,-0.461,-0.6855,0.937908,0.875998,0.454725,NA,NA
"673","m.18064",292,0,0,1,0,0,0,-0.417,-0.3926,1,0.813743,0.72177,NA,NA
"674","m.18070",421,2,1,1,2,3,1,0.26,0.3043,0.33806,0.104696,0.815259,NA,NA
"675","m.1809",261,0,0,0,1,0,0,-0.385,-0.3962,1,0.815185,0.719768,NA,NA
"676","m.18090",289,1,1,0,1,1,1,-0.334,-0.3192,1,0.778824,0.756902,NA,NA
"677","m.1811",272,6,4,10,1,3,2,-1.834,-2.3476,0,0.768264,0,NA,NA
"678","m.18144",177,2,1,0,2,1,1,-0.019,-0.022,0.967996,0.482759,0.824197,"Q9NUQ9","Protein FAM49B OS=Homo sapiens GN=FAM49B PE=1 SV=1                     "
"679","m.18155",470,6,6,5,3,3,3,-0.424,-0.5791,0.991259,0.864444,0.575716,NA,NA
"680","m.1816",454,1,1,0,1,0,0,-0.287,-0.2627,1,0.743474,0.777549,"O57382","Tolloid-like protein 2 OS=Xenopus laevis GN=tll2 PE=2 SV=1                    "
"681","m.18174",206,0,0,1,0,0,0,-0.459,-0.4163,1,0.822829,0.708065,"P37693","Polyketide synthase HetM OS=Nostoc sp. (strain PCC 7120 / UTEX 2576) GN=hetM PE=3 SV=1              "
"682","m.18183",178,1,1,1,0,0,0,-0.502,-0.4416,1,0.831528,0.692007,"Q96DB5","Regulator of microtubule dynamics protein 1 OS=Homo sapiens GN=RMDN1 PE=1 SV=1                 "
"683","m.18216",767,2,1,1,0,0,0,-0.513,-0.4968,1,0.847395,0.651404,"Q8CAQ8","Mitochondrial inner membrane protein OS=Mus musculus GN=Immt PE=1 SV=1                   "
"684","m.18280",786,1,3,1,1,2,2,-0.167,-0.1516,1,0.646392,0.805871,"4780878","Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1                      "
"685","m.18288",378,1,2,2,0,0,0,-0.712,-0.7232,0.901952,0.877403,0.408204,"Q9FKC8","Probable S-adenosylmethionine-dependent methyltransferase At5g37990 OS=Arabidopsis thaliana GN=At5g37990 PE=3 SV=2                   "
"686","m.18294",121,1,1,1,1,1,1,-0.425,-0.4164,1,0.822865,0.708005,"Q24JV4","UPF0390 protein zgc136864 OS=Danio rerio GN=zgc:136864 PE=3 SV=1                    "
"687","m.18326",402,0,2,1,0,0,0,-0.323,-0.3302,1,0.784786,0.752281,"Q8NCC3","Group XV phospholipase A2 OS=Homo sapiens GN=PLA2G15 PE=1 SV=2                   "
"688","m.18336",196,3,3,4,3,2,1,-0.295,-0.4142,1,0.822062,0.709331,"P38487","Creatinase OS=Bacillus sp. (strain B-0618) PE=1 SV=3                     "
"689","m.1834",596,9,6,7,5,2,5,-0.333,-0.6041,0.984055,0.868191,0.549294,"Q99MN1","Lysine--tRNA ligase OS=Mus musculus GN=Kars PE=1 SV=1                     "
"690","m.18355",140,1,1,0,0,1,0,-0.497,-0.5218,0.999501,0.853364,0.630331,NA,NA
"691","m.18362",249,5,5,6,2,2,4,-0.91,-1.2529,0.08385,0.817318,0.019549,"P40124","Adenylyl cyclase-associated protein 1 OS=Mus musculus GN=Cap1 PE=1 SV=4                   "
"692","m.18366",538,8,6,6,8,7,7,0.274,0.5292,0.071589,0.02068,0.792718,"Q7TPB1","T-complex protein 1 subunit delta OS=Rattus norvegicus GN=Cct4 PE=1 SV=3                  "
"693","m.18370",247,1,1,1,0,0,0,-0.479,-0.5187,0.999706,0.852662,0.633037,NA,NA
"694","m.18373",191,0,1,2,0,0,0,-0.784,-0.8188,0.765551,0.875197,0.291473,NA,NA
"695","m.18387",243,3,3,1,1,1,3,-0.142,-0.136,1,0.62945,0.808812,NA,NA
"696","m.1839",150,0,0,0,1,1,2,-0.263,-0.2562,1,0.738856,0.77962,NA,NA
"697","m.184",376,105,26,121,99,101,101,-0.204,-1.4399,0.016822,0.797312,0.003403,NA,NA
"698","m.18406",213,2,2,2,0,0,0,-0.759,-0.7648,0.850343,0.877411,0.356582,NA,NA
"699","m.1846",234,1,1,0,0,0,0,-0.362,-0.3455,1,0.792625,0.745494,NA,NA
"700","m.18462",162,1,0,0,0,0,0,-0.434,-0.4246,1,0.825792,0.702964,NA,NA
"701","m.18470",326,6,8,9,4,4,4,-0.697,-1.1443,0.181463,0.832563,0.045867,NA,NA
"702","m.18491",290,0,0,0,1,0,1,-0.402,-0.3909,1,0.813054,0.722705,NA,NA
"703","m.18493",251,0,1,1,0,1,0,-0.343,-0.3326,1,0.78605,0.751244,NA,NA
"704","m.1850",391,2,3,2,2,1,0,-0.212,-0.2482,1,0.733006,0.782089,NA,NA
"705","m.18511",317,0,1,0,0,0,0,-0.241,-0.2453,1,0.730838,0.782963,NA,NA
"706","m.18531",393,2,1,0,1,0,0,-0.265,-0.2552,1,0.738135,0.779933,NA,NA
"707","m.18533",634,1,1,0,0,0,0,-0.378,-0.3639,1,0.801394,0.736753,NA,NA
"708","m.18543",325,1,0,1,0,0,0,-0.327,-0.3228,1,0.780806,0.755413,NA,NA
"709","m.18550",321,2,1,2,2,2,2,-0.275,-0.3164,1,0.777262,0.758046,NA,NA
"710","m.18553",252,5,4,4,2,3,2,-0.677,-0.9028,0.604536,0.867596,0.200623,NA,NA
"711","m.18556",357,10,10,9,7,6,8,-0.171,-0.3685,1,0.803479,0.734465,NA,NA
"712","m.18584",365,0,0,0,1,0,0,-0.34,-0.318,1,0.778157,0.757394,NA,NA
"713","m.18614",518,0,1,1,0,0,0,-0.437,-0.4193,1,0.823913,0.70624,NA,NA
"714","m.18619",214,0,1,1,0,0,0,-0.564,-0.5736,0.992502,0.863533,0.581327,NA,NA
"715","m.1862",270,0,2,1,0,0,0,-0.41,-0.3902,1,0.812769,0.723089,NA,NA
"716","m.1866",1135,6,5,4,3,3,2,-0.261,-0.3617,1,0.800382,0.737833,NA,NA
"717","m.18667",123,1,0,0,0,1,0,-0.44,-0.4295,1,0.82749,0.699877,"Q8TER0","Sushi, nidogen and EGF-like domain-containing protein 1 OS=Homo sapiens GN=SNED1 PE=2 SV=2                           "
