"Protein","PROTLEN","DEFLINE","PL30-C","PL12-1m","PL12-100b","PL30-100m","PL12-100m","PL30-10m","PL30-100b","PL30-1m","PL12-C","PL12-10m","UniprotID"
"m.19722",109,"Isochorismatase domain-containing protein 2, mitochondrial OS=Xenopus laevis GN=isoc2 PE=2 SV=1",0.5,0.5,1,1,1.5,1,1,1,0.5,1,"Q5PQ71"
"m.19768",178,"Carbonyl reductase [NADPH] 1 OS=Homo sapiens GN=CBR1 PE=1 SV=3",0,1,1,0.5,2,2,0.5,1,0.5,0,"P16152"
"m.19805",110,"m.19805",7.5,21.5,10,3.5,7,0.5,10.5,0.5,15,0,NA
"m.19870",153,"Dopamine N-acetyltransferase OS=Drosophila melanogaster GN=Dat PE=1 SV=1",0.5,1,2,1,0.5,0.5,0,0.5,1.5,0,"Q94521"
"m.19899",782,"Src kinase-associated phosphoprotein 1 OS=Takifugu rubripes GN=skap1 PE=3 SV=1",1,0,1,1.5,0,0.5,0,2,0.5,0,"Q1KKW7"
"m.19913",255,"Guanine nucleotide-binding protein G(o) subunit alpha OS=Rattus norvegicus GN=Gnao1 PE=1 SV=2",0,0,1.5,0,0.5,1,0.5,0,0,0,"P59215"
"m.19927",386,"Signal transducer and activator of transcription 5B OS=Rattus norvegicus GN=Stat5b PE=2 SV=1",1.5,5.5,1.5,0,0,0,1.5,0,6.5,0,"P52632"
"m.1996",868,"Lysosomal alpha-mannosidase OS=Macaca fascicularis GN=MAN2B1 PE=2 SV=1",3,6.5,12.5,3.5,6.5,4,0.5,3,6,9,"Q60HE9"
"m.19966",302,"3-hydroxyanthranilate 3,4-dioxygenase OS=Nematostella vectensis GN=v1g178517 PE=3 SV=1",3,9.5,12.5,9.5,19.5,14.5,3,7.5,6.5,6,"A7RIT9"
"m.19978",746,"Long-chain-fatty-acid--CoA ligase ACSBG2 OS=Xenopus laevis GN=acsbg2 PE=2 SV=1",2,0.5,6.5,2,0.5,1,2,3,2,1.5,"Q7ZYC4"
"m.19983",183,"GTPase HRas OS=Murine sarcoma virus NS.C58 GN=H-RAS PE=3 SV=1",1.5,2,2,0,0.5,0.5,1.5,0,2,0,"P23175"
"m.19991",861,"Major vault protein OS=Strongylocentrotus purpuratus GN=MVP PE=1 SV=1",0.5,0.5,1,0,0,1,0.5,0.5,1,0,"Q5EAJ7"
"m.19993",588,"Rho GTPase-activating protein 44 OS=Homo sapiens GN=ARHGAP44 PE=1 SV=1",0.5,0.5,0,0.5,0.5,0.5,0,0,1.5,0,"Q17R89"
"m.2",157,"60S ribosomal protein L14 OS=Lumbricus rubellus GN=RPL14 PE=3 SV=1",2.5,2.5,3,2,3,2,3,1,3.5,2,"O46160"
"m.200",1142,"Ankyrin-3 OS=Mus musculus GN=Ank3 PE=1 SV=1",5.5,10.5,5,5,5.5,4.5,3.5,3,8.5,3,"G5E8K5"
"m.20013",565,"Drebrin-like protein OS=Homo sapiens GN=DBNL PE=1 SV=1",8,10.5,10.5,16.5,17.5,15,9.5,10,13,7,"Q9UJU6"
"m.20024",272,"Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2",2,1.5,1,2.5,3,1.5,1.5,3.5,0,2.5,"Q96RW7"
"m.20041",230,"m.20041",18,18,13.5,19,34.5,23.5,19.5,10,14.5,10.5,NA
"m.20048",384,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3",2,3,2.5,4,3.5,2.5,1,2,2.5,2.5,"Q4LDE5"
"m.20062",124,"hypothetical protein LOTGIDRAFT_165383 [Lottia gigantea]",0,0,0.5,0.5,1.5,0.5,0,1.5,0,0,"ESO88599"
"m.20081",531,"Ankyrin-2 OS=Mus musculus GN=Ank2 PE=1 SV=2",0,1,1,0,0,0,1,0,0,0,"Q8C8R3"
"m.2011",367,"mRNA export factor OS=Sus scrofa GN=RAE1 PE=3 SV=1",0,0,0,0,0,0,0,0,1,0,"A5GFN6"
"m.20126",239,"Peroxidasin homolog OS=Mus musculus GN=Pxdn PE=2 SV=2",1,1.5,1,0,0.5,1,0.5,0.5,1,0,"Q3UQ28"
"m.20145",264,"Alpha-taxilin OS=Mus musculus GN=Txlna PE=2 SV=1",0,0,0.5,0,0,0.5,0,0,0,0,"Q6PAM1"
"m.20155",114,"m.20155",1,6,2,0.5,0,1.5,1,0,2.5,0,NA
"m.20175",165,"m.20175",0.5,1,1,0,0,0,0.5,0,0.5,0,NA
"m.2022",539,"Prolyl 4-hydroxylase subunit alpha-2 OS=Homo sapiens GN=P4HA2 PE=1 SV=1",0.5,1,0,0,0.5,0,0,0,1,0,"O15460"
"m.20264",130,"m.20264",1.5,0.5,0,0,0,4.5,0,3,0,0,NA
"m.2030",436,"Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens GN=WARS PE=1 SV=2",0.5,16.5,23.5,7.5,3.5,1,0.5,0,11,0,"P23381"
"m.2032",373,"4-hydroxybutyrate coenzyme A transferase OS=Clostridium kluyveri (strain ATCC 8527 / DSM 555 / NCIMB 10680) GN=cat2 PE=3 SV=3",10,15.5,6,5,8.5,7,8.5,1,8,1,"P38942"
"m.20374",285,"m.20374",2,2.5,2.5,4.5,4,4,1,4.5,3.5,2.5,NA
"m.20487",290,"Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_63866 PE=4 SV=1",0.5,0.5,0,0,0,0.5,0.5,1.5,1,0,"3663535"
"m.20494",526,"Pancreatic secretory granule membrane major glycoprotein GP2 OS=Canis familiaris GN=GP2 PE=1 SV=1",0,0,0,0.5,0,0,0,0,0,1,"P25291"
"m.2050",233,"Probable peptidyl-tRNA hydrolase 2 OS=Caenorhabditis elegans GN=C24G6.8 PE=3 SV=1",0,0.5,0,0,0,0,0,0,1,0,"O76387"
"m.20506",179,"Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g226089 PE=4 SV=1",0.5,0,0,3,2.5,4,0.5,2.5,0,1.5,"3302536"
"m.20599",102,"7-methylguanosine phosphate-specific 5_-nucleotidase A OS=Xenopus laevis GN=Nt5c3b-a PE=2 SV=2",0,0,0.5,0,0,0,0.5,0,0.5,0,"Q7ZWS2"
"m.20624",216,"Putative uncharacterized protein OS=Caenorhabditis remanei GN=CRE_06438 PE=4 SV=1",1,0,0,0,0,0.5,0,0,0,0,"3973503"
"m.20656",236,"Glutathione S-transferase U20 OS=Arabidopsis thaliana GN=GSTU20 PE=1 SV=1",2.5,2,4.5,2,2.5,1.5,2,1.5,5,1,"Q8L7C9"
"m.20658",291,"Uncharacterized protein C05D11.1 OS=Caenorhabditis elegans GN=C05D11.1 PE=1 SV=2",0.5,0,0,0,0,0.5,0,0,0,0,"P48053"
"m.2067",217,"Acylpyruvase FAHD1, mitochondrial OS=Bos taurus GN=FAHD1 PE=2 SV=1",1,4,6,0.5,0.5,1,0,0,1,0.5,"Q2HJ98"
"m.20683",314,"NmrA-like family domain-containing protein 1 OS=Gallus gallus GN=NMRAL1 PE=2 SV=1",0.5,1,2.5,1,3.5,0.5,0,0,1,1,"Q5ZID0"
"m.20764",128,"m.20764",0.5,0,0,0,0,0,0.5,0,0,0,NA
"m.20898",435,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Bos taurus GN=DLST PE=1 SV=2",1,1.5,1,0,0,0,1,0.5,2,0,"P11179"
"m.20916",317,"m.20916",5,8.5,14,8.5,16,16.5,5.5,12.5,8,13.5,NA
"m.20918",315,"Methionine adenosyltransferase 2 subunit beta OS=Bos taurus GN=MAT2B PE=2 SV=1",0.5,2.5,6.5,0,4,3,0.5,0,0.5,0.5,"Q29RI9"
"m.20924",380,"cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Pongo abelii GN=PRKAR1A PE=2 SV=2",3,8,6.5,1.5,3.5,2.5,4.5,2,5,1.5,"Q5REL1"
"m.20930",647,"Heat shock cognate 71 kDa protein OS=Rattus norvegicus GN=Hspa8 PE=1 SV=1",29,48,44.5,26,52,38,28,13.5,31,10,"P63018"
"m.20941",628,"Leukotriene A-4 hydrolase OS=Bos taurus GN=LTA4H PE=2 SV=3",7.5,9.5,14,15,16,11,8,10,6,10.5,"Q3SZH7"
"m.20945",770,"Huntingtin-interacting protein 1 OS=Homo sapiens GN=HIP1 PE=1 SV=5",0,2.5,1.5,0.5,1.5,1.5,0,1,2.5,0,"O00291"
"m.20952",109,"m.20952",0,0,0,0,0,0,0,0,0,0,NA
"m.20957",639,"Protein DD3-3 OS=Dictyostelium discoideum GN=DD3-3 PE=2 SV=1",4,2,16.5,7,8.5,5.5,4.5,3,4,3.5,"Q58A42"
"m.20959",229,"Ran-specific GTPase-activating protein OS=Homo sapiens GN=RANBP1 PE=1 SV=1",8.5,8.5,10.5,10.5,13,10,4.5,9,9,6.5,"P43487"
"m.20978",138,"m.20978",1,1,2.5,0,0.5,1,1.5,0,0,0.5,NA
"m.21",461,"Elongation factor 1-alpha OS=Danio rerio GN=eef1a PE=2 SV=1",30.5,53.5,51,12,14,19.5,39.5,10.5,42.5,15,"Q92005"
"m.21000",372,"Calumenin OS=Oryctolagus cuniculus GN=CALU PE=1 SV=2",8.5,6.5,5,0.5,3.5,2.5,5.5,2,5.5,4,"Q6XLQ7"
"m.21018",369,"Endophilin-A2 OS=Homo sapiens GN=SH3GL1 PE=1 SV=1",0,1,0.5,0.5,0.5,1,0,2,1.5,0,"Q99961"
"m.21023",149,"Allograft inflammatory factor 1 OS=Homo sapiens GN=AIF1 PE=1 SV=1",4,7.5,5,1.5,3,2.5,4,1,9.5,2,"P55008"
"m.2107",529,"Alanine aminotransferase 2 OS=Xenopus tropicalis GN=gpt2 PE=2 SV=1",3,8,4,2,8.5,3.5,3.5,1.5,6,0.5,"Q28DB5"
"m.21074",449,"Plasminogen activator inhibitor 1 RNA-binding protein OS=Mus musculus GN=Serbp1 PE=1 SV=2",2,2.5,3.5,1,1,1,1.5,0,2,0.5,"Q9CY58"
"m.21152",377,"Eukaryotic translation initiation factor 3 subunit M OS=Nematostella vectensis GN=v1g192238 PE=3 SV=1",0.5,0.5,1.5,0,0,0,0,0,1,0.5,"A7SPX9"
"m.21153",225,"Ras-related protein Rab-32 OS=Mus musculus GN=Rab32 PE=2 SV=3",0,0,0,0,0,0,0,0,1,0,"Q9CZE3"
"m.21179",265,"Adenylate kinase 2, mitochondrial OS=Danio rerio GN=ak2 PE=2 SV=1",1.5,7,4.5,0.5,1,1.5,3.5,0,6,0,"Q1L8L9"
"m.212",347,"45 kDa calcium-binding protein OS=Danio rerio GN=sdf4 PE=2 SV=1",0.5,0.5,0.5,0,0,0,0.5,0,0.5,0,"Q7ZUC2"
"m.21267",565,"Cysteine--tRNA ligase, cytoplasmic OS=Gallus gallus GN=CARS PE=2 SV=1",2,2,2,1,2,2,2.5,0.5,1,0,"Q5F408"
"m.21268",784,"Integrin alpha-9 OS=Homo sapiens GN=ITGA9 PE=1 SV=2",0,1.5,0.5,1,0.5,1,0.5,0,1,2,"Q13797"
"m.21313",552,"MAGUK p55 subfamily member 6 OS=Mus musculus GN=Mpp6 PE=1 SV=1",0,0.5,0,0.5,0,0.5,0.5,0,2,0,"Q9JLB0"
"m.21346",340,"BTB/POZ domain-containing protein KCTD21 OS=Mus musculus GN=Kctd21 PE=2 SV=1",0,0.5,0,0,0,0,0,0,0.5,0,"Q3URF8"
"m.21379",246,"Protein BMH2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BMH2 PE=1 SV=3",11,10,18.5,13.5,14.5,13,6.5,10.5,8.5,9.5,"P34730"
"m.21390",125,"m.21390",11.5,64,48.5,13,16,17,37,18.5,18.5,8,NA
"m.21416",355,"Tudor and KH domain-containing protein OS=Homo sapiens GN=TDRKH PE=1 SV=2",0,0,1,1,0.5,1.5,0,1.5,1,1,"Q9Y2W6"
"m.21438",701,"26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens GN=PSMD1 PE=1 SV=2",3.5,5,6.5,1,2.5,1.5,1.5,1,5,3,"Q99460"
"m.21457",115,"Histidine triad nucleotide-binding protein 1 OS=Oryctolagus cuniculus GN=HINT1 PE=1 SV=2",4.5,11.5,8.5,6,4.5,13,3.5,8.5,9,2,"P80912"
"m.2147",314,"NmrA-like family domain-containing protein 1 OS=Gallus gallus GN=NMRAL1 PE=2 SV=1",0.5,1.5,2.5,1,4.5,0.5,0,0,1.5,1,"Q5ZID0"
"m.21474",364,"Nucleoprotein TPR (Fragment) OS=Xenopus laevis GN=tpr PE=1 SV=1",0.5,1,0,0,0,0,0,0,1.5,0,"Q5EE04"
"m.215",195,"Histone H1.0 OS=Homo sapiens GN=H1F0 PE=1 SV=3",5.5,21,20,5.5,7,5.5,10.5,2.5,11,0.5,"P07305"
"m.21525",176,"m.21525",2,1,1.5,0.5,0.5,0,2.5,0,0.5,1,NA
"m.21538",175,"Hypoxanthine-guanine phosphoribosyltransferase OS=Meriones unguiculatus GN=HPRT1 PE=2 SV=2",1.5,2,4.5,0.5,1.5,1,1,0,1,0,"P47959"
"m.21596",525,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Rattus norvegicus GN=Svep1 PE=1 SV=1",3.5,1.5,5,4.5,6.5,4.5,0.5,4,2,5.5,"P0C6B8"
"m.21654",118,"Nucleoside diphosphate kinase B OS=Rattus norvegicus GN=Nme2 PE=1 SV=1",2,5,4.5,0,0.5,0.5,9.5,0,5.5,0,"P19804"
"m.21674",280,"Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Macaca fascicularis GN=PCMT1 PE=2 SV=3",0,0,1,0.5,0,0.5,0.5,0,1,0,"Q4R5H0"
"m.21683",274,"m.21683",0,0.5,0,0.5,0,1,0,0.5,1,0,NA
"m.21690",240,"Thiopurine S-methyltransferase OS=Panthera leo GN=TPMT PE=2 SV=1",0,0,0,0,0.5,1,0.5,0.5,0.5,0,"Q3BCR0"
"m.217",121,"m.217",7.5,5.5,7,11.5,10,8.5,9,12,5,11,NA
"m.21702",178,"m.21702",0.5,0.5,0,0,0,0,1,0,0,0,NA
"m.21772",262,"Uncharacterized protein OS=Anabaena sp. 90 GN=ANA_C10044 PE=4 SV=1",0,0,0,0,0,0,1,0,0,0,"22075682"
"m.218",310,"Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform OS=Bos taurus GN=PPP2CB PE=1 SV=1",2,3.5,2.5,0,0.5,0.5,4.5,1.5,4.5,0,"Q0P594"
"m.21819",1189,"Laminin-like protein epi-1 OS=Caenorhabditis elegans GN=epi-1 PE=1 SV=1",0,1,0.5,0.5,0,0,0,0,0.5,0,"Q21313"
"m.21842",395,"Rootletin OS=Mus musculus GN=Crocc PE=1 SV=2",0.5,2,0,0.5,0.5,1.5,0.5,0,2,0,"Q8CJ40"
"m.21911",295,"Coronin-7 OS=Homo sapiens GN=CORO7 PE=1 SV=2",1,1.5,1,1,0.5,1,1,0,1.5,0,"P57737"
"m.22031",141,"Hypoxia up-regulated protein 1 (Fragment) OS=Xenopus laevis GN=hyou1 PE=1 SV=2",0,0.5,1,0,1.5,0,0,0,0,0,"Q566I3"
"m.2212",675,"Catenin alpha-2 OS=Danio rerio GN=Ctnna2 PE=3 SV=1",0,0,0,0,0,0,0,0,0,0,"B7ZC77"
"m.22122",295,"PREDICTED: uncharacterized protein LOC100207194 [Hydra vulgaris]",0.5,0,0,1,1.5,0.5,1,0,0,0.5,"XP_002167785"
"m.22205",653,"Collagen alpha-1(XII) chain OS=Homo sapiens GN=COL12A1 PE=1 SV=2",1.5,1,0,0.5,1.5,0.5,1,0,0,0,"Q99715"
"m.22210",207,"m.22210",0.5,3,0.5,0,0,0,0,0,3.5,0,NA
"m.22274",438,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Bos taurus GN=ACADM PE=2 SV=1",1,3,1.5,0,0.5,0,0.5,0,2.5,0,"Q3SZB4"
"m.22282",310,"Calumenin OS=Bos taurus GN=CALU PE=2 SV=1",33.5,37.5,34,31,39.5,35.5,26,18,22.5,27.5,"Q3T0K1"
"m.22295",361,"ELAV-like protein 2 OS=Xenopus tropicalis GN=elavl2 PE=2 SV=2",0,0,0,0,0,0,0,0,0,0,"Q28GD4"
"m.223",287,"IST1 homolog OS=Homo sapiens GN=IST1 PE=1 SV=1",0,0.5,1,0,0,0,0,0,0.5,0,"P53990"
"m.22307",275,"Heterogeneous nuclear ribonucleoprotein K OS=Oryctolagus cuniculus GN=HNRNPK PE=2 SV=1",0,0.5,0,0,0,0,0,0,0.5,0,"O19049"
"m.22336",329,"Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Xenopus tropicalis GN=ppp1cb PE=2 SV=1",0,3,1,0.5,0.5,0,0,0,2,0,"Q5I085"
"m.22339",1615,"Muscle M-line assembly protein unc-89 OS=Caenorhabditis elegans GN=unc-89 PE=1 SV=3",0.5,1,0.5,0,0,0,0,0,0,0,"O01761"
"m.22365",587,"Ubiquilin-1 OS=Rattus norvegicus GN=Ubqln1 PE=1 SV=1",0.5,0.5,1.5,1,2,2,0.5,0.5,1,0,"Q9JJP9"
"m.22392",222,"m.22392",2.5,3.5,3,0,1.5,0.5,2,0,2.5,0,NA
"m.22394",559,"Glucosidase 2 subunit beta OS=Homo sapiens GN=PRKCSH PE=1 SV=2",1.5,3.5,6.5,3.5,3.5,1.5,2,3,3.5,4.5,"P14314"
"m.22405",246,"Sticholysin-1 OS=Stoichactis helianthus PE=1 SV=1",2,1,1.5,0.5,2,2,0.5,0,1,0,"P81662"
"m.22412",708,"Prolyl endopeptidase OS=Mus musculus GN=Prep PE=2 SV=1",0,2,1.5,1,3,1.5,0,1.5,2,2,"Q9QUR6"
"m.22426",144,"Diphosphoinositol polyphosphate phosphohydrolase 1 OS=Rattus norvegicus GN=Nudt3 PE=1 SV=1",0,0,0,0,0,1,1,0,0,0,"Q566C7"
"m.2244",1940,"Brefeldin A-inhibited guanine nucleotide-exchange protein 1 OS=Bos taurus GN=ARFGEF1 PE=1 SV=1",2,1.5,1,1,1,1.5,0.5,1,1.5,1,"O46382"
"m.22449",384,"m.22449",1.5,0.5,1.5,1,1,1.5,0,1.5,1.5,1,NA
"m.22518",514,"Histidine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Hars PE=2 SV=2",1,1.5,3,0.5,2.5,1,0.5,0,2,0,"Q61035"
"m.22539",256,"C-factor OS=Myxococcus xanthus GN=csgA PE=1 SV=1",2,3,5,3,3.5,3,0.5,2.5,2,2,"P21158"
"m.22542",615,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Mus musculus GN=Pck2 PE=2 SV=1",121,176,118,188,282.5,172.5,158,107,104.5,73.5,"Q8BH04"
"m.22547",139,"m.22547",1,1.5,2,2.5,2,1.5,0,2.5,1,1.5,NA
"m.22580",202,"m.22580",1.5,3.5,2,2.5,14,1.5,0.5,0.5,1,0,NA
"m.2262",545,"Tenascin-X OS=Homo sapiens GN=TNXB PE=1 SV=3",0.5,0,0.5,1.5,0,1,0,0.5,0,0,"P22105"
"m.22621",254,"m.22621",0,0,0.5,0.5,0,0,0,0,0,0,NA
"m.22646",543,"Tyrosine-protein phosphatase non-receptor type 1 OS=Homo sapiens GN=PTPN1 PE=1 SV=1",0.5,0,0,1,0,1,1.5,1,1,0,"P18031"
"m.22667",219,"Ras-related protein Rab-8A OS=Gallus gallus GN=RAB8A PE=2 SV=1",8,8,6.5,7,3.5,5,8.5,3,7,5,"Q5F470"
"m.22737",450,"N-chimaerin OS=Homo sapiens GN=CHN1 PE=1 SV=3",0,0.5,0.5,0,0,0,0,0,0,0,"P15882"
"m.22782",553,"Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens GN=ALDH7A1 PE=1 SV=5",2.5,4,6,0.5,4,3,3.5,0.5,3.5,1,"P49419"
"m.22810",245,"Eukaryotic translation initiation factor 6 OS=Xenopus laevis GN=eif6 PE=2 SV=1",0,3,2,0,5.5,7.5,4.5,5.5,1.5,5.5,"Q6GR45"
"m.22850",470,"Coronin-7 OS=Homo sapiens GN=CORO7 PE=1 SV=2",0,1,0,0,0.5,0,0.5,0,2,0,"P57737"
"m.22888",127,"Amidase OS=Sulfolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) GN=SSO2122 PE=1 SV=1",1,0.5,0,0,0,0,2,0,1,0,"P95896"
"m.22904",580,"PDZ and LIM domain protein 5 OS=Mus musculus GN=Pdlim5 PE=1 SV=4",0,1,2.5,0,1,2.5,0,1.5,0.5,0,"Q8CI51"
"m.22921",1220,"Serine/threonine-protein kinase 10 OS=Danio rerio GN=stk10 PE=2 SV=1",2.5,2,4,2.5,2,1,0.5,3,3,3,"Q7SY52"
"m.22940",466,"Rootletin OS=Homo sapiens GN=CROCC PE=1 SV=1",0,1.5,0,0,0,0,0.5,0,0,0,"Q5TZA2"
"m.22944",994,"Alanine--tRNA ligase, cytoplasmic OS=Rattus norvegicus GN=Aars PE=1 SV=3",18.5,32.5,36.5,14.5,33,20,11.5,9,30.5,6,"P50475"
"m.22952",530,"Phosphoacetylglucosamine mutase OS=Homo sapiens GN=PGM3 PE=1 SV=1",1.5,6.5,5.5,2.5,4.5,2.5,2,0.5,9,0,"O95394"
"m.230",211,"60S ribosomal protein L13 OS=Danio rerio GN=rpl13 PE=2 SV=3",2,7,8,5,6.5,6,1,1,6,1.5,"Q90Z10"
"m.23037",263,"Mucin-2 (Fragment) OS=Rattus norvegicus GN=Muc2 PE=1 SV=1",8,4.5,8.5,24.5,23,13,7,23,4,14.5,"Q62635"
"m.23042",858,"26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3",0.5,0,2,0,0.5,0,0,0,2.5,0,"Q13200"
"m.23072",302,"Nuclease-sensitive element-binding protein 1 OS=Xenopus laevis GN=ybx1 PE=2 SV=1",0.5,1,3,0.5,0,0,2,0,1.5,1.5,"P21573"
"m.23103",397,"Acylamino-acid-releasing enzyme OS=Mus musculus GN=Apeh PE=2 SV=3",2,0.5,2.5,3,4.5,3.5,1.5,2.5,2.5,3,"Q8R146"
"m.23110",258,"Protein NipSnap homolog 3A OS=Homo sapiens GN=NIPSNAP3A PE=1 SV=2",0,1.5,0,0,0,0.5,0,0,0,0,"Q9UFN0"
"m.23134",126,"Predicted protein OS=Nematostella vectensis GN=v1g243126 PE=4 SV=1",0,0.5,0,0,0,0,0,0.5,0.5,0.5,"3275002"
"m.23145",569,"PREDICTED: uncharacterized protein LOC100213422 [Hydra vulgaris]",0,0,0,1,1,0.5,0,1,0,0.5,"XP_002160093"
"m.23157",316,"Glutathione synthetase OS=Homo sapiens GN=GSS PE=1 SV=1",1.5,0,0.5,0.5,0,0.5,0.5,0,0,0,"P48637"
"m.2316",597,"Double-stranded RNA-specific editase 1 OS=Mus musculus GN=Adarb1 PE=1 SV=1",0,1,0.5,0,0,0,0,0,1.5,0,"Q91ZS8"
"m.2317",307,"Hydroxyacylglutathione hydrolase, mitochondrial OS=Danio rerio GN=hagh PE=2 SV=2",2,2,1,0.5,1.5,1.5,2.5,0,3,0,"Q6P963"
"m.232",1282,"Neuronal cell adhesion molecule OS=Homo sapiens GN=NRCAM PE=1 SV=3",3.5,6,10,7,7,10.5,2,3,5,5,"Q92823"
"m.23218",266,"Phospholysine phosphohistidine inorganic pyrophosphate phosphatase OS=Mus musculus GN=Lhpp PE=2 SV=1",0,0,2,0,0,1.5,0,0,0,1,"Q9D7I5"
"m.23233",725,"Dipeptidyl peptidase 3 OS=Nematostella vectensis GN=dpp3 PE=3 SV=1",3,2.5,3,4,9,4,1,1,3.5,2.5,"A7RZW4"
"m.23247",172,"Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2",0,0.5,1.5,1,1,0.5,0,0.5,1,0,"Q14974"
"m.2325",949,"Protein sel-1 homolog 1 OS=Homo sapiens GN=SEL1L PE=1 SV=3",0.5,0,0.5,0,0,0,0,0,0,0.5,"Q9UBV2"
"m.23354",104,"m.23354",1.5,2,2.5,1,1,0,1,0,1.5,0,NA
"m.23358",103,"Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1",0,0,1,0.5,0,0,0,0,0,0,"4191201"
"m.23371",196,"m.23371",1.5,5.5,6,2.5,2,1.5,0.5,0.5,5,1,NA
"m.23397",127,"60S ribosomal protein L22 OS=Caenorhabditis elegans GN=rpl-22 PE=1 SV=3",2,2,4,0.5,1,0,2.5,0,1.5,0,"P52819"
"m.23436",547,"Laminin subunit alpha OS=Drosophila melanogaster GN=LanA PE=1 SV=2",1.5,0.5,1,0,1,1,0,1,0,0.5,"Q00174"
"m.23454",187,"Cathepsin L OS=Sarcophaga peregrina PE=1 SV=1",13,19.5,17.5,14.5,15.5,16.5,15.5,10,13.5,11.5,"Q26636"
"m.23459",176,"m.23459",0.5,1,1.5,1.5,1.5,0.5,0,1,0,1,NA
"m.2349",652,"Cleavage stimulation factor subunit 2 OS=Bos taurus GN=CSTF2 PE=2 SV=1",0,1.5,0,0,0,0,0,0,0.5,0,"Q8HXM1"
"m.2353",1773,"Serine/threonine-protein kinase MRCK alpha OS=Mus musculus GN=Cdc42bpa PE=2 SV=2",0,1,0,0,0,0,0,0,1.5,0,"Q3UU96"
"m.23560",575,"Splicing factor, proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2",0.5,0.5,0,0,0,0,0,0,0,0,"P23246"
"m.23575",291,"m.23575",4,11,12.5,8,11.5,12.5,13,19.5,8,6,NA
"m.23588",389,"26S proteasome non-ATPase regulatory subunit 6 OS=Mus musculus GN=Psmd6 PE=1 SV=1",1.5,0.5,0.5,0,0,0,0,0,0.5,0.5,"Q99JI4"
"m.23599",895,"Endoplasmin OS=Rattus norvegicus GN=Hsp90b1 PE=1 SV=2",33,32,50.5,24.5,32.5,26,15.5,24.5,43.5,31,"Q66HD0"
"m.2360",1533,"Pregnancy zone protein OS=Homo sapiens GN=PZP PE=1 SV=4",3,2.5,6,1.5,6,2.5,2,0,4.5,0.5,"P20742"
"m.23602",166,"OV-16 antigen OS=Onchocerca volvulus GN=OV16 PE=2 SV=2",1,5.5,5,11,15,12,0.5,3.5,4,4.5,"P31729"
"m.23607",647,"Far upstream element-binding protein 1 OS=Homo sapiens GN=FUBP1 PE=1 SV=3",0,1.5,1,0,0,0,0.5,1,2.5,0,"Q96AE4"
"m.23611",241,"Tropomyosin OS=Echinococcus multilocularis PE=2 SV=1",1.5,3,3,1.5,2.5,2.5,1.5,0.5,2.5,0,"Q95PU1"
"m.23613",106,"Nuclear transport factor 2 OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) GN=ntf2 PE=3 SV=1",0.5,5.5,6,0.5,5,1.5,4,0.5,2.5,1,"Q96VN3"
"m.23629",351,"Secretory carrier-associated membrane protein 2 OS=Homo sapiens GN=SCAMP2 PE=1 SV=2",3,0.5,2,1,3,2.5,1,4,0.5,3,"O15127"
"m.23632",169,"m.23632",1.5,1.5,3.5,1,1.5,1.5,3,0.5,3,0,NA
"m.23661",550,"Counting factor associated protein D OS=Dictyostelium discoideum GN=cfaD PE=1 SV=1",1,2,2,2,3.5,2,0,1,2,0,"Q54TR1"
"m.23671",219,"m.23671",2,2.5,2,1,6,1,1.5,0.5,2,0.5,NA
"m.23676",166,"Actin-related protein 2/3 complex subunit 3 OS=Mus musculus GN=Arpc3 PE=1 SV=3",2,4,3,1,2,4,6.5,0,4,0,"Q9JM76"
"m.23685",446,"Calreticulin OS=Mus musculus GN=Calr PE=1 SV=1",40.5,22.5,50,47,38,18.5,36,42,28.5,54,"P14211"
