ID,PROTLEN,DEFLINE,PD30.100b,PD12.C,PD30.1m,PD30.100m,PD12.10m,PD30.C,PD30-C2,PD12.1m,PD30.100m2,PD12.100m,PD30.10m,PD30.10m2,PD30.1m2,UniprotID
Pocillopora_acuta_HIv1_PredGene_g1618.t1,1656,Pocillopora_acuta_HIv1_PredGene_g1618.t1,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0.5,1,E9PFB9
Pocillopora_acuta_HIv1_PredGene_g16180.t1,652,Pocillopora_acuta_HIv1_PredGene_g16180.t1,3.5,31,24.5,3,17.5,22,1,11,12,1,19,7.5,0,Q1ECX9
Pocillopora_acuta_HIv1_PredGene_g16181.t1,766,Pocillopora_acuta_HIv1_PredGene_g16181.t1,12.5,14.5,20,12,11,22,7,11,11.5,5,13.5,24.5,8,
Pocillopora_acuta_HIv1_PredGene_g16191.t1,176,Pocillopora_acuta_HIv1_PredGene_g16191.t1,0,3,0,0,0,1,0,0,0.5,0,0,1.5,0,Q54TQ9
Pocillopora_acuta_HIv1_PredGene_g16192.t1,171,Pocillopora_acuta_HIv1_PredGene_g16192.t1,2.5,5,4.5,2,2,5,3,5,4,2,6.5,3,2,K7N397
Pocillopora_acuta_HIv1_PredGene_g16193.t1,174,Pocillopora_acuta_HIv1_PredGene_g16193.t1,2.5,10,7.5,2,6,9,7.5,9,7,5.5,10.5,7,3,Q9R0C4
Pocillopora_acuta_HIv1_PredGene_g16195.t1,170,Pocillopora_acuta_HIv1_PredGene_g16195.t1,7.5,18.5,18,11.5,13.5,18.5,7.5,8,16.5,5.5,18.5,21,12,Q9VI64
Pocillopora_acuta_HIv1_PredGene_g16196.t1,193,Pocillopora_acuta_HIv1_PredGene_g16196.t1,40,51.5,60,32,38.5,38,49,29,31,44.5,32.5,37.5,35,B1IAV5
Pocillopora_acuta_HIv1_PredGene_g16206.t1,71,Pocillopora_acuta_HIv1_PredGene_g16206.t1,10,3.5,11,16,4,4,1.5,0.5,1.5,6.5,8.5,7,8,E9QMV2
Pocillopora_acuta_HIv1_PredGene_g16217.t1,415,Pocillopora_acuta_HIv1_PredGene_g16217.t1,0,0,0.5,0,1,0.5,0.5,0,0,0,1.5,0,1,Q7T131
Pocillopora_acuta_HIv1_PredGene_g16224.t1,1024,Pocillopora_acuta_HIv1_PredGene_g16224.t1,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,1,Q53ZR1
Pocillopora_acuta_HIv1_PredGene_g1625.t1,463,Pocillopora_acuta_HIv1_PredGene_g1625.t1,0,0.5,4,0,0,0.5,1,0,0,0,0,0,0,E9QN70
Pocillopora_acuta_HIv1_PredGene_g16253.t1,101,Pocillopora_acuta_HIv1_PredGene_g16253.t1,1,1.5,0,0,0.5,0,0,1,0,0,0,7,0,B3DK99
Pocillopora_acuta_HIv1_PredGene_g16265.t1,130,Pocillopora_acuta_HIv1_PredGene_g16265.t1,0,1.5,1.5,0,1,1.5,0,1.5,0,2,2,1,0,P33331
Pocillopora_acuta_HIv1_PredGene_g16270.t1,199,Pocillopora_acuta_HIv1_PredGene_g16270.t1,1.5,2.5,1,2.5,0.5,1.5,0.5,0,0,1.5,3.5,2.5,2,Q7T383
Pocillopora_acuta_HIv1_PredGene_g16292.t1,1747,Pocillopora_acuta_HIv1_PredGene_g16292.t1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,Q80ZF8
Pocillopora_acuta_HIv1_PredGene_g16297.t1,94,Pocillopora_acuta_HIv1_PredGene_g16297.t1,2,3.5,3,4,6.5,4.5,2.5,0.5,6,3.5,3.5,3.5,5,Q922B2
Pocillopora_acuta_HIv1_PredGene_g16298.t1,228,Pocillopora_acuta_HIv1_PredGene_g16298.t1,2.5,10,4.5,4.5,7.5,3.5,2.5,3,4.5,2.5,7.5,1.5,4,A0AUR8
Pocillopora_acuta_HIv1_PredGene_g16299.t1,235,Pocillopora_acuta_HIv1_PredGene_g16299.t1,0,7,1,0,0,0,0,0,0,0,3,0,0,Q9BU45
Pocillopora_acuta_HIv1_PredGene_g16302.t1,300,Pocillopora_acuta_HIv1_PredGene_g16302.t1,0,3,0,1.5,0.5,0.5,0,0,0,0,5,2.5,1,Q58EC1
Pocillopora_acuta_HIv1_PredGene_g16314.t1,183,Pocillopora_acuta_HIv1_PredGene_g16314.t1,3,4,4,4,4.5,4,4,4,1,2,4,5,4,Q6P2K4
Pocillopora_acuta_HIv1_PredGene_g16316.t1,602,Pocillopora_acuta_HIv1_PredGene_g16316.t1,17.5,18.5,28.5,20,29.5,28.5,33.5,26.5,23.5,24,35,29,39,L7NKH5
Pocillopora_acuta_HIv1_PredGene_g16325.t1,78,Pocillopora_acuta_HIv1_PredGene_g16325.t1,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,A4V081
Pocillopora_acuta_HIv1_PredGene_g16330.t1,148,Pocillopora_acuta_HIv1_PredGene_g16330.t1,0,0.5,0.5,1.5,1,1.5,0,0.5,0.5,0,0.5,0.5,1,A8K9A8
Pocillopora_acuta_HIv1_PredGene_g16331.t1,397,Pocillopora_acuta_HIv1_PredGene_g16331.t1,0.5,1,1,1,0.5,4,0.5,1,0.5,0,2.5,3.5,0,G5EFQ4
Pocillopora_acuta_HIv1_PredGene_g16334.t1,725,Pocillopora_acuta_HIv1_PredGene_g16334.t1,0.5,0,1,0.5,1,0.5,0.5,2,1.5,1,0,0.5,1,A8WG75
Pocillopora_acuta_HIv1_PredGene_g1634.t1,303,Pocillopora_acuta_HIv1_PredGene_g1634.t1,4,10.5,6.5,3,3,8,1,1,6,0,5,8,1,Q7ZUI0
Pocillopora_acuta_HIv1_PredGene_g16346.t1,252,Pocillopora_acuta_HIv1_PredGene_g16346.t1,4.5,3,3,2,3.5,4,3.5,3,4,2,2,2.5,2,Q3UJZ4
Pocillopora_acuta_HIv1_PredGene_g16371.t1,255,Pocillopora_acuta_HIv1_PredGene_g16371.t1,0.5,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,Q561S1
Pocillopora_acuta_HIv1_PredGene_g16396.t1,273,Pocillopora_acuta_HIv1_PredGene_g16396.t1,0,0,0,1,0.5,1.5,0,0,0.5,0.5,1,1,1,
Pocillopora_acuta_HIv1_PredGene_g16480.t1,1679,Pocillopora_acuta_HIv1_PredGene_g16480.t1,1,1,1.5,1,2.5,2,2.5,1.5,0.5,1.5,3.5,2,2,A7MBM3
Pocillopora_acuta_HIv1_PredGene_g16486.t1,519,Pocillopora_acuta_HIv1_PredGene_g16486.t1,0,1.5,1.5,0,0.5,0.5,1,0.5,0,1,0.5,0.5,1,Q6P3J6
Pocillopora_acuta_HIv1_PredGene_g16490.t1,553,Pocillopora_acuta_HIv1_PredGene_g16490.t1,65.5,104.5,113.5,84,104.5,74.5,72,57,88.5,59,112,88.5,72,Q08BA1
Pocillopora_acuta_HIv1_PredGene_g16492.t1,486,Pocillopora_acuta_HIv1_PredGene_g16492.t1,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0.5,0,0,Q6UUV9
Pocillopora_acuta_HIv1_PredGene_g16497.t1,120,Pocillopora_acuta_HIv1_PredGene_g16497.t1,0,0,0.5,0,0,0,0,0,0,0,2,1.5,0,P13641
Pocillopora_acuta_HIv1_PredGene_g16502.t1,413,Pocillopora_acuta_HIv1_PredGene_g16502.t1,0,2,1,0.5,0.5,0.5,0.5,0,1.5,1,3,1,1,Q96FV5
Pocillopora_acuta_HIv1_PredGene_g16528.t1,736,Pocillopora_acuta_HIv1_PredGene_g16528.t1,0,1,0.5,0.5,1,0.5,0.5,0.5,0,0,0.5,0,1,Q8BZW8
Pocillopora_acuta_HIv1_PredGene_g16529.t1,2101,Pocillopora_acuta_HIv1_PredGene_g16529.t1,3,2.5,5,3.5,2.5,5,3,2.5,2,1.5,1,4,5,F1QZG1
Pocillopora_acuta_HIv1_PredGene_g16534.t1,2039,Pocillopora_acuta_HIv1_PredGene_g16534.t1,0,0,0.5,0,0.5,0.5,1,0,0,0,0.5,1.5,2,E7EXL6
Pocillopora_acuta_HIv1_PredGene_g16549.t1,401,Pocillopora_acuta_HIv1_PredGene_g16549.t1,0.5,2,2.5,1,3.5,0.5,0.5,0,1,0,1,1,0,Q01085
Pocillopora_acuta_HIv1_PredGene_g16551.t1,91,Pocillopora_acuta_HIv1_PredGene_g16551.t1,0,5,2,1.5,2,3,0.5,0,0,0.5,0.5,1.5,1,Q1L957
Pocillopora_acuta_HIv1_PredGene_g16554.t1,91,Pocillopora_acuta_HIv1_PredGene_g16554.t1,2.5,14.5,12,11.5,15,16,5.5,4.5,4.5,4.5,1.5,6,10,Q542E6
Pocillopora_acuta_HIv1_PredGene_g16559.t1,184,Pocillopora_acuta_HIv1_PredGene_g16559.t1,2,2.5,1.5,2,1.5,0.5,1.5,0.5,3,2.5,4.5,1.5,0,B2GR26
Pocillopora_acuta_HIv1_PredGene_g16566.t1,497,Pocillopora_acuta_HIv1_PredGene_g16566.t1,7.5,11.5,4.5,6.5,5.5,4,6.5,0.5,7,5,15.5,5.5,2,E1JIJ5
Pocillopora_acuta_HIv1_PredGene_g16570.t1,851,Pocillopora_acuta_HIv1_PredGene_g16570.t1,0.5,0.5,0,1,0,0.5,0,0,0,0,0.5,0,0,E7FAK4
Pocillopora_acuta_HIv1_PredGene_g16609.t1,78,Pocillopora_acuta_HIv1_PredGene_g16609.t1,0.5,1.5,3,1.5,2,3.5,0,0.5,0,0,4.5,4,3,Q6IB86
Pocillopora_acuta_HIv1_PredGene_g16663.t1,853,Pocillopora_acuta_HIv1_PredGene_g16663.t1,0.5,0.5,0.5,0.5,0,0.5,1,0,1,0,0.5,0.5,0,B9EK88
Pocillopora_acuta_HIv1_PredGene_g16664.t1,960,Pocillopora_acuta_HIv1_PredGene_g16664.t1,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,Q4VXE1
Pocillopora_acuta_HIv1_PredGene_g16671.t1,246,Pocillopora_acuta_HIv1_PredGene_g16671.t1,2,0,0.5,1.5,0,0,0,0,0,0,1,2,1,-
Pocillopora_acuta_HIv1_PredGene_g1669.t1,873,Pocillopora_acuta_HIv1_PredGene_g1669.t1,0,1,0.5,0,0,0,0,0,0.5,0,0,0,0,G5E8B3
Pocillopora_acuta_HIv1_PredGene_g16691.t1,350,Pocillopora_acuta_HIv1_PredGene_g16691.t1,0,0.5,0,0,0,0,1,0,0,0,1,0.5,0,Q8R3E6
Pocillopora_acuta_HIv1_PredGene_g16704.t1,440,Pocillopora_acuta_HIv1_PredGene_g16704.t1,7.5,10.5,2.5,3.5,5.5,2.5,5,1.5,4.5,3.5,4,4.5,4,H2KZP6
Pocillopora_acuta_HIv1_PredGene_g16707.t1,648,Pocillopora_acuta_HIv1_PredGene_g16707.t1,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,Q8IBA5
Pocillopora_acuta_HIv1_PredGene_g16742.t1,426,Pocillopora_acuta_HIv1_PredGene_g16742.t1,0,2.5,2.5,2,1.5,2.5,0.5,1.5,0.5,1,3.5,3.5,2,Q5SR11
Pocillopora_acuta_HIv1_PredGene_g16749.t1,887,Pocillopora_acuta_HIv1_PredGene_g16749.t1,0.5,0.5,0.5,0,0.5,0,0.5,1,0,1,3,0.5,0,E7FCP7
Pocillopora_acuta_HIv1_PredGene_g1678.t1,494,Pocillopora_acuta_HIv1_PredGene_g1678.t1,2.5,4.5,2,2,3.5,3,3,1.5,1,3.5,5,3,4,Q9D7H6
Pocillopora_acuta_HIv1_PredGene_g16789.t1,234,Pocillopora_acuta_HIv1_PredGene_g16789.t1,1.5,2,2.5,2.5,3,2.5,3.5,1,1,6.5,3,2,3,Q9ERE7
Pocillopora_acuta_HIv1_PredGene_g16799.t1,81,Pocillopora_acuta_HIv1_PredGene_g16799.t1,0,2,3,1,5.5,1.5,1,1,0.5,2,3.5,1.5,2,Q6IMW9
Pocillopora_acuta_HIv1_PredGene_g16801.t1,1755,Pocillopora_acuta_HIv1_PredGene_g16801.t1,0.5,0,0,0,1,0,1,0,1,0,0.5,0,0,-
Pocillopora_acuta_HIv1_PredGene_g16811.t1,939,Pocillopora_acuta_HIv1_PredGene_g16811.t1,4.5,5,0,1,0.5,0.5,0,0,7,0,1,1.5,0,R4P461
Pocillopora_acuta_HIv1_PredGene_g16813.t1,363,Pocillopora_acuta_HIv1_PredGene_g16813.t1,2.5,6,0,0.5,0.5,0.5,0,0,2.5,0,0,0.5,0,Q16852
Pocillopora_acuta_HIv1_PredGene_g16814.t1,360,Pocillopora_acuta_HIv1_PredGene_g16814.t1,0.5,2,0,0,0,0,0,0,2,0,0,0.5,0,
Pocillopora_acuta_HIv1_PredGene_g16822.t1,514,Pocillopora_acuta_HIv1_PredGene_g16822.t1,0.5,2.5,1,1.5,0.5,0,0,2.5,1,0,0,4.5,0,Q9HA96
Pocillopora_acuta_HIv1_PredGene_g16826.t1,158,Pocillopora_acuta_HIv1_PredGene_g16826.t1,0,0.5,0,0,0,1,0.5,0,0.5,0,0,0,0,Q969G6
Pocillopora_acuta_HIv1_PredGene_g16827.t1,937,Pocillopora_acuta_HIv1_PredGene_g16827.t1,0.5,0.5,0,1,0,0,0,0,0,0.5,0.5,0,0,Q9NYV5
Pocillopora_acuta_HIv1_PredGene_g16835.t1,197,Pocillopora_acuta_HIv1_PredGene_g16835.t1,1.5,8,3.5,1.5,4,3,3.5,3.5,1,2,4,2,3,Q08C33
Pocillopora_acuta_HIv1_PredGene_g16856.t1,1229,Pocillopora_acuta_HIv1_PredGene_g16856.t1,6,7.5,8.5,10,13.5,7.5,4.5,3,7,6.5,10,13.5,11,Q6NTI8
Pocillopora_acuta_HIv1_PredGene_g16857.t1,167,Pocillopora_acuta_HIv1_PredGene_g16857.t1,0,1,4,2.5,2.5,3,0.5,1.5,0.5,2,0.5,1,1,P23434
Pocillopora_acuta_HIv1_PredGene_g16858.t1,280,Pocillopora_acuta_HIv1_PredGene_g16858.t1,4.5,7.5,8.5,6,9.5,7.5,5,5,7,5,8.5,6.5,5,-
Pocillopora_acuta_HIv1_PredGene_g16912.t1,261,Pocillopora_acuta_HIv1_PredGene_g16912.t1,0.5,3.5,1.5,2,1,2,1.5,1,0.5,0.5,9.5,4.5,3,Q9V7W4
Pocillopora_acuta_HIv1_PredGene_g16913.t1,279,Pocillopora_acuta_HIv1_PredGene_g16913.t1,5.5,4.5,7,9,7.5,7,9,7,6.5,4.5,5,8.5,4,Q6PC44
Pocillopora_acuta_HIv1_PredGene_g16953.t1,207,Pocillopora_acuta_HIv1_PredGene_g16953.t1,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0,0.5,0.5,0,F1QIZ3
Pocillopora_acuta_HIv1_PredGene_g16954.t1,153,Pocillopora_acuta_HIv1_PredGene_g16954.t1,3.5,5.5,4,1,4,3,2,4.5,3,1.5,4,4,1,Q5XJ62
Pocillopora_acuta_HIv1_PredGene_g16956.t1,172,Pocillopora_acuta_HIv1_PredGene_g16956.t1,0,0.5,2.5,3.5,2,2.5,1.5,0.5,1,2,0.5,4.5,4,F1R789
Pocillopora_acuta_HIv1_PredGene_g1697.t1,391,Pocillopora_acuta_HIv1_PredGene_g1697.t1,3,5,4.5,3,4,2.5,2.5,5,2,1,3.5,3.5,6,Q540W3
Pocillopora_acuta_HIv1_PredGene_g1698.t1,619,Pocillopora_acuta_HIv1_PredGene_g1698.t1,1.5,3.5,1,2.5,2,4,3,2.5,1,2.5,5.5,2.5,9,Q6P1S3
Pocillopora_acuta_HIv1_PredGene_g17008.t1,519,Pocillopora_acuta_HIv1_PredGene_g17008.t1,1,1.5,2.5,5.5,1,7,1.5,1,0,1.5,7,6,9,Q3TWT0
Pocillopora_acuta_HIv1_PredGene_g17018.t1,265,Pocillopora_acuta_HIv1_PredGene_g17018.t1,0.5,3,2,2.5,1,3.5,1,1,1.5,0,1,4.5,1,Q8WW32
Pocillopora_acuta_HIv1_PredGene_g17021.t1,261,Pocillopora_acuta_HIv1_PredGene_g17021.t1,8.5,9.5,7,5.5,9,8,0.5,7,10.5,6,7.5,9,7,B2R4D4
Pocillopora_acuta_HIv1_PredGene_g17023.t1,573,Pocillopora_acuta_HIv1_PredGene_g17023.t1,1.5,3,0,1,0.5,0,0.5,0,0,0,3,0.5,0,F8W2M8
Pocillopora_acuta_HIv1_PredGene_g17031.t1,1275,Pocillopora_acuta_HIv1_PredGene_g17031.t1,0,0,0,1,0,0,0.5,0.5,1,0,0,0.5,0,F1QE75
Pocillopora_acuta_HIv1_PredGene_g17032.t1,319,Pocillopora_acuta_HIv1_PredGene_g17032.t1,0.5,0.5,0.5,1,1.5,0.5,1.5,0,0,0,1.5,1,1,P49596
Pocillopora_acuta_HIv1_PredGene_g17034.t1,247,Pocillopora_acuta_HIv1_PredGene_g17034.t1,0,0,0,0,0,0,0.5,0,2,0,0.5,0.5,0,Q60980
Pocillopora_acuta_HIv1_PredGene_g17040.t1,229,Pocillopora_acuta_HIv1_PredGene_g17040.t1,3,2,6,6,5.5,6.5,5.5,3.5,6,2.5,6.5,4,7,Q9JKB1
Pocillopora_acuta_HIv1_PredGene_g17043.t1,149,Pocillopora_acuta_HIv1_PredGene_g17043.t1,0,4.5,0,0,0.5,1,0,0.5,2,0,3,0,0,P46778
Pocillopora_acuta_HIv1_PredGene_g17045.t1,611,Pocillopora_acuta_HIv1_PredGene_g17045.t1,1,5,1,2,4,2,1,0.5,1,1.5,5,3.5,4,Q96AL0
Pocillopora_acuta_HIv1_PredGene_g17080.t1,610,Pocillopora_acuta_HIv1_PredGene_g17080.t1,0.5,1,0,1,0,0,0,0,0,0,0,1,1,Q66I16
Pocillopora_acuta_HIv1_PredGene_g17092.t1,843,Pocillopora_acuta_HIv1_PredGene_g17092.t1,2.5,2.5,3.5,1.5,2,2.5,1.5,5.5,1.5,2.5,3,10,2,
Pocillopora_acuta_HIv1_PredGene_g17114.t1,1729,Pocillopora_acuta_HIv1_PredGene_g17114.t1,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,Q27J81
Pocillopora_acuta_HIv1_PredGene_g17126.t1,175,Pocillopora_acuta_HIv1_PredGene_g17126.t1,2.5,2,1,1,1.5,2.5,1,0.5,1,2,2.5,2,4,Q9VI56
Pocillopora_acuta_HIv1_PredGene_g17141.t1,2230,Pocillopora_acuta_HIv1_PredGene_g17141.t1,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,Q86VS4
Pocillopora_acuta_HIv1_PredGene_g17149.t1,1052,Pocillopora_acuta_HIv1_PredGene_g17149.t1,1,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0,1.5,0,F8W2E8
Pocillopora_acuta_HIv1_PredGene_g17170.t1,1028,Pocillopora_acuta_HIv1_PredGene_g17170.t1,1.5,0.5,1,2,0,1,2.5,0,0.5,2,0,2,3,O60264
Pocillopora_acuta_HIv1_PredGene_g17172.t1,1375,Pocillopora_acuta_HIv1_PredGene_g17172.t1,1,0,1.5,0,1,1,0.5,1,0.5,0.5,0,0,0,
Pocillopora_acuta_HIv1_PredGene_g17196.t1,212,Pocillopora_acuta_HIv1_PredGene_g17196.t1,0,0,1,0.5,0.5,0,0,0,0.5,0,1,0.5,0,Q64332
Pocillopora_acuta_HIv1_PredGene_g1721.t1,324,Pocillopora_acuta_HIv1_PredGene_g1721.t1,1.5,0,0,0.5,0.5,1,0,1.5,0.5,1,1,1,1,F6NI92
Pocillopora_acuta_HIv1_PredGene_g1722.t1,464,Pocillopora_acuta_HIv1_PredGene_g1722.t1,1.5,0,0,1,0.5,0,0,0,0,0,0.5,0.5,1,Q6AXE6
Pocillopora_acuta_HIv1_PredGene_g17224.t1,327,Pocillopora_acuta_HIv1_PredGene_g17224.t1,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,F1R3G8
Pocillopora_acuta_HIv1_PredGene_g17259.t1,247,Pocillopora_acuta_HIv1_PredGene_g17259.t1,3,2,2.5,2.5,1.5,1,2,2.5,1.5,2,4,2,5,Q6P031
Pocillopora_acuta_HIv1_PredGene_g17263.t1,323,Pocillopora_acuta_HIv1_PredGene_g17263.t1,1,0,0.5,0.5,0,0,0.5,0,0,0,0,0.5,1,Q9D020
Pocillopora_acuta_HIv1_PredGene_g17267.t1,126,Pocillopora_acuta_HIv1_PredGene_g17267.t1,3,3,1.5,3,1.5,1.5,0,2.5,2,0.5,2,2.5,1,Q6PBZ2
Pocillopora_acuta_HIv1_PredGene_g17268.t1,276,Pocillopora_acuta_HIv1_PredGene_g17268.t1,1,4.5,1,2.5,1.5,1,1.5,0,1,1,2.5,3.5,4,Q0E8P3
Pocillopora_acuta_HIv1_PredGene_g17278.t1,543,Pocillopora_acuta_HIv1_PredGene_g17278.t1,2,6,7,5,10,7.5,2.5,1.5,3,5,7.5,3.5,5,Q6NY81
Pocillopora_acuta_HIv1_PredGene_g17280.t1,195,Pocillopora_acuta_HIv1_PredGene_g17280.t1,17.5,22,20,11,14.5,18.5,18,20,11.5,9.5,21,15,18,Q9VTV7
Pocillopora_acuta_HIv1_PredGene_g17285.t1,1252,Pocillopora_acuta_HIv1_PredGene_g17285.t1,3.5,3,2,4,4,2,2.5,0.5,3.5,2,5,4,4,A4IG45
Pocillopora_acuta_HIv1_PredGene_g17287.t2,1551,Pocillopora_acuta_HIv1_PredGene_g17287.t2,0.5,2,1.5,0.5,2.5,0.5,1,1,3.5,1.5,5,0.5,2,Q8NEG2
Pocillopora_acuta_HIv1_PredGene_g17291.t1,716,Pocillopora_acuta_HIv1_PredGene_g17291.t1,0,0,0,0.5,0,1,0,0,0,0.5,0.5,0,0,H9G2Y7
Pocillopora_acuta_HIv1_PredGene_g17293.t1,119,Pocillopora_acuta_HIv1_PredGene_g17293.t1,1,10,5.5,6,11.5,8.5,0.5,1,4.5,2,2,7,2,I1K5I1
Pocillopora_acuta_HIv1_PredGene_g17312.t1,393,Pocillopora_acuta_HIv1_PredGene_g17312.t1,1.5,13,6,3.5,7,7.5,4.5,4,6.5,2.5,6,5.5,9,Q0E8V4
Pocillopora_acuta_HIv1_PredGene_g17313.t1,443,Pocillopora_acuta_HIv1_PredGene_g17313.t1,0.5,0.5,0,0,1.5,1,1,0,0,1,1,1.5,1,A5D6U8
Pocillopora_acuta_HIv1_PredGene_g17315.t1,438,Pocillopora_acuta_HIv1_PredGene_g17315.t1,1,4.5,0.5,0.5,3.5,1.5,2,1.5,1.5,1,2.5,1.5,2,A5D6U8
Pocillopora_acuta_HIv1_PredGene_g17318.t1,151,Pocillopora_acuta_HIv1_PredGene_g17318.t1,1,9,11,2,3,7,2,7,7,1,4.5,2,1,P02599
Pocillopora_acuta_HIv1_PredGene_g17328.t1,128,Pocillopora_acuta_HIv1_PredGene_g17328.t1,3,0,2,3,0.5,3,2,2,6.5,0.5,1,5,6,-
Pocillopora_acuta_HIv1_PredGene_g17345.t1,430,Pocillopora_acuta_HIv1_PredGene_g17345.t1,1.5,16.5,9.5,3,6.5,5.5,6,4,0,1,3.5,5.5,5,Q4FZK2
Pocillopora_acuta_HIv1_PredGene_g17353.t1,140,Pocillopora_acuta_HIv1_PredGene_g17353.t1,0.5,6,3.5,4,5.5,5,3.5,1,2,4.5,8.5,2,3,Q7ZUD3
Pocillopora_acuta_HIv1_PredGene_g17365.t1,291,Pocillopora_acuta_HIv1_PredGene_g17365.t1,0,13.5,25,0,6.5,12.5,5.5,16,0.5,13,15.5,9,0,B0JZN5
Pocillopora_acuta_HIv1_PredGene_g17382.t1,272,Pocillopora_acuta_HIv1_PredGene_g17382.t1,3,0.5,0,3.5,0,0,0,0,1.5,0,0,2.5,1,-
Pocillopora_acuta_HIv1_PredGene_g17383.t1,195,Pocillopora_acuta_HIv1_PredGene_g17383.t1,17.5,110,101,88,120.5,87,91.5,66,51.5,102.5,99,67.5,95,Q06BL0
Pocillopora_acuta_HIv1_PredGene_g17419.t1,411,Pocillopora_acuta_HIv1_PredGene_g17419.t1,0,0.5,0,1,0,0.5,0,0,0,1,3,0.5,1,A6NID3
Pocillopora_acuta_HIv1_PredGene_g17423.t1,1942,Pocillopora_acuta_HIv1_PredGene_g17423.t1,2.5,3,3.5,3.5,1.5,2,1,4,1.5,1.5,2,2,2,E9Q4D4
Pocillopora_acuta_HIv1_PredGene_g17468.t1,238,Pocillopora_acuta_HIv1_PredGene_g17468.t1,0,1.5,0.5,0,1,1.5,1.5,0.5,0,1,2,0,0,B8JKP3
Pocillopora_acuta_HIv1_PredGene_g17475.t1,262,Pocillopora_acuta_HIv1_PredGene_g17475.t1,0,2,3,1.5,6,6.5,5,7.5,4,7.5,7,4,2,P27851
Pocillopora_acuta_HIv1_PredGene_g17530.t1,162,Pocillopora_acuta_HIv1_PredGene_g17530.t1,0,0,0,0.5,0.5,0,0.5,0,0,0,0.5,0,0,Q5W093
Pocillopora_acuta_HIv1_PredGene_g17538.t1,285,Pocillopora_acuta_HIv1_PredGene_g17538.t1,12,7,8.5,12,6,8,6.5,7.5,12.5,6,10,19.5,15,Q9CR35
Pocillopora_acuta_HIv1_PredGene_g17546.t1,313,Pocillopora_acuta_HIv1_PredGene_g17546.t1,1,0.5,0.5,0.5,3.5,3,0,3.5,1.5,0,0.5,0.5,2,P17538
Pocillopora_acuta_HIv1_PredGene_g17551.t1,307,Pocillopora_acuta_HIv1_PredGene_g17551.t1,0,0,0,0,0.5,3,0,0.5,0.5,0,0,0,0,A2BGP5
Pocillopora_acuta_HIv1_PredGene_g17572.t1,808,Pocillopora_acuta_HIv1_PredGene_g17572.t1,0,1.5,0,0,1,0.5,0,0,0,0,0,0,0,P56399
Pocillopora_acuta_HIv1_PredGene_g17597.t1,233,Pocillopora_acuta_HIv1_PredGene_g17597.t1,0,0,0.5,1,0,0.5,1,0.5,0.5,0.5,0.5,0.5,1,Q7SYJ9
Pocillopora_acuta_HIv1_PredGene_g17601.t1,271,Pocillopora_acuta_HIv1_PredGene_g17601.t1,15.5,27,17.5,13.5,18,13,18,16,16.5,10.5,20,14.5,11,Q7SXP1
Pocillopora_acuta_HIv1_PredGene_g17607.t1,286,Pocillopora_acuta_HIv1_PredGene_g17607.t1,0,1,0,0,0,0,0,0,0,0.5,0,0.5,0,Q0QEY7
Pocillopora_acuta_HIv1_PredGene_g17627.t1,299,Pocillopora_acuta_HIv1_PredGene_g17627.t1,5,6.5,3.5,7,5.5,4,5,4,3.5,4.5,3,6,5,Q80WG4
Pocillopora_acuta_HIv1_PredGene_g17629.t1,733,Pocillopora_acuta_HIv1_PredGene_g17629.t1,2.5,4,1,2.5,2,1,0.5,0.5,1.5,2,2,1,2,A3KNH4
Pocillopora_acuta_HIv1_PredGene_g17658.t1,4519,Pocillopora_acuta_HIv1_PredGene_g17658.t1,1.5,1,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0,Q709C5
Pocillopora_acuta_HIv1_PredGene_g17683.t1,287,Pocillopora_acuta_HIv1_PredGene_g17683.t1,1,5,2,2.5,3.5,1.5,2.5,0.5,2.5,3,5,2.5,4,Q7ZU85
Pocillopora_acuta_HIv1_PredGene_g17688.t1,2321,Pocillopora_acuta_HIv1_PredGene_g17688.t1,0,0,1,0.5,0.5,0,1,0.5,0.5,0,0,0.5,0,E9PYU4
Pocillopora_acuta_HIv1_PredGene_g17694.t1,485,Pocillopora_acuta_HIv1_PredGene_g17694.t1,13,50,24,36,29.5,19.5,15.5,17,30.5,13.5,63,26,16,F1Q883
Pocillopora_acuta_HIv1_PredGene_g17696.t1,587,Pocillopora_acuta_HIv1_PredGene_g17696.t1,13.5,22.5,21.5,22.5,21,21,19,14,18.5,13,36.5,23,24,Q7ZW17
Pocillopora_acuta_HIv1_PredGene_g17699.t1,286,Pocillopora_acuta_HIv1_PredGene_g17699.t1,1,4.5,2.5,1,2.5,1,1,0.5,2,0.5,4.5,5,4,Q9CUE4
